Product,Brand,Model,URL
air purifier,Honeywell,HPA300,https://www.honeywellstore.com/store/products/honeywell-true-hepa-whole-room-air-purifier-with-allergen-remover-hpa300.htm
air purifier,Honeywell,HFD320,https://www.honeywellstore.com/store/products/honeywell-quietclean-air-purifier-with-permanent-reusable-filter-hfd320.htm
air purifier,Honeywell,HPA100,https://www.honeywellstore.com/store/products/honeywell-true-hepa-compact-tower-air-purifier-hpa100.htm
air purifier,Dyson,TP04,https://www.dyson.com/air-purifiers/dyson-pure-cool-tower-air-purifier-tp04.html
air purifier,Dyson,HP04,https://www.dyson.com/air-purifiers/dyson-pure-hot-cool-air-purifier-hp04.html
air purifier,Dyson,TP02,https://www.dyson.com/air-purifiers/dyson-pure-cool-tower-air-purifier-fan-tp02.html
air purifier,GermGuardian,AC4825,https://www.guardiantechnologies.com/eu/room-air-purifiers/germguardian-22-true-hepa-tower-air-purifier-ac4825wca
air purifier,GermGuardian,AC5350,https://www.guardiantechnologies.com/ca/room-air-purifiers/germguardian-hepa-air-purifier-ac5350w
air purifier,GermGuardian,AC4100,https://www.guardiantechnologies.com/ca/room-air-purifiers/germguardian-3-in-1-table-top-air-purifier-ac4100bca
air purifier,Levoit,LV-H133,https://www.levoit.com/products/lv-h133
air purifier,Levoit,LV-H132,https://www.levoit.com/products/lv-h132
air purifier,Levoit,Core P350,https://www.levoit.com/products/corep350
air purifier,Blueair,Classic 480i,https://www.blueair.com/us/classic-480i
air purifier,Blueair,Blue Pure 211,https://www.blueair.com/us/air-purifiers/classic-400-series/blue-air-pure-211-plus-air-purifier
air purifier,Blueair,Classic 680i,https://www.blueair.com/us/classic-680i
air purifier,Coway,AP-1512HH,https://cowaymega.com/products/coway-ap-1512hh-mighty-purple-air-purifier
air purifier,Coway,Airmega 300,https://cowaymega.com/products/airmega-300s-smart-air-purifier
air purifier,Coway,AP-0512NH,https://cowaymega.com/products/coway-ap-0512nh-sleek-air-purifier
air purifier,Winix,5500-2,https://winixamerica.com/products/5500-2
air purifier,Winix,HR900,https://winixamerica.com/products/hr900
air purifier,Winix,C545,https://winixamerica.com/products/c545
air purifier,Alen,BreatheSmart FIT50,https://www.alencorp.com/products/breathesmart-fit50
air purifier,Alen,T500,https://www.alencorp.com/products/t500-air-purifier
air purifier,Alen,Paralda,https://www.alencorp.com/products/paralda-air-purifier
air purifier,Molekule,Air Pro,https://www.molekule.com/products/air-purifiers/air-pro
air purifier,Molekule,Air Mini,https://www.molekule.com/products/air-purifiers/air-mini-plus
air purifier,Molekule,Air,https://www.molekule.com/products/air-purifiers/air
air purifier,Rabbit Air,BioGS 2.0,https://www.rabbitair.com/collections/air-purifiers/products/biogs-2-0
air purifier,Rabbit Air,MinusA2,https://www.rabbitair.com/collections/air-purifiers/products/minusa2-services
air purifier,Rabbit Air,A3,https://www.rabbitair.com/collections/air-purifiers/products/air-a3
air purifier,LG,AS330DWR0,https://www.lg.com/us/air-purifiers/lg-as330dwr0-air-purifier
air purifier,LG,PuriCare AS401WWA1,https://www.lg.com/us/air-purifiers/lg-as401wwa1-air-purifier
air purifier,LG,PuriCare AS401VGA1,https://www.lg.com/us/air-purifiers/lg-as401vga1-air-purifier
air purifier,AeraMax,100,https://aeramax.com/product/am-100-air-purifier/
air purifier,AeraMax,Pro AM3S,https://aeramax.com/about-us/air-purifiers/pro-am-3s-air-purifier/
air purifier,AeraMax,300,https://aeramax.com/product/300-air-purifier/
