Product,Brand,Model,URL
air purifier,Blueair,Blue Pure 211i Max,https://www.blueair.com/us/air-purifiers/blue-pure-211i-max/3541.html
air purifier,Blueair,HealthProtect 7440i,https://www.blueair.com/my/healthprotect/healthprotect-7440i/global-3001.html
air purifier,Dyson,Purifier Cool Formaldehyde TP09,https://www.dyson.com.sg/dyson-purifier-cool-formaldehyde-white-gold
air purifier,Honeywell,Air Genius 5 Tower HFD320,https://www.honeywellstore.com/store/products/airgenius-5-air-cleaner-and-odor-reducer-hfd320.htm
air purifier,Levoit,Vital 200s,https://levoit.com/products/vital-200s-smart-air-purifier
air purifier,Levoit,LV-H134 Tower Pro,https://levoit.com/products/lv-h134-tower-air-purifier
air purifier,Winix,Zero Pro,https://winix.ch/en/air-purifiers/winix-zero-pro/
air purifier,TruSens,Z-1000,https://www.trusens.com/en-au/p/air-purifiers/trusens-z-1000-air-purifier-personalsmall-room/
air purifier,IQAir,Atem Desk,https://www.iqair.com/us/products/air-purifiers/atem-desk
air purifier,IQAir,GC MultiGas,https://www.iqair.com/us/products/air-purifiers/gc-multigas
air purifier,Rabbit Air,A3 Asthma & Allergy Friendly,https://www.rabbitair.com/products/a3-aafa-air-purifier?variant=33014685794327
air purifier,Austin Air,Allergy Machine HM405,https://www.natlallergy.com/austin-air-allergy-machine-hega-room-air-purifier-hm405.html
air purifier,Sharp,Plasmacluster FP-K50UW,https://shop.sharpusa.com/sharp-plasmacluster-ion-air-purifier-with-true-hepa-for-medium-rooms-fpk50uw/
air purifier,Sharp,Plasmacluster KC850U,https://shop.sharpusa.com/sharp-plasmacluster-ion-air-purifier-with-true-hepa-humidifier-for-medium-rooms-kc850u/
air purifier,Sharp,True FP-F60UW,https://shop.sharpusa.com/sharp-true-hepa-fpf60uw-replacement-filter-fzf60hfu/
air purifier,AEG,AX91-604GY,https://www.aeg.co.uk/vacuums-home-comfort/air-comfort/air-purifiers/oxygen-air-purifier/ax91-604gy/
air purifier,Bionaire,BAP536UV-CN,https://www.bionairecanada.com/en_CA/air-purification/bionaire-99.99-true-hepa-air-purifier-with-uv-technology/BAP536UV-CN.html
