Product,Brand,Model,URL
automatic garden watering system,Rain Bird,ESP4ME3 Irrigation Controller,https://store.rainbird.com/esp4me3-indoor-outdoor-120v-irrigation-controller-lnk-wifi-compatible.html
automatic garden watering system,Rain Bird,ESP-TM2 Irrigation Controller,https://store.rainbird.com/esp-tm2-8-station-indoor-outdoor-120v-irrigation-controller-lnk-wifi-compatible.html
automatic garden watering system,Orbit,"smart watering, irrigation & sprinkler systems - orbitonline",https://www.orbitonline.com/products/b-hyve-smart-indoor-outdoor-irrigation-controller
automatic garden watering system,Orbit,Yard Enforcer Motion Activated Sprinkler,https://www.orbitonline.com/products/yard-enforcer-motion-activated-sprinkler
automatic garden watering system,Gardena,Smart Water Control,https://www.gardena.com/int/products/watering/water-controls/smart-water-control/967045101.html
automatic garden watering system,Gardena,Aquazoom Oscillating Sprinkler,https://us.gardena.com/products/aquazoom-oscillating-sprinkler-3900-sq-ft
automatic garden watering system,Raindrip,Automatic Water Timer,https://www.raindrip.com/products/timers/hose-end-automatic-water-timer-analog
automatic garden watering system,Raindrip,"flowers, shrubs and trees kit with timer",https://www.raindrip.com/products/kits/automatic-watering-kit-with-timer-for-flowers-shrubs-and-trees
automatic garden watering system,Claber,Aquauno Video 2-Cycle Water Timer,https://claber.us/shop/oasis-automatic-drip-watering-system/
automatic garden watering system,Rachio,3rd Generation Smart Sprinkler Controller,https://rachio.com/products/rachio-3/
automatic garden watering system,Weathermatic,SmartLine SL1600 Controller,https://www.weathermatic.com/products/controllers/smartline-controllers/
automatic garden watering system,Dramm,watercart 20 gallon,https://www.dramm.com/html/main.isx?sitesec=1.3.250.10
automatic garden watering system,Hozelock,automatic watering,https://www.hozelock.com/product/25-pot-watering-kit/
automatic garden watering system,Hozelock,Hozelock Sensor Controller,https://www.hozelock.com/product/sensor-controller/
automatic garden watering system,Hozelock,Hozelock Rectangular Sprinkler Pro,https://www.hozelock.com/product/rectangular-sprinkler-aquasave-pro-350-xl/
automatic garden watering system,Holman,Holman WX1 Tap Timer,https://www.holmanindustries.com.au/product/smart-moisture-sensor/
automatic garden watering system,Melnor,vortex,https://melnor.com/product/aquatimer-2-zone-digital-water-timer/
automatic garden watering system,Melnor,Melnor 4501,https://melnor.com/product/lawn-rescue-traveling-sprinkler/
automatic garden watering system,Galcon,Galcon 9001D,https://www.galconc.com/product/9001-series/
automatic garden watering system,Galcon,Galcon 11000L,https://www.galconc.com/product/11000-series/
