Product,Brand,Model,URL
automatic garden watering system,Rain Bird,ESP-TM2,https://www.rainbird.com/landscape/products/controllers/esp-tm2
automatic garden watering system,Rain Bird,ST8-2.0,https://www.rainbird.com/landscape/products/controllers/st8
automatic garden watering system,Rain Bird,ESP-Me,https://www.rainbird.com/landscape/products/controllers/esp-me
automatic garden watering system,Hunter,HC-1200i,https://www.hunterindustries.com/irrigation-product/controllers/hc-1200i
automatic garden watering system,Hunter,PRO-HC,https://www.hunterindustries.com/irrigation-product/controllers/pro-hc
automatic garden watering system,Hunter,X-Core,https://www.hunterindustries.com/irrigation-product/controllers/x-core
automatic garden watering system,Orbit,B-Hyve,https://www.orbitonline.com/products/sprinkler-systems/timers/b-hyve-smart-wifi-sprinkler-timer
automatic garden watering system,Orbit,Rain Sensor,https://www.orbitonline.com/products/sprinkler-systems/sensors/wired-rain-freeze-sensor
automatic garden watering system,Orbit,Digital Hose Faucet Timer,https://www.orbitonline.com/products/watering/smart-hose-faucet-timers/b-hyve-smart-hose-faucet-timer
automatic garden watering system,Skydrop,8-Station Smart Controller,https://skydrop.com/products/skydrop-8-station-wifi-sprinkler-controller
automatic garden watering system,Skydrop,Rain Sensor,https://skydrop.com/products/skydrop-mini-rain-sensor
automatic garden watering system,Skydrop,Expansion Module,https://skydrop.com/products/skydrop-wired-expansion-module
automatic garden watering system,Rachio,Rachio 3,https://www.rachio.com/products/rachio-3
automatic garden watering system,Rachio,Rachio 3e,https://www.rachio.com/products/rachio-3e
automatic garden watering system,Rachio,Rachio,https://www.rachio.com/products/rachio-3-mini-extension
automatic garden watering system,Netafim,NetBeat,https://www.netafimusa.com/product/irrigation-products/controllers/netbeat
automatic garden watering system,Netafim,GreenIQ,https://www.netafimusa.com/product/irrigation-products/controllers/greeniq
automatic garden watering system,Netafim,Net45,https://www.netafimusa.com/product/irrigation-products/controllers/net-45
automatic garden watering system,Galcon,9001D,https://www.galconc.com/product/9001d
automatic garden watering system,Galcon,DC1,https://www.galconc.com/product/dc1
automatic garden watering system,Galcon,AC6S,https://www.galconc.com/product/ac6s
