Product,Brand,Model,URL
automatic garden watering system,Rain Bird,ESP4ME3 Irrigation Controller,https://store.rainbird.com/esp4me3-indoor-outdoor-120v-irrigation-controller-lnk-wifi-compatible.html
automatic garden watering system,Rain Bird,ESP-TM2 Irrigation Controller,https://store.rainbird.com/esp-tm2-8-station-indoor-outdoor-120v-irrigation-controller-lnk-wifi-compatible.html
automatic garden watering system,Orbit,B-hyve Smart Indoor/Outdoor Irrigation Controller,https://www.orbitonline.com/products/b-hyve-smart-indoor-outdoor-irrigation-controller
automatic garden watering system,Orbit,Yard Enforcer Motion Activated Sprinkler,https://www.orbitonline.com/products/yard-enforcer-motion-activated-sprinkler
automatic garden watering system,Gardena,Smart Water Control,https://www.gardena.com/int/products/watering/water-controls/smart-water-control/967045101.html
automatic garden watering system,Gardena,Aquazoom Oscillating Sprinkler 3900,https://us.gardena.com/products/aquazoom-oscillating-sprinkler-3900-sq-ft
automatic garden watering system,Raindrip,Hose-End Automatic Water Timer,https://www.raindrip.com/products/timers/hose-end-automatic-water-timer-analog
automatic garden watering system,Raindrip,Automatic Watering Kit with Timer,https://www.raindrip.com/products/kits/automatic-watering-kit-with-timer-for-flowers-shrubs-and-trees
automatic garden watering system,Claber,8053 Oasis Automatic Drip Watering System,https://claber.us/shop/oasis-automatic-drip-watering-system/
automatic garden watering system,Rachio,3 Smart Sprinkler Controller,https://rachio.com/products/rachio-3/
automatic garden watering system,Weathermatic,SmartLine Controllers,https://www.weathermatic.com/products/controllers/smartline-controllers/
automatic garden watering system,Dramm,Watercart,https://www.dramm.com/html/main.isx?sitesec=1.3.250.10
automatic garden watering system,Hozelock,25 Pot Watering Kit,https://www.hozelock.com/product/25-pot-watering-kit/
automatic garden watering system,Hozelock,Sensor Controller,https://www.hozelock.com/product/sensor-controller/
automatic garden watering system,Hozelock,Aquasave Pro 350 XL,https://www.hozelock.com/product/rectangular-sprinkler-aquasave-pro-350-xl/
automatic garden watering system,Holman,Smart Moisture Sensor,https://www.holmanindustries.com.au/product/smart-moisture-sensor/
automatic garden watering system,Melnor,AquaTimer™ 2 Zone Digital Water Timer,https://melnor.com/product/aquatimer-2-zone-digital-water-timer/
automatic garden watering system,Melnor,Lawn Rescue™ Traveling Sprinkler,https://melnor.com/product/lawn-rescue-traveling-sprinkler/
automatic garden watering system,Galcon,9001 Series,https://www.galconc.com/product/9001-series/
automatic garden watering system,Galcon,11000 Series,https://www.galconc.com/product/11000-series/
