Product,Brand,Model,URL
barbecue grill,Weber,Spirit II E-310,https://www.weber.com/US/en/grills/gas-grills/spirit-ii-series/49010001.html
barbecue grill,Weber,Genesis II E-335,https://www.weber.com/US/en/grills/gas-grills/genesis-ii-series/61016001.html
barbecue grill,Weber,Summit S-670,https://www.weber.com/US/en/grills/gas-grills/summit-series/7370001.html
barbecue grill,Napoleon,Rogue XT 425,https://www.napoleon.com/en/us/grills/rogue-series-xt
barbecue grill,Napoleon,Prestige 500,https://www.napoleon.com/en/us/grills/prestige-series
barbecue grill,Napoleon,LEX 485 RSIB,https://www.napoleon.com/en/us/grills/lex-series
barbecue grill,Char-Broil,Performance 475,https://www.charbroil.com/performance-4-burner-gas-grill-black-463347017.html
barbecue grill,Char-Broil,Signature TRU-Infrared 525,https://www.charbroil.com/signature-tru-infrared-3-burner-cabinet-gas-grill.html
barbecue grill,Char-Broil,Commercial TRU-Infrared 3-Burner,https://www.charbroil.com/commercial-tru-infrared-3-burner-gas-grill.html
barbecue grill,Broil King,Regal S490 Pro,https://broilkingbbq.com/grills/regal-s490-pro/
barbecue grill,Broil King,Baron 520,https://broilkingbbq.com/grills/baron-520/
barbecue grill,Broil King,Imperial XL,https://broilkingbbq.com/grills/imperial-xl/
barbecue grill,Traeger,Pro 575,https://www.traegergrills.com/pellet-grills/pro-575
barbecue grill,Traeger,Ironwood 885,https://www.traegergrills.com/pellet-grills/ironwood-series/885
barbecue grill,Traeger,Timberline 1300,https://www.traegergrills.com/pellet-grills/timberline/1300-wood-pellet-grill
barbecue grill,PK Grills,Original PK Grill Smoker,https://www.pkgrills.com/the-original-pk-grill-smoker-graphite/
barbecue grill,PK Grills,PK360 Grill Smoker,https://www.pkgrills.com/pk360-grill-and-smoker-silver/
barbecue grill,PK Grills,PKTX Portable Grill,https://www.pkgrills.com/pktx-portable-grill-silver/
barbecue grill,Pit Boss,Pro Series 1100,https://pitboss-grills.com/Shop-Pit-Boss/grills/pro-series-1100-wood-pellet-grill/
barbecue grill,Pit Boss,Navigator 850,https://pitboss-grills.com/Shop-Pit-Boss/grills/navigator-850-wood-pellet-grill/
barbecue grill,Pit Boss,Platinum Series KC Combo,https://pitboss-grills.com/grills/combo-grills/kc-combo-platinum-series/
