Product,Brand,Model,URL
Beard trimmer,Philips Norelco,Philips Norelco Multigroom Series 7000,https://www.usa.philips.com/c-p/MG7770_49/Norelco-Multigroom-7000-Lithium-ion-beard-and-hair-trimmer 
Beard trimmer,Philips Norelco,Philips Norelco OneBlade,https://www.usa.philips.com/c-p/QP2520_70/oneblade 
Beard trimmer,Philips Norelco,Philips Norelco Series 5100,https://www.usa.philips.com/c-p/BT5210_42/beard-trimmer-series-5100
Beard trimmer,Wahl,Wahl Stainless Steel Lithium Ion Trimmer,https://wahlusa.com/products/stainless-steel-lithium-ion-trimmer-9864 
Beard trimmer,Wahl,Wahl Aqua Blade Multigroomer,https://wahlusa.com/products/aqua-blade-multigroomer-9899
Beard trimmer,Wahl,Wahl Cordless Magic Clip,https://wahlpro.com/Products/CL8501.html
Beard trimmer,Remington,Remington Durablade Trimmer,https://www.remingtonproducts.com/men/shave/trimmers-and-groomers/remington-durablade-trimmer-mb040 
Beard trimmer,Remington,Remington Groom Kit Plus,https://www.remingtonproducts.com/men/shave/trimmers-and-groomers/remington-groom-kit-plus-pg180
Beard trimmer,Remington,Remington The Crafter Trimmer,https://www.remingtonproducts.com/men/shave/trimmers-and-groomers/remington-the-crafter-trimmer-mb4045
Beard trimmer,Braun,Braun All-in-One Trimmer,https://us.braun.com/en-us/male-grooming/stylers-trimmers/all-in-one-trimmer-mgk5040
Beard trimmer,Braun,Braun BT5050 Beard Trimmer,https://us.braun.com/en-us/male-grooming/shavers-for-men/beard-trimmers/bt5050-beard-trimmer
Beard trimmer,Braun,Braun MGK3040 Beard Trimmer,https://us.braun.com/en-us/male-grooming/stylers-trimmers/beard-trimmers/mgk3040-multi-grooming-kit
Beard trimmer,Conair,ConairMAN Beard & Mustache Trimmer,https://www.conair.com/grooming/clippers-trimmers/conairman-beard-mustache-trimmer-pcm11
Beard trimmer,Conair,ConairMAN i-Stubble Ultimate Trimmer,https://www.conair.com/grooming/clippers-trimmers/conairman-i-stubble-ultimate-trimmer-gmt900 
Beard trimmer,Conair,ConairMAN Even Cut Trimmer,https://www.conair.com/grooming/clippers-trimmers/conairman-even-cut-haircut-kit-hct410
Beard trimmer,Braun,Braun Beardtrimmer Series 7,https://us.braun.com/en-us/male-grooming/stylers-trimmers/beard-trimmers/beard-trimmer-series-7-bt7050
Beard trimmer,Braun,Braun Series 6 Beard Trimmer,https://us.braun.com/en-us/male-grooming/stylers-trimmers/beard-trimmers/beard-trimmer-series-6-bt3020
Beard trimmer,Braun,Braun Series 3 Beard Trimmer,https://us.braun.com/en-us/male-grooming/stylers-trimmers/beard-trimmers/bt3020-beard-trimmer
Beard trimmer,Panasonic,Panasonic ER-GB60-K Trimmer,https://shop.panasonic.com/personal-care/mens-grooming/mens-trimmers/ER-GB60-K.html
Beard trimmer,Panasonic,Panasonic ER-GB90-S Trimmer,https://shop.panasonic.com/personal-care/mens-grooming/mens-trimmers/ER-GB90-S.html
Beard trimmer,Panasonic,Panasonic ER-GB40-S Trimmer,https://shop.panasonic.com/personal-care/women-s-beauty/hair-care/ER-GB40-S.html
Beard trimmer,Andis,Andis Slimline Pro Li Trimmer,https://www.andis.com/slimline-pro-li-trimmer-32475/
Beard trimmer,Andis,Andis T-Outliner Trimmer,https://www.andis.com/t-outliner-trimmer-04710/
Beard trimmer,Andis,Andis Professional Outliner II Trimmer,https://www.andis.com/professional-outliner-ii-trimmer-16610/
