Product,Brand,Model,URL
coffee maker,Keurig,K-Elite,https://www.keurig.com/Coffee-Makers/Home-Coffee-Makers/K-Elite-Single-Serve-Coffee-Maker/p/K-Elite
coffee maker,Breville,Precision Brewer,https://www.breville.com/us/en/products/coffee/bdc450.html
coffee maker,Cuisinart,DCC-3200,https://www.cuisinart.com/shopping/appliances/coffee_makers/dcc-3200/
coffee maker,Hamilton Beach,FlexBrew,https://www.hamiltonbeach.com/flexbrew-coffeemaker-49976
coffee maker,Ninja,CP307,https://www.ninjakitchen.com/blenders/ninja-coffee-makers/ninja-coffee-bar-system-cp307/
coffee maker,Mr,12-Cup Programmable Coffee Maker,https://www.mrcoffee.com/12-cup-programmable-coffee-maker/CGX23-NP.html
coffee maker,DeLonghi,Dedica,https://www.delonghi.com/en-us/products/coffee-and-espresso/coffee-makers
coffee maker,Nespresso,VertuoPlus,https://www.nespresso.com/us/en/order/machines/vertuo/vertuoplus
coffee maker,Black Decker,CM2035B,https://www.blackanddeckerappliances.com/products/coffee-and-tea/coffee-makers/12-cup-programmable-coffee-maker-cm2035b.aspx
coffee maker,Braun,Multiserve Coffee Maker,https://www.braunhousehold.com/en-us/products/coffee/multiserve-coffee-maker
coffee maker,KitchenAid,Siphon Coffee Brewer,https://www.kitchenaid.com/countertop-appliances/coffee-products/coffee-makers/heritage-stainless-steel-siphon-coffee-maker-kcm0812ss/883049242342.html
coffee maker,Chemex,Coffeemaker,https://www.chemexcoffeemaker.com/the-chemex-coffeemaker.html
coffee maker,Bodum,Chambord French Press Coffee Maker,https://www.bodum.com/us/en/1308-chambord?sku=11055-16
coffee maker,Smeg,Retro Style Espresso Coffee Machine,https://www.smegusa.com/small-appliances/coffee/retro-style-espresso-coffee-machine-ecf01/
coffee maker,Espro,P7 French Press Coffee Maker,https://espro.ca/products/p7
coffee maker,Wilfa,Precision Coffee Maker,https://www.wilfacenturion.com/
coffee maker,Moccamaster,KBT Coffee Brewer,https://us.moccamaster.com/us/coffebrewer/kbt-741-homelinen-polished-silver
coffee maker,Bonavita,Connoisseur Coffee Maker,https://www.bonavitaworld.com/coffee/specialty-brewers/connoisseur-8-cup-coffee-maker.html
coffee maker,Technivorm,Thermal Coffee Brewer,https://us.technivorm.com/product/kbgt-741/
