Product,Brand,Model,URL
coffee maker,DeLonghi,Dinamica ECAM35075SI,https://www.delonghi.com/en-us/dinamica-automatic-coffee-and-espresso-machine/p/ECAM35075SI
coffee maker,DeLonghi,La Specialista EC9335M,https://www.delonghi.com/en/ec9335-m-la-specialista-manual-espresso-maker/p/EC9335.M
coffee maker,DeLonghi,Magnifica S Smart Cappuccino Maker - ECAM23260SB,https://delonghi.encompass.com/model/DEIECAM23260SB
coffee maker,Breville,Barista Express,https://www.breville.com/us/en/products/espresso/bes870.html
coffee maker,Nespresso,Vertuo Next,https://www.nespresso.com/us/en/order/machines/vertuo/vertuo-next-white
coffee maker,Nespresso,Pixie Electric Titan,https://www.nespresso.com/us/en/order/machines/original/pixie-electric-titan
coffee maker,Nespresso,CitiZ,https://www.nespresso.com/us/en/order/machines/original/nespresso-citiz-cherry-red-refresh
coffee maker,Jura,E6,https://us.jura.com/en/homeproducts/machines/E6-Piano-White-NAC-15559
coffee maker,Jura,E8,https://us.jura.com/en/homeproducts/machines/E8-Chrome-NAA-15371
coffee maker,Jura,S8 Moonlight Silver,https://us.jura.com/en/homeproducts/machines/S8-Moonlight-Silver-NA-15210-v19/Specifications
coffee maker,Philips,3200 Series Fully Automatic Espresso Machine LatteGo,https://home-appliances.philips/products/philips-3200-lattego-ice-coffee
coffee maker,Philips,5400 Series Fully Automatic Espresso Machine,https://home-appliances.philips/products/philips-5400-lattego
coffee maker,Hamilton Beach,FlexBrew 2-Way,https://hamiltonbeach.com/flexbrew-coffee-makers
coffee maker,Hamilton Beach,The Scoop Single-Serve Coffee Maker,https://hamiltonbeach.com/the-scoop-single-serve-coffee-maker-with-removable-reservoir-49987
coffee maker,Hamilton Beach,BrewStation® 12 Cup 47900,https://hamiltonbeach.com/brewstation-12-cup-dispensing-coffee-maker-w-removable-reservoir-47900
coffee maker,Miele,CM5 Silence Series,https://www.mieleusa.com/c/bean-to-cup-coffee-machines-cm5-3195.htm
coffee maker,Miele,CM 5310,https://www.miele.ca/en/Shop/products/detail/countertop-coffee-machines-cm-5310-silence-11670630-p
coffee maker,Gaggia,Cadorna Prestige,https://www.gaggia-na.com/products/gaggia-cadorna-prestige
coffee maker,Gaggia,Velasca Prestige,https://www.gaggia-na.com/products/gaggia-velasca-prestige
coffee maker,Krups,EC322 Thermobrew Programmable Coffee Maker,https://www.krupsusa.com/BREAKFAST-APPLIANCES/Filter-Coffee-Makers/KRUPS-14-CUP-THERMOBREW-PROGRAMMABLE-COFFEE-MAKER-EC322/p/7211002986
coffee maker,Krups,Grind And Brew Auto-Start,https://www.krupsusa.com/BREAKFAST-APPLIANCES/Filter-Coffee-Makers/c/filter-coffee-maker
coffee maker,Technivorm,Moccamaster KBG,https://us.moccamaster.com/collections/glass-carafe-brewers
coffee maker,Zojirushi,Fresh Brew Plus EC-YTC100,https://www.zojirushi.com/app/product/ecytc
coffee maker,Rancilio,Classe 5,https://www.ranciliogroupna.com/equipment/rancilio-classe-5/
