Product,Brand,Model,URL
computer monitor,Dell,Ultrasharp U2723QE,https://www.dell.com/en-us/shop/dell-ultrasharp-27-4k-usb-c-hub-monitor-u2723qe/apd/210-bdpf/monitors-monitor-accessories
computer monitor,Dell,P2725H,https://www.dell.com/en-us/shop/dell-27-monitor-p2725h/apd/210-bmfj/monitors-monitor-accessories
computer monitor,Dell,Ultrasharp U4025QW,https://www.dell.com/en-us/shop/dell-ultrasharp-40-curved-thunderbolt-hub-monitor-u4025qw/apd/210-bmdp/monitors-monitor-accessories
computer monitor,LG,UltraGear 27GN750-B,https://www.lg.com/us/monitors/lg-27gn750-b-gaming-monitor
computer monitor,LG,UltraFine 27UN850-W,https://www.lg.com/us/monitors/lg-27un850-w-4k-uhd-led-monitor
computer monitor,Acer,Nitro XV272U,https://www.acer.com/us-en/monitors/gaming/nitro-xv2/pdp/UM.HX2AA.V06
computer monitor,Asus,ROG Swift PG259QN,https://rog.asus.com/monitors/23-to-24-5-inches/rog-swift-360hz-pg259qn-model/
computer monitor,Asus,ProArt PA32UCX,https://www.asus.com/displays-desktops/monitors/proart/proart-display-pa32ucx/
computer monitor,Asus,TUF Gaming VG289Q,https://www.asus.com/displays-desktops/monitors/tuf-gaming/tuf-gaming-vg289q1a/
computer monitor,ViewSonic,Elite XG270QG,https://www.viewsonic.com/global/products/lcd/XG270QG
computer monitor,ViewSonic,VX2776-4K-mhd,https://www.viewsonic.com/global/products/lcd/VX2776-4K-mhd
computer monitor,ViewSonic,TD2455,https://www.viewsonic.com/global/products/lcd/TD2455
computer monitor,Philips,346B1C,https://www.usa.philips.com/c-p/346B1C_27/curved-ultrawide-lcd-monitor-with-usb-c
computer monitor,Philips,243B9,https://www.memoryc.com/48531-philips-b-line-243b9-00-computer-monitor-60-5-cm-23-8-1920-x-1080-pixels-full-hd-led-black.html
computer monitor,MSI,Optix MAG274QRF-QD,https://us.msi.com/Monitor/Optix-MAG274QRF-QD
computer monitor,MSI,Optix MPG341CQR,https://us.msi.com/Monitor/Optix-MPG341CQR
computer monitor,MSI,Optix G273QF,https://us.msi.com/Monitor/Optix-G273QF
computer monitor,AOC,C32G2E,https://aoc.com/us/gaming/products/monitors/c32g2e
computer monitor,iiyama,ProLite XUB2792QSU-B1,https://iiyama.com/gb_en/products/prolite-xub2792qsu-b1/
computer monitor,iiyama,ProLite XB3288UHSU-B1,https://iiyama.com/gb_en/products/prolite-xb3288uhsu-b1/
computer monitor,EIZO,ColorEdge CG319X,https://www.eizo.com/products/coloredge/cg319x/
computer monitor,EIZO,FlexScan EV2456,https://www.eizo.com/products/flexscan/ev2456/
computer monitor,GIGABYTE,G32QC,https://www.gigabyte.com/Monitor/G32QC#kf
computer monitor,GIGABYTE,M27Q,https://www.gigabyte.com/Monitor/M27Q-rev-10#kf
computer monitor,GIGABYTE,M28U,https://www.gigabyte.com/Monitor/M28U#kf
computer monitor,Razer,Raptor 27,https://www.razer.com/au-en/gaming-monitors/razer-raptor-27-165hz
computer monitor,Sceptre,e265w-fuds,https://www.sceptre.com/Monitors/IPS-Series/E265W-FUDS-25-7-Ultrawide-Full-HD-Monitor-product1401category12category99.html
computer monitor,Sceptre,C275B-1858RN,https://www.sceptre.com/Monitors/Gaming-Series/C275B-1858RN-27-Curved-Monitor-product1113category12category100.html
computer monitor,Sceptre,U275W-4000R,https://www.sceptre.com/Monitors/IPS-Series/U275W-4000R-27-4K-UHD-Monitor-product1002category12category99.html
