Product,Brand,Model,URL
computer monitor,Samsung,Odyssey G7,https://www.samsung.com/us/computing/monitors/gaming/32-odyssey-g7-gaming-monitor-lc32g75tqsnxza/
computer monitor,Samsung,Odyssey Neo G9,https://www.samsung.com/us/computing/monitors/gaming/49-odyssey-neo-g9-gaming-monitor-lc49g95tssnxza/
computer monitor,Samsung,Smart Monitor M7,https://www.samsung.com/us/computing/monitors/smart-monitors/smart-monitor-m7-32-inch-ls32am702unxza/
computer monitor,Dell,Ultrasharp U2723QE,https://www.dell.com/en-us/shop/dell-ultrasharp-27-4k-usb-c-hub-monitor-u2723qe/apd/210-bdpf/monitors-monitor-accessories
computer monitor,Dell,P2725H,https://www.dell.com/en-us/shop/dell-27-monitor-p2725h/apd/210-bmfj/monitors-monitor-accessories
computer monitor,Dell,Ultrasharp U4025QW,https://www.dell.com/en-us/shop/dell-ultrasharp-40-curved-thunderbolt-hub-monitor-u4025qw/apd/210-bmdp/monitors-monitor-accessories
computer monitor,LG,UltraGear 27GN750-B,https://www.lg.com/us/monitors/lg-27gn750-b-ultragear-gaming-monitor
computer monitor,LG,UltraFine 27UN850-W,https://www.lg.com/us/monitors/lg-27un850-w-4k-uhd-led-monitor
computer monitor,LG,34WL850-W,https://www.lg.com/us/monitors/lg-34wl850-w-ultrawide-monitor
computer monitor,Acer,Predator XB273K,https://www.acer.com/ac/en/US/content/predator-model/UM.HX3AA.P03
computer monitor,Acer,Nitro XV272U,https://www.acer.com/ac/en/US/content/model/UM.HX2AA.X03
computer monitor,Acer,KG241Q Pbiip,https://www.acer.com/ac/en/US/content/model/UM.FX1AA.P01
computer monitor,Asus,ROG Swift PG259QN,https://www.asus.com/Displays-Desktops/Monitors/All-series/ROG-Swift-360Hz-PG259QN/
computer monitor,Asus,ProArt PA32UCX,https://www.asus.com/Displays-Desktops/Monitors/ProArt/ProArt-Display-PA32UCX/
computer monitor,Asus,TUF Gaming VG289Q,https://www.asus.com/Displays-Desktops/Monitors/TUF-Gaming/TUF-Gaming-VG289Q1A/
computer monitor,HP,E27d G4,https://www.hp.com/us-en/shop/pdp/hp-e27d-g4-27-inch-advanced-docking-monitor
computer monitor,HP,Z27k G3,https://www.hp.com/us-en/shop/pdp/hp-z27k-g3-27-inch-4k-usb-c-display
computer monitor,HP,M27fwa,https://www.hp.com/us-en/shop/pdp/hp-m27fwa-27-inch-fhd-monitor
computer monitor,BenQ,PD3200U,https://www.benq.com/en-us/monitor/designer/pd3200u.html
computer monitor,BenQ,EX2780Q,https://www.benq.com/en-us/monitor/entertainment/ex2780q.html
computer monitor,BenQ,SW271,https://www.benq.com/en-us/monitor/photographer/sw271.html
computer monitor,ViewSonic,Elite XG270QG,https://www.viewsonic.com/us/elite-xg270qg.html
computer monitor,ViewSonic,VX2776-4K-mhd,https://www.viewsonic.com/us/vx2776-4k-mhd.html
computer monitor,ViewSonic,TD2455,https://www.viewsonic.com/us/td2455.html
computer monitor,Philips,276E8VJSB,https://www.philips.co.uk/c-p/276E8VJSB_00/brilliance-4k-uhd-lcd-display
computer monitor,Philips,346B1C,https://www.philips.co.uk/c-p/346B1C_00/brilliance-curved-ultrawide-lcd-display
computer monitor,Philips,243B9,https://www.philips.co.uk/c-p/243B9_00/lcd-monitor-with-usb-c-dock
computer monitor,MSI,Optix MAG274QRF-QD,https://us.msi.com/Monitor/Optix-MAG274QRF-QD
computer monitor,MSI,Optix MPG341CQR,https://us.msi.com/Monitor/Optix-MPG341CQR
computer monitor,MSI,Optix G273QF,https://us.msi.com/Monitor/Optix-G273QF
computer monitor,Lenovo,ThinkVision M14,https://www.lenovo.com/us/en/p/accessories-and-software/monitors/thinkvision/m14/61dduarr0us
computer monitor,Lenovo,Legion Y25-25,https://www.lenovo.com/us/en/p/accessories-and-software/monitors/gaming/a20337dy2549813e2f7134ebfa1de5aa8
computer monitor,Lenovo,L28u-30,https://www.lenovo.com/us/en/p/accessories-and-software/monitors/home/l28u-30/65fagcc2us
computer monitor,AOC,U2879VF,https://us.aoc.com/en/products/monitors/u2879vf
computer monitor,AOC,24G2,https://us.aoc.com/en/gaming-monitors/24g2-bk
computer monitor,AOC,C32G2E,https://us.aoc.com/en/gaming-monitors/c32g2e
computer monitor,iiyama,ProLite XUB2792QSU-B1,https://iiyama.com/gl_en/products/prolite-xub2792qsu-b1/
computer monitor,iiyama,G-MASTER GB2760HSU-B1,https://iiyama.com/gl_en/products/g-master-gb2760hsu-b1/
computer monitor,iiyama,ProLite XB3288UHSU-B1,https://iiyama.com/gl_en/products/prolite-xb3288uhsu-b1/
computer monitor,NEC,MultiSync EA241F,https://www.necdisplay.com/p/desktop-monitors/ea241f-bk
computer monitor,NEC,MultiSync PA311D,https://www.necdisplay.com/p/desktop-monitors/pa311d-bk
computer monitor,NEC,EX341R,https://www.necdisplay.com/p/desktop-monitors/ex341r-bk
computer monitor,EIZO,ColorEdge CG319X,https://www.eizo.com/products/coloredge/cg319x/
computer monitor,EIZO,FlexScan EV3895,https://www.eizo.com/products/flexscan/ev3895/
computer monitor,EIZO,FlexScan EV2456,https://www.eizo.com/products/flexscan/ev2456/
computer monitor,Alienware,AW2521HFL,https://www.dell.com/en-us/shop/alienware-25-gaming-monitor-aw2521hfl/apd/210-avlt/monitors-monitor-accessories
computer monitor,Alienware,AW2720HF,https://www.dell.com/en-us/shop/alienware-27-gaming-monitor-aw2720hf/apd/210-atwf/monitors-monitor-accessories
computer monitor,Alienware,AW3420DW,https://www.dell.com/en-us/shop/alienware-34-curved-gaming-monitor-aw3420dw/apd/210-atzq/monitors-monitor-accessories
computer monitor,GIGABYTE,G32QC,https://www.gigabyte.com/Monitor/G32QC#kf
computer monitor,GIGABYTE,M27Q,https://www.gigabyte.com/Monitor/M27Q#kf
computer monitor,GIGABYTE,M28U,https://www.gigabyte.com/Monitor/M28U#kf
computer monitor,Razer,Raptor 27,https://www.razer.com/shop/pc/gaming-monitors/razer-raptor-27/RZ39-02740100-R3U1
computer monitor,Razer,Raptor 27 165Hz,https://www.razer.com/shop/pc/gaming-monitors/razer-raptor-27-165hz/RZ39-04010100-R3U1
computer monitor,Razer,Raptor 27 QHD,https://www.razer.com/shop/pc/gaming-monitors/razer-raptor-27/RZ39-02840100-R3U1
computer monitor,Sceptre,E248W-19203R,https://www.sceptre.com/Monitors/LED-Monitor/E248W-19203R-24-Inch-LED-Monitor-product1085category12category82.html
