Product,Brand,Model,URL
computer power supply,Corsair,RM750x,https://www.corsair.com/us/en/p/psu/cp-9020179-na/rmx-series-rm750x-750-watt-80-plus-gold-certified-fully-modular-psu-cp-9020179-na
computer power supply,Corsair,CX650F RGB,https://www.corsair.com/us/en/p/psu/cp-9020217-na/cx-series-cx650f-rgb-650-watt-80-plus-bronze-certified-fully-modular-rgb-psu-cp-9020217-na
computer power supply,EVGA,SuperNOVA 850 GA,https://asia.evga.com/products/product.aspx?pn=220-GA-0850-X1
computer power supply,EVGA,SuperNOVA 1000 G5,https://eu.evga.com/products/product.aspx?pn=220-G5-1000-X2
computer power supply,EVGA,BQ 850,https://eu.evga.com/products/product.aspx?pn=110-BQ-0850-V2
computer power supply,Fractal Design,Ion 760P,https://www.fractal-design.com/products/power-supplies/ion/ion-platinum-760w/black/
computer power supply,Fractal Design,Ion SFX 650G,https://www.fractal-design.com/products/power-supplies/ion/ion-sfx-650w-gold/black/
computer power supply,Be Quiet,Straight Power 11 750W,https://www.bequiet.com/en/powersupply/1359
computer power supply,Be Quiet,Dark Power Pro 12 1200W,https://www.bequiet.com/en/powersupply/1923
computer power supply,Be Quiet,dark power 13,https://www.bequiet.com/en/powersupply/dark-power-13/4040
computer power supply,Thermaltake,Smart BM2 750W,https://www.thermaltake.com/smart-bm2-750w-tt-premium-edition.html
computer power supply,FSP Group,Hydro PTM 750W,https://www.fsplifestyle.com/en/product/HydroPTMPRO750W.html
computer power supply,FSP Group,Hydro GE 650W,https://www.fspgroupusa.com/ecommerce/retail-products/hge/hge650.html
computer power supply,FSP Group,Aurum PT 1200W,https://www.fsplifestyle.com/PROP162000377/
computer power supply,Zalman,teramax ii 1000w 80+ gold certified power supply,https://zalmanusa.com/products/teramax-ii-1200w-80-gold-certified-power-supply-atx-3-0-pci-e-5-0-modular-psu
computer power supply,Lian Li,SP750,https://lian-li.com/product/sp750/
computer power supply,Lian Li,SP850,https://lian-li.com/product/sp850/
computer power supply,Gigabyte,P750GM,https://www.gigabyte.com/Power-Supply/GP-P750GM#kf
computer power supply,Gigabyte,XP1200M,https://www.gigabyte.com/Power-Supply/XP1200M#kf
computer power supply,Gigabyte,P850GM,https://www.gigabyte.com/Power-Supply/P850GM#kf
computer power supply,MSI,MSI MPG A850GF,https://www.msi.com/Power-Supply/MPG-A850GF
computer power supply,MSI,MSI MPG A750GF,https://www.msi.com/Power-Supply/MPG-A750GF
computer power supply,MSI,MSI MAG A650BN,https://www.msi.com/Power-Supply/MAG-A650BN
computer power supply,NZXT,C850,https://nzxt.com/product/c850
