Product,Brand,Model,URL
computer power supply,Corsair,RM750x,https://www.corsair.com/us/en/Categories/Products/Power-Supply-Units/rmx-series-2018-config/p/CP-9020179-NA
computer power supply,Corsair,AX1600i,https://www.corsair.com/us/en/Categories/Products/Power-Supply-Units/axi-series-config/p/CP-9020087-NA
computer power supply,Corsair,SF450,https://www.corsair.com/us/en/Categories/Products/Power-Supply-Units/sf-series-config/p/CP-9020181-NA
computer power supply,EVGA,SuperNOVA 1300 G2,https://www.evga.com/products/product.aspx?pn=120-G2-1300-XR
computer power supply,EVGA,BQ Series 600W,https://www.evga.com/products/product.aspx?pn=110-BQ-0600-K1
computer power supply,EVGA,SuperNOVA 550 G2,https://www.evga.com/products/product.aspx?pn=220-G2-0550-Y1
computer power supply,Seasonic,Focus Plus 650W,https://seasonic.com/focus-plus-gold
computer power supply,Seasonic,Prime TX-850,https://seasonic.com/prime-tx-850
computer power supply,Seasonic,S12III 500 SSR-500GB3,https://seasonic.com/s12iii
computer power supply,Cooler Master,MWE Gold 750 V2,https://www.coolermaster.com/catalog/power-supplies/mwe-gold-v2/
computer power supply,Cooler Master,MPY-7501-AFAAG,https://www.coolermaster.com/catalog/power-supplies/mpy-7501-afaag/
computer power supply,Cooler Master,RS-650-AMAAB1-US,https://www.coolermaster.com/catalog/power-supplies/gx-650w/
computer power supply,Antec,EarthWatts Gold Pro 650W,https://antec.com/product/power/earthwatts-gold-pro/ea650g-pro.php
computer power supply,Antec,NeoECO Gold Zen 500W,https://antec.com/product/power/neoeco-gold-zen/index.php
computer power supply,Antec,High Current Gamer 850W,https://antec.com/product/power/high-current-gamer/hcg850.php
computer power supply,Thermaltake,Toughpower Grand RGB 850W,https://www.thermaltake.com/toughpower-grand-rgb-850w-gold.html
computer power supply,Thermaltake,Smart Pro RGB 750W,https://www.thermaltake.com/smart-pro-rgb-750w-bronze.html
computer power supply,Thermaltake,Toughpower PF1 ARGB 1200W,https://www.thermaltake.com/toughpower-pf1-1200w-platinum.html
computer power supply,NZXT,E850,https://www.nzxt.com/products/e850
computer power supply,NZXT,C850,https://www.nzxt.com/products/c850
computer power supply,NZXT,C750,https://www.nzxt.com/products/c750
