Product,Brand,Model,URL
cordless drill,DeWalt,DCD771C2,https://www.dewalt.com/product/dcd771c2/20v-max-compact-drilldriver-kit
cordless drill,DeWalt,DCD991P2,https://www.dewalt.com/product/dcd991p2/20v-max-xr-brushless-cordless-3-speed-drilldriver-kit
cordless drill,DeWalt,DCD709C2,https://www.dewalt.com/product/dcd709c2/atomic-20v-max-brushless-cordless-compact-12-hammer-drilldriver-kit
cordless drill,Milwaukee,2804-20,https://www.milwaukeetool.com/Products/Power-Tools/Drilling/Hammer-Drills/2804-20
cordless drill,Milwaukee,2803-20,https://www.milwaukeetool.com/Products/Power-Tools/Drilling/Drill-Drivers/2803-20
cordless drill,Bosch,GSR18V-755CB25,https://www.boschtools.com/us/en/products/gsr18v-755cb25-06019G0112
cordless drill,Bosch,GSR12V-300FCB22,https://www.boschtools.com/us/en/products/gsr12v-300fcb22-06019H3011
cordless drill,Bosch,GSR18V-535FCB15,https://www.boschtools.com/us/en/products/gsr18v-535fcb15-06019G7114
cordless drill,Ryobi,P1815,https://ryobitools.ca/products/details/18v-one-plus-brushless-drilldriver-kit/
cordless drill,Hitachi Metabo HPT,metabo hpt (hitachi) launches a blacked-out brushless drill/driver,https://www.metabo-hpt.com/products/product/18v-multivolt-cordless-brushless-driver-drill-impact-driver-combo-kit-(2.0ah-x-2)-metabo-hpt-kc18dexqb
cordless drill,Hitachi Metabo HPT,DS18DGL,https://www.metabo-hpt.com/power-tools/drills-and-impacts/product/18v-ddx-series-sub-compact-driver-drill-metabo-hpt-ds18ddx?bvstate=pg:2/ct:r
cordless drill,Hitachi Metabo HPT,DS18DBFL2,https://www.metabo-hpt.com/products/product/18v-cordless-drill-kit-metabo-hpt-ds18dbfl2em
cordless drill,BlackDecker,LDX120C,https://www.blackanddecker.com/products/ldx120c
cordless drill,BlackDecker,LDX220C,https://www.blackanddecker.com/products/ldx220c
cordless drill,BlackDecker,BDCDD12C,https://www.blackanddecker.com/products/bdcdd12c/12v-max-cordless-drill-driver
cordless drill,Craftsman,CMCD700C1,https://www.craftsman.com/products/cmcd700c1/v20-cordless-1-2-in-drill-driver-kit-1-battery
cordless drill,Craftsman,CMCD721B,https://www.craftsman.com/products/cmcd721b/v20-cordless-brushless-1-2-in-hammerdrill-tool-only
cordless drill,Craftsman,CMCD710C1,https://www.craftsman.com/products/cmcd710c1/v20-cordless-brushless-1-2-in-drill-driver-kit-1-battery
cordless drill,Hilti,SF 2H-A,https://www.hilti.com/c/CLS_POWER_TOOLS_7125/CLS_DRILL_DRIVERS_SCREW_DRIVERS__7125/r9940033
cordless drill,Hilti,SF 6H-A22,https://www.hilti.com/c/CLS_POWER_TOOLS_7125/CLS_DRILL_DRIVERS_SCREW_DRIVERS__7125/r13275508?itemCode=2254917
cordless drill,Hilti,"sf 22-a, sfh 22-a",https://www.hilti.sa/c/CLS_POWER_TOOLS_7125/CLS_DRILL_DRIVERS_SCREW_DRIVERS__7125/r4833
cordless drill,RIDGID,18v max output 4.0 ah battery and charger starter kit,https://www.ridgid.com/us/en/18v-max-output-4-ah-battery-and-charger-starter-kit
cordless drill,RIDGID,R86116,https://www.ridgid.com/us/en/18-v-sub-compact-brushless-1-2-inch-hammer-drill-kit
cordless drill,RIDGID,R86009,https://www.ridgid.com/us/en/18v-brushless-1-2-inch-drill-driver
cordless drill,Porter-Cable,PCCK607LB,https://www.portercable.com/product/pcck607lb/20v-max-brushless-cordless-12-drilldriver-kit
cordless drill,Porter-Cable,PCCK604L2,https://www.portercable.com/product/pcck604l2/20v-max-12-cordless-drilldriver-and-14-impact-driver-combo-kit
cordless drill,Porter-Cable,PCC601LB,https://www.portercable.com/product/pcc601lb/20v-max-12-brushless-cordless-drilldriver-kit
cordless drill,Skil,DL529302,https://www.skil.com/pwrcore-20v-drilldriver-kit-dl529302/
cordless drill,Skil,DL529001,https://www.skil.com/pwrcore-12v-drill-driver-with-mobile-battery-charger-dl529002/
cordless drill,Panasonic,EY74A3LJ2G,https://panasonictools.fi/tuote/porakone-18v-ey74a3-x-xt-pn2g-lj2g/
cordless drill,Panasonic,cordless hammer drill & driver ey79a2lj2g / ey79a2pn2g / ey79a2x - panasonic,https://www.sculepanasonic.ro/produse/masini-de-insurubat-si-gaurit-cu-percutie.html
cordless drill,Stanley,FMC625D2,https://cee.stanleytools.global/product/fmc625d2-qw/stanley-fatmax-v20-18v-cordless-hammer-drill
cordless drill,Stanley,FMC010LB,https://www.stanleytools.ie/product/fmc010lb/fatmax-108v-15ah-drilldriver
cordless drill,Stanley,FMC021S2,https://cee.stanleytools.global/products/power-tools/drills/hammer-drills
cordless drill,Einhell,TE-CD 1840 Li Kit,https://www.einhell.fr/en/p/4257240-te-tk-18-2-li-kit-cd-ag
cordless drill,Einhell,TE-CD 18 Li-i BL Solo,https://www.einhell-service.com/en_DE/4513946-te-cd-18-li-i-bl-solo-ex-us.html
