Product,Brand,Model,URL
cordless drill,DeWalt,DCD791D2,https://www.dewalt.com/products/power-tools/drills/drills-and-hammer-drills/20v-max-xr-d​rilldriver-kit-3.0-ah/dcd791d2
cordless drill,DeWalt,DCD777C2,https://www.dewalt.com/products/power-tools/drills/drills-and-hammer-drills/20v-max-ss-drilldriver-kit/dcd777c2
cordless drill,DeWalt,DCD708C2,https://www.dewalt.com/products/power-tools/drills/drills-and-hammer-drills/20v-max-ss-drilldriver-kit/dcd708c2
cordless drill,Makita,XT269M,https://www.makitatools.com/products/details/XT269M
cordless drill,Makita,XT505,https://www.makitatools.com/products/details/XT505
cordless drill,Makita,XFD11R1B,https://www.makitatools.com/products/details/XFD11R1B
cordless drill,Bosch,DDS181AB,https://www.boschtools.com/us/en/boschtools-ocs/cordless-drilldriver-dds181abc-174205-19195-p/
cordless drill,Bosch,DDB181-02,https://www.boschtools.com/us/en/boschtools-ocs/cordless-drilldriver-ddb18102-184441p/
cordless drill,Bosch,CLPK27-120,https://www.boschtools.com/us/en/boschtools-ocs/cordless-drilldriver-clpk27-120-142734-p/
cordless drill,Milwaukee,2801-22CT,https://www.milwaukeetool.com/Products/Power-Tools/Drilling/Drill-Drivers/2801-22CT
cordless drill,Milwaukee,2703-22,https://www.milwaukeetool.com/Products/Power-Tools/Drilling/Drill-Drivers/2703-22
cordless drill,Milwaukee,2407-22,https://www.milwaukeetool.com/Products/Power-Tools/Drilling/Drill-Drivers/2407-22
cordless drill,Hilti,SF 2-A,https://www.hilti.com/c/CLS_POWER_TOOLS_7127/CLS_CORDLESS_SYSTEMS_7127/CLS_CORDLESS_DRIVERS_7127/r3115
cordless drill,Hilti,SF 6H-A22,https://www.hilti.com/c/CLS_POWER_TOOLS_7127/CLS_CORDLESS_SYSTEMS_7127/CLS_CORDLESS_DRIVERS_7127/r5241911
cordless drill,Hilti,SF 8M-A22,https://www.hilti.com/c/CLS_POWER_TOOLS_7127/CLS_CORDLESS_SYSTEMS_7127/CLS_CORDLESS_DRIVERS_7127/r5319700
cordless drill,Ryobi,P1811,https://www.ryobitools.com/power-tools/products/details/18v-one-plus-compact-drilldriver-kit
cordless drill,Ryobi,P214,https://www.ryobitools.com/power-tools/products/details/18v-one-plus-12-in-drilldriver-kit
cordless drill,Ryobi,P1813,https://www.ryobitools.com/power-tools/products/details/18v-one-plus-hammer-drilldriver-kit
cordless drill,Hitachi,DS18DGL,https://www.hitachipowertools.com/products/metalworking/drills/drills/18v-12-inch-compact-drill-driver-kit-ds18dgl
cordless drill,Hitachi,DS18DBFL2,https://www.hitachipowertools.com/products/metalworking/drills/drills/18v-compact-hammer-drill-driver-ds18dfl2ds18dbfl2
cordless drill,Hitachi,DV18DGL,https://www.hitachipowertools.com/products/metalworking/drills/drills/18v-12-inch-compact-hammer-drill-dv18dgl
cordless drill,Craftsman,CMCD700C1,https://www.craftsman.com/products/craftsman-cmcd700c1-v20-20v-max-12-cordless-drilldriver-kit
cordless drill,Craftsman,CMCD701C2,https://www.craftsman.com/products/craftsman-cmcd701c2-v20-20-volt-max-12-in-cordless-drilldriver-kit
cordless drill,Craftsman,CMCD710C2,https://www.craftsman.com/products/craftsman-cmcd710c2-v20-2-tool-20-volt-max-lithium-ion-cordless-drilldriver-circular-saw-combo-kit
