Product,Brand,Model,URL
curling iron,BaBylissPRO,Nano Titanium Spring Curling Iron,https://babylisspro.com/nano-titanium-1-1-4-inch-spring-curling-iron/BNT125S.html
curling iron,BaBylissPRO,Ceramic Tools Spring Curling Iron,https://babylisspro.com/ci-porcelain-ceramic
curling iron,Hot Tools,hot tools black gold curl bar - 4 barrel set,https://uk.hottools.com/products/limited-edition-hot-tools-24k-black-gold-curl-bar-32mm
curling iron,Hot Tools,Nano Ceramic Curling Iron,https://www.hottools.com/nano-ceramic-salon-curling-iron-wand
curling iron,GHD,Curve Soft Curl Iron,https://www.ghdhair.com/us/curl-irons/ghd-soft-curl-curling-iron-p-302
curling iron,GHD,Curve Classic Curl Iron,https://www.ghdhair.com/us/curl-irons/ghd-classic-curl-curling-iron-p-300
curling iron,GHD,Curve Creative Curl Wand,https://www.ghdhair.com/us/curling-wands/ghd-curve-creative-curl-curling-wand-p-303
curling iron,T3,SinglePass Curl 1.25,https://www.t3micro.com/product/singlepass-curl-clip-curling-iron
curling iron,T3,Twirl Trio Interchangeable Curling Iron,https://www.t3micro.es/en/twirl-trio-interchangeable-curling-iron
curling iron,T3,interchangeable styling wand,https://www.t3micro.com/product/switch-kit-curl-trio-styling-iron-interchangeable-curling-iron
curling iron,Remington,Pro 1-1½ Curling Wand with Pearl Ceramic Technology,https://www.remingtonproducts.com/products/hair-care/hair-care/curling-wands-and-irons/ci9538d-large-pearl-ceramic-styling-wand.aspx
curling iron,BIO IONIC,Long Barrel Styler Pro Curling Iron 1,https://bioionic.com/products/long-barrel-curling-iron
curling iron,BIO IONIC,Gold Pro Curling Iron 1,https://bioionic.com/products/goldpro-curling-iron-1
curling iron,LOréal Professionnel,Steampod Curling Iron,https://us.lorealprofessionnel.com/steampod
curling iron,Sultra,The Bombshell Rod Curling Rod,https://sultra.com/products/bombshell-1-5-inch-clipless-curling-rod
curling iron,Sultra,The Bombshell Cone Rod,https://sultra.com/products/bombshell-cone-clipless-curling-rod
curling iron,Sultra,ir2 infrared flat iron - 1",https://sutrabeauty.com/products/ir2-infrared-flat-iron
curling iron,CROC,CROC Classic Curling Iron 34,https://crocofficial.com/products/new-classic-infrared-black-titanium-flat-iron-1-5-inches
curling iron,CROC,CROC Hybrid Curling Iron 1.25,https://crocofficial.com/products/hybrid-curling-iron-1-25
curling iron,Lange,LUSTRE 32mm Blush Titanium Curling Wand,https://langehair.com/products/le-curl
curling iron,NuMe,Classic Curling Wand Pearl,https://numehair.com/products/classic-pearl-bubble-curling-wand
curling iron,NuMe,Magic Curling Wand 32mm,https://numehair.com/products/magic-curling-wand
curling iron,NuMe,automatic curling wand,https://numehair.com/products/signature-curling-wand
curling iron,Beachwaver Co.,Beachwaver® Pro 1,https://beachwaver.com/products/beachwaver-pro
curling iron,Beachwaver Co.,Beachwaver® B1 Midnight Rose,https://beachwaver.com/products/beachwaver-b1-midnight-rose
curling iron,Beachwaver Co.,Beachwaver® S1.25,https://beachwaver.com/products/beachwaver-s1-25-dual-voltage
curling iron,Le Angelique,Titanium Curling Iron Pink,https://leangelique.com/products/3-in-1-bold-curling-iron-set
