Product,Brand,Model,URL
electric sander,Bosch,ROS20VSC,https://www.boschtools.com/us/en/boschtools-ocs/random-orbit-sanders-ros20vsc-35712-p/
electric sander,Makita,BO5041K,https://www.makitatools.com/products/details/BO5041K
electric sander,DeWalt,DCW210B,https://www.dewalt.com/products/power-tools/sanders-and-polishers/orbitals-and-random-orbit-sanders/20v-max-xr-brushless-5-in-cordless-random-orbital-sander-tool-only/dcw210b
electric sander,Skil,SR211601,https://www.skil.com/skid-sanders/5-amp-random-orbital-sander-sr211601
electric sander,BlackDecker,BDERO100,https://www.blackanddecker.com/products/power-tools/portable-power-tools/sanders/random-orbit-sander/bdero100
electric sander,Festool,574993,https://www.festoolusa.com/products/sanders/random-orbit-sanders/ets-125-req-random-orbital-sander-574993
electric sander,Ryobi,P411,https://www.ryobitools.com/power-tools/products/details/10-random-orbital-sander
electric sander,Metabo,SR358,https://www.metabo.com/com/en/tools/sanders/random-orbital-sander/sr-358-02515000.html
electric sander,Milwaukee,2648-20,https://www.milwaukeetool.com/Products/Power-Tools/Woodworking/Sanders-Shears/2648-20
electric sander,Hitachi,SV13YST,https://www.hitachipowertools.com/products/powertools/sanders/sv13yst
electric sander,Porter-Cable,382,https://www.portercable.com/products/power-tools/sanders-and-polishers/sanders/4-12-in-5-hole-standard-hook-loop-pad-random-orbit-sander/382
electric sander,WEN,6369,https://wenproducts.com/products/6-amp-variable-speed-random-orbital-sander-polisher
electric sander,Fein,63806129220,https://fein.com/en_us/products/tools/product-overview-everything/detail/fein-wpo-14-25-e/80603214910/
electric sander,Triton,TGEOS,https://www.tritontools.com/en-EU/Product/Oscillating-Sander-450W-TGEOS
electric sander,AEG,BS 12 G3,https://www.aeg-powertools.eu/products/details/BRS12C
electric sander,Hitachi Koki,SV13YB,https://www.hitachi-koki.com/powertools/products/detail/sv13yb_3.html
electric sander,Feider,FDOE135,https://www.feider.fr/poncer-polir/30-ponceuse-excentrique-vis-stdige-135-mm-avenue-8001384
electric sander,Draper,35980,https://www.drapertools.com/product/35980/230V-1500W-28Kg-OH-Drum-Sander
electric sander,Hoteche,HOTE2467,https://www.hoteche.com/en/polishing-sander/2467
electric sander,Einhell,4462000,https://www.einhell.com/products/power-x-change-18v-150mm-cordless-polisher-sander-te-po-18-li-sof/
