Product,Brand,Model,URL
electric toothbrush,Oral-B,Oral-B Pro 1000,https://oralb.com/en-us/oral-b-pro-1000-rechargeable-electric-toothbrush/
electric toothbrush,Oral-B,Oral-B Genius X,https://oralb.com/en-us/products/electric-toothbrushes/genius-x-limited-electronic-toothbrush-white/
electric toothbrush,Oral-B,Oral-B iO Series 9,https://oralb.com/en-us/products/electric-toothbrushes/io-series-9-electric-toothbrush-rose-quartz/
electric toothbrush,Philips,Philips Sonicare ProtectiveClean 6100,https://www.philips.co.za/c-p/HX6877_23/sonicare-protectiveclean-6100-sonic-electric-toothbrush
electric toothbrush,Philips,Philips Sonicare DiamondClean Smart,https://www.usa.philips.com/c-p/HX9924_11/sonicare-diamondclean-smart-9500-sonic-electric-toothbrush-with-app
electric toothbrush,Philips,Philips Sonicare for Kids,https://www.usa.philips.com/c-p/HX6321_02/sonicare-for-kids-sonic-electric-toothbrush
electric toothbrush,Colgate,Colgate Hum Smart Electric Toothbrush,https://shop.colgate.com/products/hum-adult-smart-rechargeable-electric-toothbrush
electric toothbrush,Colgate,colgate smart manual toothbrush,https://shop.colgate.com/products/hum-kids-smart-manual-toothbrush
electric toothbrush,FOREO,FOREO ISSA 2,https://www.foreo.com/issa-2
electric toothbrush,FOREO,FOREO ISSA Mini 2,https://www.foreo.com/issa-mini-2
electric toothbrush,FOREO,FOREO ISSA Mikro,https://www.foreo.com/issa-mikro
electric toothbrush,Quip,Quip Metal Electric Toothbrush,https://www.getquip.com/store/products/silver-metal-electric-toothbrush-set
electric toothbrush,Quip,Quip Smart Electric Toothbrush,https://www.getquip.com/store/products/smart-electric-toothbrush-set-black
electric toothbrush,Waterpik,"sonic-fusion professional, sf-04",https://store.waterpik.com/black-sonic-fusion-professional-sf-04
electric toothbrush,Waterpik,Waterpik Complete Care 9.0,https://www.waterpik.com/products/complete-care/CC-01CD010-1/
electric toothbrush,Waterpik,Waterpik Sonic-Fusion 2.0,https://www.waterpik.com/products/flossing-toothbrush/
electric toothbrush,Burst,Burst Sonic Toothbrush,https://www.burstoralcare.com/product/toothbrush-pro#
electric toothbrush,Burst,Burst Kids Electric Toothbrush,https://www.burstoralcare.com/product/kids-toothbrush#
electric toothbrush,Spinbrush,PRO CLEAN,https://www.spinbrush.com/en/products/pro-clean-toothbrush
electric toothbrush,Spinbrush,PRO Deep Clean,https://www.spinbrush.com/en/products/pro-plus-deep-clean-toothbrush
electric toothbrush,Spinbrush,PRO WHITEN,https://www.spinbrush.com/en/products/pro-whiten-toothbrush
electric toothbrush,Fairywill,Fairywill E11 Sonic Electric Toothbrush,https://www.fairywill.com/products/e11-sonic-electric-toothbrush-with-8-bursh-heads
electric toothbrush,Xiaomi,Xiaomi Mi Smart Electric Toothbrush T500,https://www.mi.com/global/product/mi-smart-electric-toothbrush-t500/
electric toothbrush,Xiaomi,Xiaomi Mi Electric Toothbrush T300,https://store.mi.com/in/item/3203900003
electric toothbrush,Xiaomi,Xiaomi Mi Electric Toothbrush T100,https://store.mi.com/in/item/3202200008
electric toothbrush,Papablic,Papablic Baby Electric Toothbrush,https://papablic.com/products/toothbrush
electric toothbrush,Oclean,Oclean X Pro Elite,https://www.oclean.com/products/sonic-electric-toothbrush-x-pro-elite
electric toothbrush,Oclean,Oclean One,https://global.oclean.com/products/sonic-electric-toothbrush-x-pro-digital
electric toothbrush,Oclean,Oclean Air 2,https://www.oclean.com/products/sonic-electric-toothbrush-air-2
electric toothbrush,Sonic-FX,Sonic-FX Solo Sonic Toothbrush,https://sonicfxtoothbrush.com/product/sonic-fx-solo/
