Product,Brand,Model,URL
electric toothbrush,Oral-B,Oral-B Pro 1000,https://oralb.com/en-us/products/electric-toothbrushes/pro-1000-rechargeable-electric-toothbrush/
electric toothbrush,Oral-B,Oral-B Genius X,https://oralb.com/en-us/products/electric-toothbrushes/genius-x-rechargeable-toothbrush/
electric toothbrush,Oral-B,Oral-B iO Series 9,https://oralb.com/en-us/products/electric-toothbrushes/io-series-9-rechargeable-electric-toothbrush/
electric toothbrush,Philips,Philips Sonicare ProtectiveClean 6100,https://www.usa.philips.com/c-p/HX6877_21/sonicare-protectiveclean-6100-sonic-electric-toothbrush
electric toothbrush,Philips,Philips Sonicare DiamondClean Smart,https://www.usa.philips.com/c-p/HX9924_11/sonicare-diamondclean-smart-9500-sonic-electric-toothbrush
electric toothbrush,Philips,Philips Sonicare for Kids,https://www.usa.philips.com/c-p/HX6321_02/sonicare-for-kids-sonic-electric-toothbrush
electric toothbrush,Colgate,Colgate Hum Smart Electric Toothbrush,https://shop.colgate.com/products/hum-smart-electric-toothbrush
electric toothbrush,Colgate,Colgate Optic White Advanced LED Whitening,https://shop.colgate.com/products/optic-white-advanced-led-whitening
electric toothbrush,Colgate,Colgate Magik,https://shop.colgate.com/products/magik
electric toothbrush,FOREO,FOREO ISSA 2,https://www.foreo.com/issa-2
electric toothbrush,FOREO,FOREO ISSA Mini 2,https://www.foreo.com/issa-mini-2
electric toothbrush,FOREO,FOREO ISSA Mikro,https://www.foreo.com/issa-mikro
electric toothbrush,Quip,Quip Metal Electric Toothbrush,https://www.getquip.com/shop/electric-toothbrush
electric toothbrush,Quip,Quip Smart Electric Toothbrush,https://www.getquip.com/shop/smart-electric-toothbrush
electric toothbrush,Quip,Quip Kids Electric Toothbrush,https://www.getquip.com/shop/kids-electric-toothbrush
electric toothbrush,Waterpik,Waterpik Sonic-Fusion Professional,https://www.waterpik.com/oral-health/products/sonic-fusion/SF-02CD012-1/
electric toothbrush,Waterpik,Waterpik Complete Care 9.0,https://www.waterpik.com/oral-health/products/complete-care/WP-950/
electric toothbrush,Waterpik,Waterpik Sonic-Fusion 2.0,https://www.waterpik.com/oral-health/products/sonic-fusion/SF-02/
electric toothbrush,Burst,Burst Sonic Toothbrush,https://www.burstoralcare.com/product/toothbrush
electric toothbrush,Burst,Burst Kids Electric Toothbrush,https://www.burstoralcare.com/product/kids-toothbrush
electric toothbrush,Burst,Burst Limited Edition Sonic Toothbrush,https://www.burstoralcare.com/product/limited-edition
electric toothbrush,Spinbrush,PRO CLEAN,https://www.armandhammer.com/en/oral-care/electric-toothbrushes/spinbrush-pro-clean
electric toothbrush,Spinbrush,PRO Deep Clean,https://www.armandhammer.com/en/oral-care/electric-toothbrushes/spinbrush-pro-deep-clean
electric toothbrush,Spinbrush,PRO WHITEN,https://www.armandhammer.com/en/oral-care/electric-toothbrushes/spinbrush-pro-whiten
