Product,Brand,Model,URL
electric toothbrush,Oral-B,Pro 1000,https://oralb.com/en-us/oral-b-pro-1000-rechargeable-electric-toothbrush/
electric toothbrush,Oral-B,Genius X Limited,https://oralb.com/en-us/products/electric-toothbrushes/genius-x-limited-electronic-toothbrush-white/
electric toothbrush,Oral-B,iO Series 9,https://oralb.com/en-us/products/electric-toothbrushes/io-series-9-electric-toothbrush-rose-quartz/
electric toothbrush,Philips,Sonicare ProtectiveClean 6100,https://www.philips.co.za/c-p/HX6877_23/sonicare-protectiveclean-6100-sonic-electric-toothbrush
electric toothbrush,Philips,DiamondClean Smart 9500,https://www.usa.philips.com/c-p/HX9924_11/sonicare-diamondclean-smart-9500-sonic-electric-toothbrush-with-app
electric toothbrush,Philips,Sonicare for Kids HX6321/02,https://www.usa.philips.com/c-p/HX6321_02/sonicare-for-kids-sonic-electric-toothbrush
electric toothbrush,Colgate,Hum Smart Rechargeable,https://shop.colgate.com/products/hum-adult-smart-rechargeable-electric-toothbrush
electric toothbrush,Colgate,hum Kids Smart Manual AR Toothbrush,https://shop.colgate.com/products/hum-kids-smart-manual-toothbrush
electric toothbrush,FOREO,ISSA 2,https://www.foreo.com/issa-2
electric toothbrush,FOREO,ISSA Mini 2,https://www.foreo.com/issa-mini-2
electric toothbrush,FOREO,ISSA mikro,https://www.foreo.com/issa-mikro
electric toothbrush,Quip,Metal Series Silver,https://www.getquip.com/store/products/silver-metal-electric-toothbrush-set
electric toothbrush,Quip,Smart Electric Toothbrush,https://www.getquip.com/store/products/smart-electric-toothbrush-set-black
electric toothbrush,Waterpik,Sonic-Fusion SF-04,https://store.waterpik.com/black-sonic-fusion-professional-sf-04
electric toothbrush,Waterpik,Complete Care 9.0,https://www.waterpik.com/products/complete-care/CC-01CD010-1/
electric toothbrush,Waterpik,Sonic-Fusion™,https://www.waterpik.com/products/flossing-toothbrush/
electric toothbrush,Burst,BURST Pro Toothbrush,https://www.burstoralcare.com/product/toothbrush-pro#
electric toothbrush,Burst,BURSTkids,https://www.burstoralcare.com/product/kids-toothbrush#
electric toothbrush,Spinbrush,PRO CLEAN,https://www.spinbrush.com/en/products/pro-clean-toothbrush
electric toothbrush,Spinbrush,PRO+ Deep Clean,https://www.spinbrush.com/en/products/pro-plus-deep-clean-toothbrush
electric toothbrush,Spinbrush,PRO WHITEN,https://www.spinbrush.com/en/products/pro-whiten-toothbrush
electric toothbrush,Fairywill,E11 Sonic,https://www.fairywill.com/products/e11-sonic-electric-toothbrush-with-8-bursh-heads
electric toothbrush,Xiaomi,Mi Smart Electric Toothbrush T500,https://www.mi.com/global/product/mi-smart-electric-toothbrush-t500/
electric toothbrush,Xiaomi,Mi Electric Toothbrush T300,https://store.mi.com/in/item/3203900003
electric toothbrush,Xiaomi,Mi Electric Toothbrush T100,https://store.mi.com/in/item/3202200008
electric toothbrush,Papablic,Dinosaur & Unicorn Series,https://papablic.com/products/toothbrush
electric toothbrush,Oclean,Oclean X Pro Elite,https://www.oclean.com/products/sonic-electric-toothbrush-x-pro-elite
electric toothbrush,Oclean,Oclean X Pro,https://global.oclean.com/products/sonic-electric-toothbrush-x-pro-digital
electric toothbrush,Oclean,Air 2,https://www.oclean.com/products/sonic-electric-toothbrush-air-2
electric toothbrush,Sonic-FX,Solo Sonic FX,https://sonicfxtoothbrush.com/product/sonic-fx-solo/
