Product,Brand,Model,URL
eyeshadow,Urban Decay,Naked Reloaded Eyeshadow Palette,https://www.urbandecay.com/naked-reloaded-eyeshadow-palette-ud937.html
eyeshadow,Urban Decay,Naked Cherry Eyeshadow Palette,https://www.urbandecay.com/naked-cherry-eyeshadow-palette-ud931.html
eyeshadow,Urban Decay,Born To Run Eyeshadow Palette,https://www.urbandecay.com/born-to-run-eyeshadow-palette-ud906.html
eyeshadow,ColourPop,Main Squeeze Eyeshadow Palette,https://colourpop.com/products/main-squeeze
eyeshadow,ColourPop,Stone Cold Fox Eyeshadow Palette,https://colourpop.com/products/stone-cold-fox
eyeshadow,ColourPop,Baroque Eyeshadow Palette,https://colourpop.com/products/baroque
eyeshadow,Anastasia Beverly Hills,Modern Renaissance Eyeshadow Palette,https://www.anastasiabeverlyhills.com/modern-renaissance-palette/ABH01-18170.html
eyeshadow,Anastasia Beverly Hills,Soft Glam Eyeshadow Palette,https://www.anastasiabeverlyhills.com/soft-glam-palette/ABH01-18176.html
eyeshadow,Anastasia Beverly Hills,4,https://www.anastasiabeverlyhills.com/norvina-pro-pigment-palette-vol-4.html
eyeshadow,Morphe,35M Boss Mood Artistry Palette,https://www.morphe.com/products/35m-boss-mood-artistry-palette
eyeshadow,Morphe,35V Stunning Vibes,https://www.morphe.com/products/35v-stunning-vibes
eyeshadow,Morphe,Jaclyn Hill Eyeshadow Palette,https://www.morphe.com/products/jaclyn-hill-eyeshadow-palette
eyeshadow,NYX Professional Makeup,Ultimate Edit Petite Palette,https://www.nyxcosmetics.com/ultimate-edit-petite-shadow-palette/NYX_803.html
eyeshadow,NYX Professional Makeup,Epic Wear Waterproof Eyeshadow Primer,https://www.nyxcosmetics.com/epic-wear-waterproof-eye-shadow-primer/NYX_755.html
eyeshadow,NYX Professional Makeup,Off Tropic Shadow Palette,https://www.nyxcosmetics.com/off-tropic-shadow-palette/NYX_708.html
eyeshadow,Too Faced,Chocolate Bar Eyeshadow Palette,https://www.toofaced.com/eye-makeup/eyeshadow-palettes/chocolate-bar-eye-shadow-collection/41031.html
eyeshadow,Too Faced,Peanut Butter Jelly Eyeshadow Palette,https://www.toofaced.com/eye-makeup/eyeshadow-palettes/peanut-butter-and-jelly-eye-shadow-palette/41058.html
eyeshadow,Too Faced,Natural Eyes Eyeshadow Palette,https://www.toofaced.com/eye-makeup/eyeshadow-palettes/natural-eyes-shadow-palette/41061.html
eyeshadow,Tarte,Tartelette In Bloom Clay Eyeshadow Palette,https://tartecosmetics.com/shop/makeup/eyes/eyeshadow-palettes/tartelette-in-bloom-palette/1115.html
eyeshadow,Tarte,Rainforest of the Sea Foil Finger Paints Shadow Palette,https://tartecosmetics.com/shop/makeup/eyes/eyeshadow-palettes/rainforest-of-the-sea-foil-finger-paints-shadow-palette/1589.html
eyeshadow,Tarte,Love Trust Fairy Dust Eyeshadow Palette,https://tartecosmetics.com/shop/makeup/eyes/eyeshadow-palettes/love-trust-fairy-dust-palette/1621.html
