Product,Brand,Model,URL
eyeshadow,Anastasia Beverly Hills,Soft Glam Palette,https://www.anastasiabeverlyhills.au/soft-glam-palette/12276039.html
eyeshadow,Anastasia Beverly Hills,NORVINA Pro Pigment Palette Vol. 5,https://www.anastasiabeverlyhills.au/norvina-pro-pigment-palette-vol-5/13941210.html
eyeshadow,Anastasia Beverly Hills,Modern Renaissance Palette,https://www.anastasiabeverlyhills.co.uk/modern-renaissance-palette/11336238.html
eyeshadow,Too Faced,Better Than Chocolate Palette,https://www.toofaced.com/product/23483/106598/eye-makeup/eye-shadow-palettes/better-than-chocolate-eye-shadow-palette/cocoa-infused-eye-shadow-palette
eyeshadow,Too Faced,Born This Way The Natural Nudes,https://www.toofaced.com/product/23483/73023/eye-makeup/eye-shadow-palettes/born-this-way-the-natural-nudes-eye-shadow-palette/high-pigment-complexion-inspired-neutral-shades
eyeshadow,NARS,Orgasm Rising,https://www.narscosmetics.com/USA/orgasm-rising-eyeshadow-palette/0194251135892.html
eyeshadow,ColourPop,Sweet Talk Palette,https://colourpop.com/products/sweet-talk-eyeshadow-palette
eyeshadow,ColourPop,Going Coconuts Palette,https://colourpop.com/products/going-coconuts-eyeshadow-palette
eyeshadow,Pat McGrath Labs,Mothership Duo,https://www.patmcgrath.com/collections/mothership-duo
eyeshadow,Pat McGrath Labs,Mothership VII: Divine Rose,https://www.patmcgrath.com/products/mothership-vii-divine-rose
eyeshadow,Tarte Cosmetics,Tarteist PRO To Go Palette,https://tartecosmetics.com/shop/tarteist-pro-to-go-palette-953.html
eyeshadow,Tarte Cosmetics,Tartelette™ Toasted,https://tartecosmetics.com/shop/tartelette-toasted-eyeshadow-palette-1108.html
eyeshadow,NYX Professional Makeup,Warm Neutrals Ultimate Shadow Palette,https://www.nyxcosmetics.com.au/eye/eyeshadow-palettes/ultimate-shadow-palette/NYX_337.html
eyeshadow,LOréal Paris,Colour Riche Monos,https://www.lorealparisusa.com/makeup/eye/eye-shadow/colour-riche-eyeshadow
eyeshadow,LOréal Paris,Infallible 24 HR,https://www.lorealparisusa.com/makeup/eye/eye-shadow/infallible-24-hr-eye-shadow
eyeshadow,Milani,Gilded Shadow Stick,https://www.milanicosmetics.com/products/gilded-eyeshadow-sticks
eyeshadow,Milani,Most Wanted Palette,https://www.milanicosmetics.com/products/most-wanted-eyeshadow-palettes
eyeshadow,Milani,Ungilded Most Loved Mattes,https://www.milanicosmetics.com/products/ungilded-most-loved-mattes-eyeshadow-palette
eyeshadow,Makeup Revolution,Reloaded Provocative Revolution,https://www.revolutionbeauty.us/makeup-revolution-reloaded-provocative/12768604.html
eyeshadow,Makeup Revolution,Forever Flawless Allure,https://www.revolutionbeauty.us/forever-flawless-eye-shadow-palette-allure/12657031.html
eyeshadow,Kiko Milano,Smart Colour,https://www.kikocosmetics.com/en-fi/make-up/eyes/eyeshadows/Smart-Colour-Eyeshadow/p-KM00313005
eyeshadow,Kiko Milano,Blendable All-in-One Palette,https://www.kikocosmetics.com/en-us/c/make-up/palettes/eye-palette/
