Product,Brand,Model,URL
hedge trimmer,Black Decker,BEHTS300,https://www.blackanddecker.com/products/lawn-and-garden/lawn/hedge-trimmers/20-in-sawblade-electric-hedge-trimmer/behts300
hedge trimmer,Black Decker,BEHT150,https://www.blackanddecker.com/products/lawn-and-garden/lawn/hedge-trimmers/17-in-electric-hedge-trimmer/beht150
hedge trimmer,Black Decker,LHT321FF,https://www.blackanddecker.com/products/lawn-and-garden/lawn/hedge-trimmers/powercut-20v-max-lithium-ion-22-in-hedge-trimmer/lht321ff
hedge trimmer,Bosch,EasyHedgeCut 18-45,https://www.bosch-garden.com/gb/en/garden-tools/garden-tools/easyhedgecut-18-45-3165140883923-199927.jsp
hedge trimmer,Bosch,AHS 45-16,https://www.bosch-garden.com/gb/en/garden-tools/garden-tools/ahs-45-16-3165140582612-199921.jsp
hedge trimmer,Bosch,AdvancedHedgeCut 36,https://www.bosch-garden.com/gb/en/garden-tools/garden-tools/advancedhedgecut-36-3165140643665-199932.jsp
hedge trimmer,STIHL,HSA 45,https://www.stihlusa.com/products/hedge-trimmers/battery-hedge-trimmers/hsa45/
hedge trimmer,STIHL,HSA 56,https://www.stihlusa.com/products/hedge-trimmers/battery-hedge-trimmers/hsa56/
hedge trimmer,STIHL,HS 82 T,https://www.stihlusa.com/products/hedge-trimmers/gas-hedge-trimmers/hs82t/
hedge trimmer,Ryobi,P2606B,https://www.ryobitools.com/products/details/18v-one-plus-22-in-hedge-trimmer
hedge trimmer,Ryobi,RY40602BTL,https://www.ryobitools.com/products/details/40v-24-in-brushless-hedge-trimmer
hedge trimmer,Ryobi,P2605,https://www.ryobitools.com/products/details/18v-one-plus-18-in-hedge-trimmer
hedge trimmer,ECHO,HC-2020,https://www.echo-usa.com/Products/Hedge-Trimmers/HC-2020
hedge trimmer,ECHO,HC-152,https://www.echo-usa.com/Products/Hedge-Trimmers/HC-152
hedge trimmer,ECHO,HCS-4020,https://www.echo-usa.com/Products/Hedge-Trimmers/HCS-4020
hedge trimmer,Greenworks,2200902,https://www.greenworkstools.com/greenworks-hedge-trimmer-2200902
hedge trimmer,Greenworks,24102A,https://www.greenworkstools.com/40v-24in-hedge-trimmer-24102a
hedge trimmer,Greenworks,22632A,https://www.greenworkstools.com/40v-24in-rotating-hedge-trimmer-22632a
hedge trimmer,DeWALT,DCHT820P1,https://www.dewalt.com/products/power-tools/outdoor-power-equipment/hedge-trimmers/20v-max-lithium-ion-22-in-hedge-trimmer-kit/dcht820p1
