Product,Brand,Model,URL
laptop,Acer,Acer Aspire 5,https://www.acer.com/us-en/laptops/aspire/aspire-5-intel
laptop,Acer,Acer Swift 3,https://www.acer.com/us-en/laptops/swift/swift-3-intel
laptop,Acer,Acer Predator Helios 300,https://www.acer.com/us-en/predator/laptops/helios/helios-300
laptop,Asus,Asus ZenBook 14,https://www.asus.com/laptops/for-home/zenbook/zenbook-14-ux425-11th-gen-intel/
laptop,Asus,Asus ROG Strix G15,https://rog.asus.com/laptops/rog-strix/2021-rog-strix-g15-series/
laptop,Asus,asus zenbook duo (2024) ux8406,https://www.asus.com/laptops/for-home/zenbook/asus-zenbook-duo-2024-ux8406/
laptop,Apple,MacBook Air,https://www.apple.com/shop/buy-mac/macbook-air
laptop,Apple,MacBook Pro,https://www.apple.com/shop/buy-mac/macbook-pro
laptop,MSI,MSI GS76 Stealth,https://us.msi.com/Laptop/GS76-Stealth-11UX/Specification
laptop,MSI,MSI GT76 Titan,https://www.msi.com/Laptop/GT76-Titan-9SX/Specification
laptop,MSI,prestige 13 ai evo a1m,https://www.msi.com/Business-Productivity/Prestige-13-AI-Evo-A1MX
laptop,Samsung,Samsung Galaxy Book Pro,https://www.samsung.com/us/app/computing/galaxy-book-pro/
laptop,LG,LG Gram 16,https://www.lg.com/us/laptops/lg-16z90r-k.aas8u1-gram-laptop
laptop,LG,LG Gram 14,https://www.lg.com/us/laptops/lg-14z90r-k.arw5u1-gram-laptop
laptop,Razer,Razer Blade 15,https://www.razer.com/gaming-laptops/razer-blade-15
laptop,Razer,Razer Blade Stealth 13,https://www.razer.com/gaming-laptops/razer-blade-stealth
laptop,Razer,Razer Blade Pro 17,https://www.razer.com/gaming-laptops/razer-blade-17
laptop,Toshiba,Toshiba Tecra A50-J,https://us.dynabook.com/computers/laptops/tecra/A50/A50-J-BTO
laptop,Toshiba,Toshiba Portégé X30L-G,https://us.dynabook.com/computers-tablets/laptops/portege/x30l
laptop,Toshiba,satellite pro c40,https://us.dynabook.com/computers/laptops/satellitepro/C40/C40-K14250
laptop,Fujitsu,Fujitsu Lifebook U9311X,https://www.fujitsu.com/id/products/computing/pc/ap/notebooks/lifebook-u9311x/
laptop,Fujitsu,Fujitsu Lifebook U7310,https://www.fujitsu.com/id/products/computing/pc/ap/notebooks/lifebook-u7310/
laptop,Panasonic,Panasonic Toughbook 33,https://na.panasonic.com/us/computers-tablets/computers/2-1s/toughbook-33
laptop,Panasonic,Panasonic Toughbook 55,https://na.panasonic.com/us/computers-tablets/computers/laptops/toughbook-55
laptop,Panasonic,toughbook g2,https://na.panasonic.com/us/computers-tablets/computers/2-1s/toughbook-g2
laptop,Gigabyte,Gigabyte AERO 15,https://www.gigabyte.com/Laptop/AERO-15--Intel-10th-Gen#kf
laptop,Gigabyte,Gigabyte AORUS 15G,https://www.gigabyte.com/Laptop/AORUS-15G--Intel-10th-Gen#kf
laptop,Gigabyte,Gigabyte G5,https://www.gigabyte.com/Laptop/G5--Intel-11th-Gen#kf
laptop,Huawei,Huawei MateBook 14,https://consumer.huawei.com/en/laptops/matebook-14-2021/
laptop,Purism,Purism Librem 14,https://puri.sm/products/librem-14/
laptop,Purism,Purism Librem Mini,https://puri.sm/products/librem-mini/
laptop,Microsoft,Surface Laptop 5,https://www.microsoft.com/en-us/d/surface-laptop-5/8xn49v61s1bn
laptop,Microsoft,Surface Laptop Studio 2,https://www.microsoft.com/en-us/d/surface-laptop-studio-2/8rqr54krf1dz
