Product,Brand,Model,URL
laptop,Acer,Acer Aspire 5,https://www.acer.com/ac/en/US/content/model/NX.A1LAA.006
laptop,Acer,Acer Swift 3,https://www.acer.com/ac/en/US/content/model/NX.ABRAA.004
laptop,Acer,Acer Predator Helios 300,https://www.acer.com/ac/en/US/content/model/NH.QD1AA.004
laptop,Asus,Asus ZenBook 14,https://www.asus.com/Laptops/For-Home/ZenBook/ZenBook-14-UX425-11th-Gen-Intel/
laptop,Asus,Asus ROG Strix G15,https://www.asus.com/Laptops/For-Gaming/ROG-Republic-of-Gamers/ROG-Strix-G15-2022/
laptop,Asus,Asus TUF Gaming F17,https://www.asus.com/Laptops/For-Gaming/TUF-Gaming/2022-ASUS-TUF-Gaming-F17/
laptop,Dell,Dell XPS 13,https://www.dell.com/en-us/shop/dell-laptops/new-xps-13-laptop/spd/xps-13-9315-laptop
laptop,Dell,Dell Inspiron 15,https://www.dell.com/en-us/shop/dell-laptops/inspiron-15-laptop/spd/inspiron-15-3511-laptop
laptop,Dell,Dell G5 15,https://www.dell.com/en-us/shop/dell-laptops/dell-g5-15-gaming-laptop/spd/g-series-15-5500-laptop
laptop,HP,HP Spectre x360,https://www.hp.com/us-en/shop/mdp/laptops/spectre-x360-211501--1
laptop,HP,HP Envy 13,https://www.hp.com/us-en/shop/ConfigureView?storeId=10151&catalogId=10053&langId=-1&catEntryId=3074457345619754321&urlLangId=&quantity=1
laptop,HP,HP Pavilion 15,https://www.hp.com/us-en/shop/pdp/hp-pavilion-laptop-15-eg2097nr
laptop,Lenovo,Lenovo ThinkPad X1 Carbon,https://www.lenovo.com/us/en/p/laptops/thinkpad/thinkpadx/x1-carbon-gen-10/20ym0009us
laptop,Lenovo,Lenovo Yoga Slim 7i,https://www.lenovo.com/us/en/p/laptops/yoga/yoga-slim-series/yoga-slim-7i-(14%E2%80%9D-intel)/88yas701450
laptop,Lenovo,Lenovo Legion 5 Pro,https://www.lenovo.com/us/en/p/laptops/legion-laptops/legion-5-series/legion-5-pro-(16%E2%80%9D-amd)/82jy009hus
laptop,Apple,MacBook Air,https://www.apple.com/shop/buy-mac/macbook-air
laptop,Apple,MacBook Pro,https://www.apple.com/shop/buy-mac/macbook-pro
laptop,MSI,MSI GS76 Stealth,https://us.msi.com/Laptop/GS76-Stealth-11UX
laptop,MSI,MSI GT76 Titan,https://us.msi.com/Laptop/GT76-Titan-10SX
laptop,MSI,MSI Prestige 14,https://us.msi.com/Laptop/Prestige-14-Evo-A11X
laptop,Samsung,Samsung Galaxy Book Pro,https://www.samsung.com/us/computing/windows-laptops/galaxy-book-pro/galaxy-book-pro-360-15-6-inch-1tb-mystic-navy-np950qdb-ke3us/
laptop,Samsung,Samsung Galaxy Book Flex2 Alpha,https://www.samsung.com/us/computing/windows-laptops/all-windows-laptops/galaxy-book-flex2-alpha-13-3-inch-qled-512gb-storage-16gb-ram-np730qda-ka3us/
laptop,Samsung,Samsung Galaxy Book,https://www.samsung.com/us/computing/windows-laptops/galaxy-book/galaxy-book-15-6-inch-storage-512gb-mystic-blue-np750xda-ka3us/
laptop,LG,LG Gram 16,https://www.lg.com/us/laptops/lg-16z90p-k.aas7u1-ultra-slim-laptop
laptop,LG,LG Gram 17,https://www.lg.com/us/laptops/lg-17z90p-k.aab8u1-ultra-slim-laptop
