Product,Brand,Model,URL
lipstick,Maybelline,SuperStay Matte Ink,https://www.maybelline.com/lip-makeup/lipstick/superstay-matte-ink-liquid-lipstick
lipstick,Maybelline,Color Sensational Made For All,https://www.maybelline.com/lip-makeup/lipstick/color-sensational-made-for-all-lipstick
lipstick,Maybelline,Color Sensational The Creams,https://www.maybelline.com/lip-makeup/lipstick/color-sensational-the-creams-lipstick
lipstick,MAC Cosmetics,Retro Matte Lipstick,https://www.maccosmetics.com/product/13854/310/products/makeup/lips/lipstick/retro-matte-lipstick
lipstick,MAC Cosmetics,MAC Powder Kiss Lipstick,https://www.maccosmetics.com/product/13854/60220/products/makeup/lips/lipstick/powder-kiss-lipstick
lipstick,MAC Cosmetics,MAC Love Me Lipstick,https://www.maccosmetics.com/product/13854/68218/products/makeup/lips/lipstick/love-me-lipstick
lipstick,Revlon,ColorStay Matte Lite Crayon,https://www.revlon.com/lip-color/colorstay-matte-lite-crayon
lipstick,Revlon,Super Lustrous Lipstick,https://www.revlon.com/lip-color/super-lustrous/super-lustrous-lipstick
lipstick,Revlon,Ultra HD Matte Lipcolor,https://www.revlon.com/lip-color/ultra-hd-matte-lipcolor
lipstick,LOréal,Colour Riche Matte Lipstick,https://www.lorealparisusa.com/products/makeup/lip-color/lipstick/colour-riche-matte-lipcolor.aspx
lipstick,LOréal,Colour Riche Shine Lipstick,https://www.lorealparisusa.com/products/makeup/lip-color/lipstick/colour-riche-shine-lipcolor.aspx
lipstick,LOréal,Infallible Pro-Matte Liquid Lipstick,https://www.lorealparisusa.com/products/makeup/lip-color/lipstick/infallible-pro-matte-liquid-lipstick.aspx
lipstick,NARS,Audacious Lipstick,https://www.narscosmetics.com/USA/lipstick/999NAC0000134.html
lipstick,NARS,Powermatte Lip Pigment,https://www.narscosmetics.com/USA/powermatte-lip-pigment/999NAC0000066.html
lipstick,NARS,Velvet Matte Lip Pencil,https://www.narscosmetics.com/USA/velvet-matte-lip-pencil/999NACSMTMLP01.html
lipstick,BareMinerals,Mineralist Hydra-Smoothing Lipstick,https://www.bareminerals.com/makeup/lips/lipstick/mineralist-hydra-smoothing-lipstick/US92454.html
lipstick,BareMinerals,Statement Matte Liquid Lipcolor,https://www.bareminerals.com/makeup/lips/lipstick/statement-matte-liquid-lipcolor/USmasterBMmatte.html
lipstick,BareMinerals,BarePro Longwear Lipstick,https://www.bareminerals.com/makeup/lips/lipstick/barepro-longwear-matte-lipstick/USmasterbareprolip.html
lipstick,Charlotte Tilbury,Matte Revolution Lipstick,https://www.charlottetilbury.com/us/product/matte-revolution-lipstick-pillowtalk
lipstick,Charlotte Tilbury,K.I.S.S.I.N.G Lipstick,https://www.charlottetilbury.com/us/product/k-i-s-s-i-n-g-lipstick-bitch-perfect
lipstick,Charlotte Tilbury,Hot Lips Lipstick,https://www.charlottetilbury.com/us/product/hot-lips-lipstick-kim-k-w
lipstick,Hourglass,Confession Ultra Slim Lipstick,https://www.hourglasscosmetics.com/products/confession-ultra-slim-high-intensity-refillable-lipstick
lipstick,Hourglass,Opaque Rouge Liquid Lipstick,https://www.hourglasscosmetics.com/products/opaque-rouge-liquid-lipstick
lipstick,Hourglass,Girl Lip Stylo,https://www.hourglasscosmetics.com/products/girl-lip-stylo
lipstick,Fenty Beauty,Stunna Lip Paint Longwear Fluid Lip Color,https://www.fentybeauty.com/stunna-lip-paint-longwear-fluid-lip-color/FB50002.html
lipstick,Fenty Beauty,Mattemoiselle Plush Matte Lipstick,https://www.fentybeauty.com/mattemoiselle/plush-matte-lipstick/FB50013.html
lipstick,Fenty Beauty,Slip Shine Sheer Shiny Lipstick,https://www.fentybeauty.com/slip-shine-sheer-shiny-lipstick/FB50005.html
lipstick,Estée Lauder,Pure Color Envy Sculpting Lipstick,https://www.esteelauder.com/product/649/29657/product-catalog/makeup/lips/lipstick/pure-color-envy/sculpting-lipstick
lipstick,Estée Lauder,Pure Color Love Lipstick,https://www.esteelauder.com/product/649/49240/product-catalog/makeup/pure-color-love/lipstick
lipstick,Estée Lauder,Pure Color Envy Matte Sculpting Lipstick,https://www.esteelauder.com/product/649/39482/product-catalog/makeup/pure-color-envy/matte-sculpting-lipstick
lipstick,Anastasia Beverly Hills,Matte Lipstick - Rosewood,https://www.anastasiabeverlyhills.com/matte-lipstick-rosewood/ABH01-32171.html
lipstick,Anastasia Beverly Hills,Liquid Lipstick - Crush,https://www.anastasiabeverlyhills.com/liquid-lipstick-crush/ABH01-32063.html
lipstick,Anastasia Beverly Hills,Lip Gloss - Venus,https://www.anastasiabeverlyhills.com/lip-gloss-venus/ABH01-32127.html
lipstick,Tarte,Sea Color Splash Lipstick - Beach Babe,https://tartecosmetics.com/shop/sea-color-splash-lipstick-772.html
lipstick,Tarte,Tarteist Quick Dry Matte Lip Paint - Rose,https://tartecosmetics.com/shop/tarteist-quick-dry-matte-lip-paint-1009.html
lipstick,Tarte,Double Duty Beauty The Lip Sculptor - Voltage,https://tartecosmetics.com/shop/double-duty-beauty-the-lip-sculptor-847.html
lipstick,Too Faced,Melted Matte Liquified Long Wear Lipstick - Queen B,https://www.toofaced.com/product/23483/59012/lip-makeup/lipstick/melted-matte/liquified-matte-long-wear-lipstick
lipstick,Too Faced,Peach Kiss Moisture Matte Long Wear Lipstick - Sex On The Peach,https://www.toofaced.com/product/23482/50246/lip-makeup/lipstick/peach-kiss/moisture-matte-long-wear-lipstick-infused-with-peach-and-sweet-fig-cream
lipstick,Too Faced,La Creme Mystical Effects Lipstick - Unicorn Tears,https://www.toofaced.com/product/23482/52718/lip-makeup/lipstick/la-creme/mystical-effects-lipstick
lipstick,Urban Decay,Vice Lipstick - 1993,https://www.urbandecay.com/new-vice-lipstick-by-urban-decay/ud771.html
lipstick,Urban Decay,Vice Lipstick - Backtalk,https://www.urbandecay.com/vice-lipstick-by-urban-decay/ud771.html?dwvar_ud771_color=U425#start=1&cgid=1_502
lipstick,Urban Decay,Stay Naked Face Lip Tint - Kinky,https://www.urbandecay.com/stay-naked-face-lip-tint-urban-decay/ud1024.html
lipstick,NYX,Soft Matte Lip Cream - Tokyo,https://www.nyxcosmetics.com/lips/lipstick/soft-matte-lip-cream/NYX_007.html
lipstick,NYX,Butter Gloss - Tiramisu,https://www.nyxcosmetics.com/lips/lip-gloss/butter-gloss/NYX_089.html
lipstick,NYX,Powder Puff Lippie Lip Cream - Puppy Love,https://www.nyxcosmetics.com/lips/lipstick/powder-puff-lippie-lip-cream/NYX_586.html
lipstick,Smashbox,Be Legendary Lipstick - Fig,https://www.smashbox.com/product/6126/21071/lips/lipstick/be-legendary-lipstick#/shade/Fig
lipstick,Smashbox,Always On Liquid Lipstick - Stepping Out,https://www.smashbox.com/product/6126/42206/lips/liquid-lipstick/always-on-liquid-lipstick#/shade/Stepping_Out
lipstick,Smashbox,Be Legendary Prime Plush Lipstick - First Time Matte,https://www.smashbox.com/product/6126/83513/lips/lipstick/be-legendary-prime-plush-lipstick#/shade/First_Time_Matte
lipstick,Clinique,Almost Lipstick - Black Honey,https://www.clinique.com/product/1605/5417/makeup/lipsticks/almost-lipstick
lipstick,Clinique,Pop Lip Colour Primer - Plum Pop,https://www.clinique.com/product/1605/35348/makeup/lipsticks/clinique-pop-lip-colour-primer
lipstick,Clinique,Chubby Stick Moisturizing Lip Colour Balm - Woppin Watermelon,https://www.clinique.com/product/1605/25452/makeup/lipsticks/chubby-stick-moisturizing-lip-colour-balm
lipstick,Bobbi Brown,Lux Lip Color - Red Velvet,https://www.bobbibrowncosmetics.com/product/2342/39727/makeup/lips/lip-color/luxe-lip-color#/shade/Red_Velvet
lipstick,Bobbi Brown,Crushed Lip Color - Babe,https://www.bobbibrowncosmetics.com/product/2342/49412/makeup/lips/lip-color/crushed-lip-color#/shade/Babe
lipstick,Bobbi Brown,Crushed Liquid Lip - Big Apple,https://www.bobbibrowncosmetics.com/product/2342/58306/makeup/lips/lip-color/crushed-liquid-lip#/shade/Big_Apple
lipstick,Bite Beauty,Amuse Bouche Lipstick - Chai,https://www.bitebeauty.com/amuse-bouche-lipstick-chai/2086244.html
lipstick,Bite Beauty,Power Move Creamy Matte Lip Crayon - Glace,https://www.bitebeauty.com/power-move-creamy-matte-lip-crayon-glac/2086232.html
lipstick,Bite Beauty,Outburst Longwear Lip Stain - Sangria Slush,https://www.bitebeauty.com/outburst-longwear-lip-stain-sangria-slush/2086659.html
lipstick,Stila,Stay All Day Liquid Lipstick - Beso,https://www.stilacosmetics.com/products/stay-all-day-liquid-lipstick?variant=BA11
lipstick,Stila,Beauty Boss Lip Gloss - Elevator Pitch,https://www.stilacosmetics.com/products/beauty-boss-lip-gloss?variant=32342390775852
lipstick,Stila,Color Balm Lipstick - Elyssa,https://www.stilacosmetics.com/products/color-balm-lipstick?variant=B21
