Product,Brand,Model,URL
lipstick,Maybelline,SuperStay Matte Ink,https://www.maybelline.com/lip-makeup/lipstick/superstay-matte-ink-liquid-lipstick?variant=Romantic
lipstick,Maybelline,Color Sensational Made For All,https://www.maybelline.com/lip-makeup/lipstick/color-sensational-made-for-all-lipstick?variant=Ruby+For+Me
lipstick,Maybelline,Color Sensational The Creams - Pink Wink,https://www.maybelline.com/lip-makeup/lipstick/color-sensational-the-creams-cream-finish-lipstick-makeup?variant=Pink+Wink
lipstick,MAC Cosmetics,Love Me Lipstick,https://www.maccosmetics.com/love-me-lipstick
lipstick,Revlon,ColorStay Matte Lite Crayon,https://www.revlon.com/lips/lipstick/colorstay-matte-lite-crayon
lipstick,Revlon,Super Lustrous,https://www.revlon.com/lips/lipstick/super-lustrous-lipstick
lipstick,Revlon,Ultra HD Matte Lipcolor,https://www.revlon.com/lips/liquid-lipstick/ultra-hd-matte-lipcolor
lipstick,LOréal,Colour Riche Intense Volume Matte,https://www.lorealparisusa.com/makeup/lip-color/lipstick/intense-volume-matte-lipstick
lipstick,LOréal,Colour Riche Lipcolour,https://www.lorealparisusa.com/makeup/lip-color/lipstick/colour-riche-lipcolour
lipstick,LOréal,Infallible Pro-Matte Liquid Lipstick Shake Down,https://www.lorealparis.ca/en-ca/infallible/infallible-pro-matte-liquid-lipstick/infallible-pro-matte-liquid-lipstick-shake-down
lipstick,NARS,Audacious,https://www.narscosmetics.com/USA/audacious-lipstick/999NARS000011.html
lipstick,NARS,Powermatte Lip Pigment,https://www.narscosmetics.com/USA/powermatte-lip-pigment/999NAC0000053.html
lipstick,NARS,Velvet Matte Lip Pencil,https://www.narscosmetics.com/USA/velvet-matte-lip-pencil/999NACVTMLP01.html
lipstick,Charlotte Tilbury,Matte Revolution Hollywood Vixen,https://kw.charlottetilbury.com/en/buy-charlotte-s-hollywood-beauty-icon-lipstick-hollywood-vixen.html
lipstick,Charlotte Tilbury,Pillow Talk Collection,https://www.charlottetilbury.com/us/products/makeup/collections/pillow-talk
lipstick,Anastasia Beverly Hills,Liquid Lipstick - Crush,https://www.anastasiabeverlyhills.co.uk/liquid-lipstick/12275865.html
lipstick,Tarte,Maracuja Juicy Lip,https://tartecosmetics.com/shop/maracuja-juicy-lipstick-2525.html
lipstick,Too Faced,Melted Matte - Queen B,https://www.toofaced.com/product/24747/59015/lip-makeup/melted-lipstick/melted-matte-liquified-longwear-lipstick/longwear-lipstick
lipstick,Too Faced,Peach Kiss - Sex On The Peach,https://www.toofaced.com/products/24747/lip-makeup/melted-lipstick
lipstick,Smashbox,Always On Liquid Lipstick,https://www.smashbox.com/product/6126/42295/lips/lipstick-liner/always-on-liquid-lipstick
lipstick,Smashbox,Be Legendary Prime Plush Lipstick - First Time Matte,https://www.smashbox.com/product/6126/86553/lips/lipstick-liner/be-legendary-prime-plush-lipstick
lipstick,Clinique,Almost Lipstick - Black Honey,https://www.clinique.com.au/product/1603/4772/makeup/lip-glosses/almost-lipstick
lipstick,Stila,Stay All Day Liquid Lipstick - Beso,https://stila.co.uk/products/stay-all-day-liquid-lipstick
