Product,Brand,Model,URL
microwave oven,Samsung,MG11H2020CT,https://www.samsung.com/us/home-appliances/microwaves/countertop/mg11h2020ct-1-1-cu-ft-grilling-countertop-microwave-with-ceramic-enamel-interior-mg11h2020ct-aa/
microwave oven,Samsung,ME21M706BAG,https://www.samsung.com/us/home-appliances/microwaves/countertop/2-1-cu-ft-over-the-range-microwave-with-sensor-cooking-in-black-stainless-steel-me21m706bag-aa/
microwave oven,Samsung,MS14K6000AS,https://www.samsung.com/us/home-appliances/microwaves/countertop/1-4-cu-ft-countertop-microwave-with-sensor-cooking-in-stainless-steel-ms14k6000as-aa/
microwave oven,LG,LMV2031ST,https://www.lg.com/us/microwaves/lg-LMV2031ST-over-the-range-microwave
microwave oven,LG,LMC2075ST,https://www.lg.com/us/microwaves/lg-LMC2075ST-countertop-microwave
microwave oven,LG,LMDP076BD,https://www.lg.com/us/microwaves/lg-LMDP076BD-double-oven
microwave oven,Panasonic,NN-SN966S,https://shop.panasonic.com/microwaves-and-kitchen-appliances/microwaves/countertop-microwaves/NN-SN966S.html
microwave oven,Panasonic,NN-SD975S,https://shop.panasonic.com/microwaves-and-kitchen-appliances/microwaves/countertop-microwaves/NN-SD975S.html
microwave oven,Panasonic,NN-SN686S,https://shop.panasonic.com/microwaves-and-kitchen-appliances/microwaves/countertop-microwaves/NN-SN686S.html
microwave oven,Whirlpool,WMH31017HS,https://www.whirlpool.com/kitchen/cooking/microwaves/over-the-range/p.1.7-cu.-ft.-microwave-hood-combination-with-electronic-touch-controls.wmh31017hs.html
microwave oven,Whirlpool,WMC30516HZ,https://www.whirlpool.com/kitchen/cooking/microwaves/countertop/p.1.6-cu.-ft.-countertop-microwave-with-1-200-watt-cooking-power.wmc30516hz.html
microwave oven,Whirlpool,WMH53521HZ,https://www.whirlpool.com/kitchen/cooking/microwaves/over-the-range/p.2.1-cu.-ft.-over-the-range-microwave-with-steam-cooking.wmh53521hz.html
microwave oven,GE,JVM3160RFSS,https://www.geappliances.com/appliance/GE-1-6-Cu-Ft-Over-the-Range-Microwave-JVM3160RFSS
microwave oven,GE,JES1145SHSS,https://www.geappliances.com/appliance/GE-1-1-Cu-Ft-Capacity-Countertop-Microwave-JES1145SHSS
microwave oven,GE,PEB9159SJSS,https://www.geappliances.com/appliance/GE-Profile-1-5-Cu-Ft-Countertop-Convection-Microwave-Oven-PEB9159SJSS
microwave oven,Bosch,HMB50152UC,https://www.bosch-home.com/us/productslist/home-appliances/HMB50152UC
microwave oven,Bosch,HMC80152UC,https://www.bosch-home.com/us/productslist/home-appliances/HMC80152UC
microwave oven,Bosch,HMT5051,https://www.bosch-home.com/us/productslist/home-appliances/HMT5051
microwave oven,Sharp,SMC1452CH,https://www.sharpusa.com/ForHome/HomeAppliances/Microwaves/Models/SMC1452CH.aspx
microwave oven,Sharp,R551ZS,https://www.sharpusa.com/ForHome/HomeAppliances/Microwaves/Models/R551ZS.aspx
microwave oven,Sharp,SMC1585BS,https://www.sharpusa.com/ForHome/HomeAppliances/Microwaves/Models/SMC1585BS.aspx
microwave oven,Frigidaire,FGMV176NTF,https://www.frigidaire.com/Kitchen-Appliances/Microwaves/Over-The-Range/Frigidaire-Gallery-1.7-Cu.-Ft.-Over-The-Range-Microwave/FGMV176NTF/
microwave oven,Frigidaire,FGMO226NUF,https://www.frigidaire.com/Kitchen-Appliances/Microwaves/Built-In-Microwave/Frigidaire-Gallery-2.2-Cu.-Ft.-Built-In-Microwave/FGMO226NUF/
microwave oven,Frigidaire,FFCM1155US,https://www.frigidaire.com/Kitchen-Appliances/Microwaves/Countertop-Microwave/FFCM1155US/
microwave oven,Toshiba,EM131A5C-BS,https://toshiba-lifestyle.com/us/products/em131a5c-bs
microwave oven,Toshiba,ML-EM45PITSS,https://toshiba-lifestyle.com/us/products/ml-em45pitss
microwave oven,Toshiba,EC042A5C-SS,https://toshiba-lifestyle.com/us/products/ec042a5c-ss
microwave oven,Breville,BMO650SIL,https://www.breville.com/us/en/products/microwaves/bmo650sil.html
microwave oven,Breville,BMO850BSS1BUC1,https://www.breville.com/us/en/products/microwaves/bmo850bss1buc1.html
microwave oven,Breville,BMO870BSS1BUC1,https://www.breville.com/us/en/products/microwaves/bmo870bss1buc1.html
microwave oven,KitchenAid,KMCS1016GSS,https://www.kitchenaid.com/major-appliances/microwaves/countertop/p.countertop-microwave-with-printshield-finish-1.6-cu-ft.kmcs1016gss.html
microwave oven,KitchenAid,KMHC319ESS,https://www.kitchenaid.com/major-appliances/microwaves/over-the-range/p.1000-watt-microwave-with-7-sensor-functions-30.kmhc319ess.html
microwave oven,KitchenAid,KMBD104GSS,https://www.kitchenaid.com/major-appliances/microwaves/built-in-microwave-oven-24-width.kmbd104gss.html
microwave oven,Amana,AMC4322GS,https://www.amana.com/kitchen/cooking/microwaves/over-the-range/p.over-the-range-microwave-with-sensor-cooking-24-cu-ft.amc4322gs.html
microwave oven,Amana,AMV2307PFS,https://www.amana.com/kitchen/cooking/microwaves/over-the-range/p.1-6-cu-ft-over-the-range-microwave-with-add-0-30-seconds.amv2307pfs.html
microwave oven,Amana,RMS10DS,https://www.amana.com/commercial/cooking/commercial-microwaves/p.commercial-category-sm-commercial-duty-1000-watt-microwave-oven-with-dial-controls-light-volume-10-cu-ft.rms10ds.html
microwave oven,Hotpoint,RVM5160DHWW,https://www.hotpoint.com/appliances/microwaves/over-the-range/RVM5160DHWW/
microwave oven,Hotpoint,RVM1535DMWW,https://www.hotpoint.com/appliances/microwaves/over-the-range/RVM1535DMWW/
microwave oven,Hotpoint,RVM5160RHSS,https://www.hotpoint.com/appliances/microwaves/over-the-range/RVM5160RHSS/
microwave oven,Electrolux,EI30BM60MS,https://www.electroluxappliances.com/Kitchen-Appliances/Microwaves/Over-The-Range/EI30BM60MS/
microwave oven,Electrolux,EI24MO45IB,https://www.electroluxappliances.com/Kitchen-Appliances/Microwaves/Built-In/EI24MO45IB/
microwave oven,Electrolux,EI30SM55JS,https://www.electroluxappliances.com/Kitchen-Appliances/Microwaves/Over-The-Range/EI30SM55JS/
microwave oven,Miele,M6160TC,https://www.mieleusa.com/e/microwaves-microwave-oven-m-6160-tc-brilliant-white-9769660-p
microwave oven,Miele,M6260TC,https://www.mieleusa.com/e/microwaves-microwave-oven-m-6260-tc-clean-touch-steel-9769670-p
microwave oven,Miele,M7240TC,https://www.mieleusa.com/e/microwaves-microwave-oven-m-7240-tc-brilliant-white-9769680-p
microwave oven,Haier,HMC920BEWW,https://www.haierappliances.com/appliance/specs/hmc920beww
microwave oven,Haier,HMC1120BEBB,https://www.haierappliances.com/appliance/specs/hmc1120bebb
microwave oven,Haier,HMC720BEBB,https://www.haierappliances.com/appliance/specs/hmc720bebb
microwave oven,Kenmore,70919,https://www.kenmore.com/products/kenmore-70919-0-9-cu-ft-countertop-microwave-black/
microwave oven,Kenmore,70923,https://www.kenmore.com/products/kenmore-70923-0-9-cu-ft-small-compact-900-watts-countertop-microwave/
microwave oven,Kenmore,73116,https://www.kenmore.com/products/kenmore-73116-1-6-cu-ft-microwave-oven-stainless-steel/
microwave oven,Magic Chef,HMM1110B,https://www.magicchef.com/catalog/product/view/id/479/s/magic-chef-1-1-cu-ft-black-microwave/
microwave oven,Magic Chef,MCD993B,https://www.magicchef.com/catalog/product/view/id/483/s/magic-chef-0-9-cu-ft-black-microwave/
microwave oven,Magic Chef,MCM1110ST,https://www.magicchef.com/catalog/product/view/id/478/s/magic-chef-1-1-cu-ft-stainless-microwave/
microwave oven,Galanz,GLCMKA07BER-07,https://www.galanz.com/product/0-7-cu-ft-retro-microwave-blue/
microwave oven,Galanz,GLCMKA07RDR-07,https://www.galanz.com/product/0-7-cu-ft-retro-microwave-red/
microwave oven,Galanz,GLCMKZ09RDR09,https://www.galanz.com/product/0-9-cu-ft-retro-microwave-red/
microwave oven,Daewoo,KOR-7LREW,https://www.daewooelecusa.com/KOR-7LREW
microwave oven,Daewoo,KOR-7LREM,https://www.daewooelecusa.com/KOR-7LREM
microwave oven,Daewoo,KOR-7LRER,https://www.daewooelecusa.com/KOR-7LRER

