Product,Brand,Model,URL
microwave oven,LG,LMV2031ST,https://www.lg.com/us/business/cooking-appliances/lg-LMV2031ST-over-the-range-microwave
microwave oven,LG,LMC2075ST,https://www.lg.com/us/cooking-appliances/lg-lmc2075st-counter-top-microwave
microwave oven,Panasonic,NN-SN966SR,https://shop.panasonic.com/products/2-2-cu-ft-inverter-microwave-1250w-nn-sn966sr
microwave oven,Panasonic,NN-SD975S,https://shop.panasonic.com/products/2-2-cu-ft-cyclonic-wave-inverter-microwave-1250w-nn-sd975s
microwave oven,Panasonic,NN-SN686SR,https://shop.panasonic.com/products/1-2-cu-ft-inverter-microwave-1200w-nn-sn686sr
microwave oven,GE,JEI2340WPSL,https://geappliancesdistributor.ph/products/copy-of-ge%C2%AE-jei2030wpsl-20l-capacity-countertop-microwave-oven
microwave oven,Bosch,HMB50152UC,https://www.bosch-home.com/us/productslist/cooking-baking/microwaves/built-in-microwaves/HMB50152UC
microwave oven,Bosch,HMC80152UC,https://www.bosch-home.com/us/productslist/cooking-baking/wall-ovens/speed-ovens/HMC80152UC
microwave oven,Sharp,SMC1452CH,https://shop.sharpusa.com/1-4-cu-ft-1100w-sharp-black-stainless-steel-countertop-microwave-oven-smc1452ch/
microwave oven,Sharp,SMC1842CS,https://shop.sharpusa.com/1-8-cu-ft-1100w-sharp-stainless-steel-countertop-microwave-oven-smc1842cs/
microwave oven,Sharp,SMC1585BS,https://shop.sharpusa.com/1-5-cu-ft-900w-sharp-stainless-steel-carousel-convection-microwave-oven-smc1585bs/
microwave oven,Frigidaire,Frigidaire Professional Series,https://www.frigidaire.com/en/Collections/Frigidaire-Professional-Series
microwave oven,Toshiba,EM131A5C-BS,https://www.toshiba-lifestyle.com/us/cooking-appliances/microwave-ovens/1-2-cu-ft-microwave-oven-em131a5c-bs
microwave oven,Toshiba,EC042A5C,https://www.toshiba-lifestyle.com/us/cooking-appliances/microwave-ovens/1-5-cu-ft-convection-microwave-oven--ec042a5c-ss
microwave oven,Breville,BMO650SIL,https://www.breville.com/us/en/products/microwaves/bmo650.html
microwave oven,Breville,Combi Wave 3 in 1 Multifunction Oven BMO870BSS1BUC1,https://www.breville.com/us/en/products/microwaves/bmo870.html
microwave oven,Electrolux,Built In,https://www.electrolux.com/en/kitchen-appliances/microwaves/built-in
microwave oven,Miele,combi-steam ovens,https://shop.miele.com.au/en/kitchen/steam-cooking/steam-ovens-with-microwave/
microwave oven,Miele,title uninformative,https://www.mieleusa.com/e/microwave-ovens-1013130-h
microwave oven,Miele,M 7240 TC,https://www.miele.ae/domestic/microwave-oven-1482.htm?mat=11093950&name=M_7240_TC
microwave oven,Haier,HMC920BE,https://www.haierappliances.com/appliance/0-9-Cu-Ft-900-Watt-Microwave-HMC920BEWW
microwave oven,Haier,HMC1120B,https://www.haierappliances.com/appliance/1-1-Cu-Ft-1000-Watt-Microwave-HMC1120BEBB
microwave oven,Kenmore,0.7,https://www.kenmore.com/products/kenmore-0-7-microwave
microwave oven,Magic Chef,MCM1110ST,https://mcappliance.com/kitchen/mcm1110st.html
microwave oven,Galanz,GLCMKA07BKR-07RETRO,https://www.galanz.com/us/?page_id=2322
microwave oven,Galanz,GLCMKZ09RDR09,https://www.galanz.com/us/?page_id=9594
