Product,Brand,Model,URL
network attached storage,Synology,DS920,https://www.synology.com/en-uk/products/refurbished/DS920+
network attached storage,Synology,fs3600,https://www.synology.com/en-global/products/FS3600
network attached storage,Synology,DS1621,https://www.synology.com/en-global/products/DS1621+
network attached storage,QNAP,TS-453D,https://www.qnap.com/en/product/ts-453d
network attached storage,QNAP,TS-251D,https://www.qnap.com/en/product/ts-251d
network attached storage,QNAP,TS-h973AX,https://www.qnap.com/en/product/ts-h973ax
network attached storage,Netgear,ReadyNAS 314,https://kb.netgear.com/23180/How-do-I-access-a-shared-folder-on-my-ReadyNAS-OS-6-storage-system-by-using-a-network-attached-OS-X-device
network attached storage,Buffalo Technology,TeraStation 5810DN,https://www.buffalo-technology.com/productpage/terastation-5810dn/
network attached storage,Seagate,Exos X16,https://www.seagate.com/news/news-archive/seagate-delivers-industry-first-enterprise-ready-exos-16tb-hard-drive-and-raises-the-bar-with-ironwolf-16tb-for-nas-pr/
network attached storage,Seagate,Exos X14,https://blog.seagate.com/craftsman-ship/14tb-high-capacity-areal-density-technology-leader-seagate-guardian-hdd-pc-nas-video-all-applications/
network attached storage,Zyxel,NAS326,https://www.zyxel.com/us/en-us/products/personal-cloud-storage
network attached storage,Zyxel,NAS542,https://www.zyxel.com/fi/fi/products/personal-cloud-storage
network attached storage,TerraMaster,F2-221,https://www.terra-master.com/us/products.html
network attached storage,TerraMaster,F4-210,https://www.terra-master.com/us/f4-210.html
network attached storage,ioSafe,218 NAS,https://iosafe.com/products/218-nas/
network attached storage,ioSafe,1522+ nas,https://iosafe.com/products/1522-nas
network attached storage,Fujitsu,ETERNUS DX60,https://www.fujitsu.com/global/products/computing/storage/disk/eternus-dx/dx60/
network attached storage,Fujitsu,ETERNUS AF250,https://www.fujitsu.com/global/products/computing/storage/all-flash-arrays/eternus-af250-s3/
network attached storage,Infortrend,Infortrend EonStor GSi 3000,https://www.infortrend.com/us/products/families/gsepro/pro3000
network attached storage,Infortrend,Infortrend EonStor GSa 3000,https://www.infortrendworks.com/GSe-Pro-200.asp
