Product,Brand,Model,URL
network attached storage,Synology,DS220,https://www.synology.com/en-global/products/DS220+
network attached storage,Synology,DS920,https://www.synology.com/en-global/products/DS920+
network attached storage,Synology,DS418play,https://www.synology.com/en-global/products/DS418play
network attached storage,QNAP,TS-251D,https://www.qnap.com/en-us/product/ts-251d
network attached storage,QNAP,TS-932X,https://www.qnap.com/en-us/product/ts-932x
network attached storage,QNAP,TVS-872XT,https://www.qnap.com/en-us/product/tvs-872xt
network attached storage,Western Digital,My Cloud EX2 Ultra,https://shop.westerndigital.com/products/network-attached-storage/wd-my-cloud-ex2-ultra#WDBVBZ0000NCH-NESN
network attached storage,Western Digital,My Cloud PR4100,https://shop.westerndigital.com/products/network-attached-storage/wd-my-cloud-pr4100#WDBNFA0800KBK-NESN
network attached storage,Western Digital,My Cloud EX4100,https://shop.westerndigital.com/products/network-attached-storage/wd-my-cloud-ex4100#WDBWZE0240KBK-NESN
network attached storage,Buffalo,LinkStation 220,https://www.buffalotech.com/products/linkstation-200-series
network attached storage,Buffalo,TeraStation 5410DN,https://www.buffalotech.com/products/terastation-5010-nas
network attached storage,Buffalo,LinkStation 441DE,https://www.buffalotech.com/products/linkstation-400-series
network attached storage,Asustor,AS5202T,https://www.asustor.com/product?p_id=30
network attached storage,Asustor,AS5304T,https://www.asustor.com/product?p_id=78
network attached storage,Asustor,AS4002T,https://www.asustor.com/product?p_id=64
network attached storage,Netgear,ReadyNAS 424,https://www.netgear.com/home/products/network-storage/readynas/default.aspx
network attached storage,Netgear,ReadyNAS 628X,https://www.netgear.com/business/products/storage/readynas/readynas-628x.aspx
network attached storage,Netgear,ReadyNAS 2120,https://www.netgear.com/home/products/network-storage/readynas/2100/2120.aspx
network attached storage,Seagate,IronWolf 2 Bay NAS,https://www.seagate.com/www-content/product-content/ironwolf-network-attached-storage/ironwolf-2-bay-nas-master/documentation/ironwolf-2-bay-nas-ds2019-en-us.pdf
network attached storage,Seagate,Business Storage 4-Bay NAS,https://www.seagate.com/www-content/product-content/business-storage/business-storage-4-bay-nas-master/documentation/business-storage-4-bay-nas-ds1817-en-us.pdf
network attached storage,Seagate,Personal Cloud 3TB NAS,https://www.seagate.com/www-content/product-content/personal-cloud/personal-cloud-3tb/documentation/personal-cloud-manual-782020-en-us.pdf
