Product,Brand,Model,URL
portable air conditioner,Honeywell,HL10CESWK,https://www.honeywellstore.com/store/products/portable-air-conditioner-10000-btu-cooling-single-hose-hl10ceswk.htm
portable air conditioner,Honeywell,MO08CESWB,https://www.honeywellstore.com/store/products/portable-air-conditioner-8000-btu-cooling-single-hose-mo08ceswb.htm
portable air conditioner,Honeywell,MN10CESWW,https://www.honeywellstore.com/store/products/honeywell-mn10cesww-portable-air-conditioner.htm
portable air conditioner,LG,LP1419IVSM,https://www.lg.com/us/air-conditioners/lg-LP1419IVSM-portable-air-conditioner
portable air conditioner,LG,LP0817WSR,https://www.lg.com/us/air-conditioners/lg-LP0817WSR-portable-air-conditioner
portable air conditioner,LG,LP1417GSR,https://www.lg.com/us/air-conditioners/lg-LP1417GSR-portable-air-conditioner
portable air conditioner,DeLonghi,PACEX390LVYN,https://www.delonghi.com/en-us/pinguino-ex-air-series-portable-air-conditioner-pacex390lvyn/p/PACEX390LVYN
portable air conditioner,DeLonghi,PACAN135EWS,https://www.delonghi.com/en-us/pinguino-portable-air-conditioner-an135ew/p/PACAN135EWS
portable air conditioner,DeLonghi,PACC100E,https://www.delonghi.com/en-us/air-conditioners/portable-air-conditioner/pacc100e
portable air conditioner,Whynter,ARC-14S,https://www.whynter.com/product/whynter-eco-friendly-14000-btu-dual-hose-portable-air-conditioner-arc-14s/
portable air conditioner,Whynter,ARC-122DS,https://www.whynter.com/product/whynter-elite-12000-btu-dual-hose-digital-portable-air-conditioner/
portable air conditioner,Whynter,ARC-12S,https://www.whynter.com/product/whynter-eco-friendly-12000-btu-portable-air-conditioner-arc-12s/
portable air conditioner,Frigidaire,FFPA1422U1,https://www.frigidaire.com/Home-Comfort/Air-Conditioning/Portable-Air-Conditioners/FFPA1422U1/
portable air conditioner,Frigidaire,FHPC132AB1,https://www.frigidaire.com/Home-Comfort/Air-Conditioning/Portable-Air-Conditioners/FHPC132AB1/
portable air conditioner,Frigidaire,FGPC1044U1,https://www.frigidaire.com/Home-Comfort/Air-Conditioning/Portable-Air-Conditioners/FGPC1044U1/
portable air conditioner,Haier,HPND14XHT,https://www.haierappliances.com/appliance/specs/hpnd14xht
portable air conditioner,Haier,QPCA13YZMW,https://www.haierappliances.com/appliance/specs/qpca13yzmw
portable air conditioner,Haier,HPND14XCT,https://www.haierappliances.com/appliance/specs/hpnd14xct
portable air conditioner,BlackDecker,BPACT08WT,https://www.blackanddecker.com/products/home-appliances/portable-air-conditioners/8-000-btu-5-100-btu-doe-portable-air-conditioner/bpact08wt
portable air conditioner,BlackDecker,BPACT14WT,https://www.blackanddecker.com/products/home-appliances/portable-air-conditioners/14-000-btu-7-700-btu-doe-portable-air-conditioner/bpact14wt
portable air conditioner,BlackDecker,BPACT12WT,https://www.blackanddecker.com/products/home-appliances/portable-air-conditioners/12-000-btu-7-000-btu-doe-portable-air-conditioner/bpact12wt
portable air conditioner,Hisense,AP70020HR1GD,https://www.hisense-usa.com/home-appliances/air-products/portable-air-conditioners/ap70020hr1gd
portable air conditioner,Hisense,AP1019CW1G,https://www.hisense-usa.com/home-appliances/air-products/portable-air-conditioners/ap1019cw1g
portable air conditioner,Hisense,AP0821CW1W,https://www.hisense-usa.com/home-appliances/air-products/portable-air-conditioners/ap0821cw1w
portable air conditioner,Midea,MAP08S1BWT,https://www.midea.com/us/Air-Conditioners/Portable-Air-Conditioners/MAP08S1BWT
portable air conditioner,Midea,MAP10S1CWT,https://www.midea.com/us/Air-Conditioners/Portable-Air-Conditioners/MAP10S1CWT
portable air conditioner,Midea,MAP14S1CWT,https://www.midea.com/us/Air-Conditioners/Portable-Air-Conditioners/MAP14S1CWT
portable air conditioner,Emerson,CR500,https://www.emerson.com/documents/automation/product-data-sheet-ridgid-compact-pro-press-jaws-v2-us-en-2500385.pdf
portable air conditioner,Emerson,EAPC8RD1,https://www.emerson.com/en-us/catalog/white-rodgers-eapc8rd1-sensi-portable-air-conditioner
portable air conditioner,Emerson,EAPC14RD1,https://www.emerson.com/en-us/catalog/white-rodgers-eapc14rd1-sensi-portable-air-conditioner
portable air conditioner,Sharp,CVP10RC,https://www.sharpusa.com/ForHome/HomeEnvironment/AirConditioner/ssCVP10RC.aspx
portable air conditioner,Sharp,CV2P10SC,https://www.sharpusa.com/ForHome/HomeEnvironment/AirConditioner/ssCV2P10SC.aspx
portable air conditioner,Sharp,CVP12LX,https://www.sharpusa.com/ForHome/HomeEnvironment/AirConditioner/ssCVP12LX.aspx
portable air conditioner,Toshiba,RAC-PD1213CWRU,https://www.toshiba-lifestyle.com/us/rac-pd1213cwru/
portable air conditioner,Toshiba,RAC-PD1414HWCU,https://www.toshiba-lifestyle.com/us/rac-pd1414hwcru/
portable air conditioner,Toshiba,RAC-PD0811CRU,https://www.toshiba-lifestyle.com/us/rac-pd0811cru/
portable air conditioner,Danby,DPA080B7BDB,https://www.danby.com/products/portable-air-conditioners/dpa080b7bdb/
portable air conditioner,Danby,DPA100E5WDB-6,https://www.danby.com/products/portable-air-conditioners/dpa100e5wdb-6/
portable air conditioner,Danby,DPA120HE3BDB-6,https://www.danby.com/products/portable-air-conditioners/dpa120he3bdb-6/
portable air conditioner,EvaChill,EV-500,https://evachill.com/products/ev-500/
portable air conditioner,EvaChill,EV-1000,https://evachill.com/products/ev-1000/
portable air conditioner,EvaChill,EV-1500,https://evachill.com/products/ev-1500/
portable air conditioner,SereneLife,SLPAC8,https://serenelifehome.com/products/serenelife-8-000-btu-portable-air-conditioner
portable air conditioner,SereneLife,SLPAC10,https://serenelifehome.com/products/10-000-btu-portable-air-conditioner
portable air conditioner,SereneLife,SLPAC105W,https://serenelifehome.com/products/serenelife-slpac105w
portable air conditioner,Costway,EP24618US,https://www.costway.com/portable-air-conditioner-cooler-fan-filter-humidify.html
portable air conditioner,Costway,EP23048,https://www.costway.com/10000-btu-portable-air-conditioner-cooling-fan-dehumidifier.html
