Product,Brand,Model,URL
portable air conditioner,LG,LP1022FVSM,https://www.lg.com/us/air-conditioners/lg-lp1022fvsm-portable-air-conditioner
portable air conditioner,DeLonghi,PACEX390LVYN6ABK,https://delonghi.encompass.com/model/DEIPACEX390LVYN6ABK
portable air conditioner,DeLonghi,PACC100E,https://delonghi.encompass.com/model/DEIPACC100E
portable air conditioner,Whynter,ARC-12SDH,https://www.whynter.com/product/compact-dual-hose-portable-air-conditioner-heater-12000-btu-arc-12sdh/
portable air conditioner,Whynter,ARC-122DS,https://www.whynter.com/product/elite-dual-hose-portable-air-conditioner-12000-btu-arc-122ds/
portable air conditioner,Whynter,ARC-12S,https://www.whynter.com/product/compact-portable-air-conditioner-12000-btu-arc-12s/?bvstate=pg:2/ct:q
portable air conditioner,Frigidaire,title uninformative,https://www.frigidaire.com/en/home-comfort/air-conditioning/portable-air-conditioners
portable air conditioner,Haier,HPND14XHT,https://www.haierappliances.com/appliance/Portable-Air-Conditioner-with-Heat-Dual-Hose-HPND14XHT
portable air conditioner,Haier,HPND14XCT,https://www.haierappliances.com/appliance/Portable-Air-Conditioner-Dual-Hose-HPND14XCT
portable air conditioner,BlackDecker,BPACT08WT,https://www.blackanddecker.com/products/bpact08wt
portable air conditioner,BlackDecker,BPACT14WT,https://www.blackanddecker.com/products/bpact14wt
portable air conditioner,BlackDecker,BPACT12WT,https://www.blackanddecker.com/products/bpact12wt
portable air conditioner,Hisense,AP1019CW1G,https://hisense.encompass.com/model/HISAP1019CW1G
portable air conditioner,Hisense,AP0822CW1W,https://www.hisense-canada.com/en/air-products/all-portable-air-conditioners/AP0822CW1W_8000-btu-sacc-350-sq-ft-smart-portable-ac
portable air conditioner,Midea,MAW08V1QWT,https://www.midea.com/us/air-conditioners/window-air-conditioners/8000-btu-u-shaped-air-conditioner-maw08v1qwt
portable air conditioner,Midea,MAP10S1CWT,https://www.midea.com/us/air-conditioners/portable-air-conditioners/10000-btu-midea-smartcool-portable-air-conditioner-map10s1cwt
portable air conditioner,Midea,MAP14000S1CWT,https://www.midea.com/us/air-conditioners/portable-air-conditioners/14000-btu-midea-smartcool-portable-air-conditioner-map14s1cwt
portable air conditioner,Toshiba,RAC-PD1213CWRU,https://www.toshiba-lifestyle.com/us/air-conditioners/portable-air-conditioners/12000-btu-8000-sacc-portable-air-conditioner1
portable air conditioner,Toshiba,RAC-PD0811CRU,https://www.toshiba-lifestyle.com/us/air-conditioners/portable-air-conditioners/8000-btu-6000-sacc-portable-air-conditioner
portable air conditioner,Danby,DPA100E5WDB-6,https://www.danby.com/products/portable-air-conditioners/dpa100e5wdb-6/
portable air conditioner,SereneLife,SLPAC8,https://serenelifehome.com/products/slpac8
portable air conditioner,Friedrich,ZoneAire® P12SA,https://www.friedrich.com/consumer/products/zoneaire-compact-portable
portable air conditioner,Keystone,KSTAP10MFC,https://keystone-products.com/keystone-10-000-btu-6-500-btu-doe-portable-aire-conditioner/
