Product,Brand,Model,URL
portable speaker,JBL,Flip 6,https://www.jbl.com/bluetooth-speakers/JBLFLIP6.html
portable speaker,JBL,Charge 5,https://www.jbl.com/bluetooth-speakers/JBLCHARGE5.html
portable speaker,JBL,Clip 4,https://www.jbl.com/bluetooth-speakers/JBLCLIP4.html
portable speaker,Bose,SoundLink Flex,https://www.bose.com/en_us/products/speakers/portable_speakers/soundlink-flex.html
portable speaker,Bose,SoundLink Micro,https://www.bose.com/en_us/products/speakers/portable_speakers/soundlink_micro.html
portable speaker,Bose,SoundLink Revolve II,https://www.bose.com/en_us/products/speakers/portable_speakers/soundlink-revolve-ii.html
portable speaker,Sony,SRS-XB33,https://electronics.sony.com/audio/portable-audio/bluetooth-speakers/p/srsxb33
portable speaker,Sony,SRS-XB23,https://electronics.sony.com/audio/portable-audio/bluetooth-speakers/p/srsxb23
portable speaker,Sony,SRS-XB13,https://electronics.sony.com/audio/portable-audio/bluetooth-speakers/p/srsxb13
portable speaker,Anker Soundcore,Motion Boom,https://us.soundcore.com/products/a3117011
portable speaker,Anker Soundcore,Flare 2,https://us.soundcore.com/products/a3165
portable speaker,Anker Soundcore,Icon Mini,https://us.soundcore.com/collections/portable/products/a3121
portable speaker,Ultimate Ears,BOOM 3,https://www.ultimateears.com/en-us/wireless-speakers/boom-3.html
portable speaker,Ultimate Ears,MEGABOOM 3,https://www.ultimateears.com/en-us/wireless-speakers/megaboom-3.html
portable speaker,Ultimate Ears,WONDERBOOM 2,https://www.ultimateears.com/en-us/wireless-speakers/wonderboom-2.html
portable speaker,Marshall,Emberton,https://www.marshallheadphones.com/us/en/emberton.html
portable speaker,Marshall,Stockwell II,https://www.marshallheadphones.com/us/en/stockwell-ii.html
portable speaker,Marshall,Kilburn II,https://www.marshallheadphones.com/us/en/kilburn-ii.html
portable speaker,Harman Kardon,Onyx Studio 7,https://www.harmankardon.com/bluetooth-speakers/ONYX+STUDIO+7.html
portable speaker,Harman Kardon,Onyx Studio 4,https://www.harmankardon.com/bluetooth-speakers/ONYX+STUDIO+4.html
portable speaker,Harman Kardon,Go Play,https://www.harmankardon.com/bluetooth-speakers/GO+PLAY.html
portable speaker,Bang Olufsen,BeoPlay A1,https://www.bang-olufsen.com/en/speakers/beoplay-a1
portable speaker,Bang Olufsen,Beosound A1 2nd Gen,https://www.bang-olufsen.com/en/speakers/beosound-a1-2nd-gen
portable speaker,Bang Olufsen,Beosound Explore,https://www.bang-olufsen.com/en/speakers/beosound-explore
portable speaker,Yamaha,MusicCast 50,https://usa.yamaha.com/products/audio_visual/wireless_streaming_amplifiers/musiccast_50/index.html
portable speaker,Yamaha,WX-021 MusicCast 20,https://usa.yamaha.com/products/audio_visual/wireless_streaming_amplifiers/musiccast_20/index.html
portable speaker,Yamaha,WX-030 MusicCast 30,https://usa.yamaha.com/products/audio_visual/wireless_streaming_amplifiers/musiccast_30/index.html
portable speaker,Klipsch,Groove,https://www.klipsch.com/products/groove-portable-bluetooth-speaker
portable speaker,Klipsch,Heritage Groove,https://www.klipsch.com/products/heritage-groove
portable speaker,Klipsch,The One II,https://www.klipsch.com/products/the-one-ii

portable speaker,Altec Lansing,HydraJolt,https://www.alteclansing.com/product/hydrajolt/
portable speaker,Altec Lansing,HydraMini,https://www.alteclansing.com/product/hydramini/
portable speaker,Altec Lansing,Jacket H20 4,https://www.alteclansing.com/product/jacket-h2o-4/
portable speaker,Tribit,StormBox Micro 2,https://www.tribit.com/product/Tribit-StormBox-Micro-2/
portable speaker,Tribit,StormBox Pro,https://www.tribit.com/product/tribit-stormbox-pro/
portable speaker,Tribit,StormBox,https://www.tribit.com/product/tribit-stormbox/
portable speaker,OontZ,Angle 3 Pro,https://www.theoontz.com/products/oontz-angle-3-pro
portable speaker,OontZ,Angle Solo,https://www.theoontz.com/products/oontz-angle-solo
portable speaker,OontZ,Angle 3 Ultra,https://www.theoontz.com/products/oontz-angle-3-ultra
portable speaker,DOSS,SoundBox Plus,https://www.dossspeaker.com/products/soundbox-plus
portable speaker,DOSS,SoundBox Pro,https://www.dossspeaker.com/products/soundbox-pro
portable speaker,DOSS,Traveler,https://www.dossspeaker.com/products/traveler
portable speaker,FUGOO,Style 2.0,https://www.fugoo.com/product/fugoo-style-2-0/
portable speaker,FUGOO,Sport 2.0,https://www.fugoo.com/product/fugoo-sport-2-0/
portable speaker,FUGOO,Tough 2.0,https://www.fugoo.com/product/fugoo-tough-2-0/
portable speaker,Polk Audio,Boom Bit,https://www.polkaudio.com/products/boom-bit
portable speaker,Polk Audio,Swimmer Duo,https://www.polkaudio.com/products/swimmer-duo
portable speaker,Polk Audio,Swimmer Jr.,https://www.polkaudio.com/products/swimmer-jr
portable speaker,Creative,Muvo Play,https://us.creative.com/p/speakers/creative-muvo-play
portable speaker,Creative,Muvo Mini,https://us.creative.com/p/speakers/creative-muvo-mini
portable speaker,Creative,Muvo 2c,https://us.creative.com/p/speakers/creative-muvo-2c
portable speaker,Cambridge Soundworks,OontZ Angle 3,https://www.cambridgesoundworks.com/products/oontz-angle-3
portable speaker,Cambridge Soundworks,OontZ Angle 3 RainDance,https://www.cambridgesoundworks.com/products/oontz-angle-3-raindance
portable speaker,Cambridge Soundworks,OontZ Angle 3 Ultra 3rd Gen,https://www.cambridgesoundworks.com/products/oontz-angle-3-ultra-3rd-gen
portable speaker,Edifier,MP280,https://www.edifier.com/us/en/speakers/mp280-portable-bluetooth-speaker
portable speaker,Edifier,MP700,https://www.edifier.com/us/en/speakers/mp700
portable speaker,Edifier,MP120,https://www.edifier.com/us/en/speakers/mp120
portable speaker,MIFA,A10,https://www.mifa.net/products/a10
portable speaker,MIFA,F50,https://www.mifa.net/products/f50
portable speaker,MIFA,A90,https://www.mifa.net/products/a90
