Product,Brand,Model,URL
portable speaker,JBL,Flip 6,https://kh.jbl.com/bluetooth-portables/FLIP-6-.html
portable speaker,Bose,SoundLink Revolve II,https://www.bose.co.uk/en_gb/products/speakers/portable_speakers/soundlink-revolve-ii.html#v=soundlink_revolve_ii_black
portable speaker,Anker Soundcore,Motion Boom,https://us.soundcore.com/products/a3117011
portable speaker,Anker Soundcore,Motion 300,https://us.soundcore.com/products/motion-300-speaker-a3135011
portable speaker,Ultimate Ears,BOOM 3,https://www.ultimateears.com/en-in/wireless-speakers/boom-3.html
portable speaker,Ultimate Ears,MEGABOOM 3,https://www.ultimateears.com/en-gb/wireless-speakers/megaboom-3.html
portable speaker,Ultimate Ears,WONDERBOOM 3,https://www.ultimateears.com/en-ca/wireless-speakers/wonderboom-3-bluetooth.html
portable speaker,Marshall,Emberton II,https://www.marshall.com/us/en/product/emberton-ii?pid=1006234
portable speaker,Marshall,Stockwell II,https://www.marshall.com/us/en/product/stockwell-ii?pid=1005544
portable speaker,Harman Kardon,Onyx Studio 7,https://kh.harmankardon.com/ONYX-STUDIO-7-.html
portable speaker,Harman Kardon,Onyx Studio 4,https://mm.harmankardon.com/ONYX+STUDIO+4.html
portable speaker,Harman Kardon,Go + Play,https://ph.harmankardon.com/HK+GO+PLAY.html
portable speaker,Yamaha,MusicCast 20,https://shop.usa.yamaha.com/en/p/audio-home-theater/desktop-audio/musiccast20-wireless-speaker
portable speaker,Klipsch,Heritage Groove,https://www.klipsch.com.au/products/heritage-groove-portable-wireless-speaker-au?clickId=1314447838
portable speaker,Tribit,StormBox Micro 2,https://tribit.com/products/tribit-stormbox-micro-2-portable-speaker
portable speaker,Tribit,StormBox Pro,https://tribit.com/products/tribit-stormbox-pro-portable-speaker
portable speaker,OontZ,Angle 3 Pro,https://www.theoontz.com/products/oontz?variant=42771086016748
portable speaker,OontZ,Angle Solo,https://www.theoontz.com/products/oontz-solo?variant=42771080806636
portable speaker,OontZ,Angle 3 Ultra,https://www.theoontz.com/products/oontz-ultra
portable speaker,Edifier,MP280,https://edifier.reactwebdesign.com/int/en/speakers/mp280
portable speaker,Edifier,MP700,https://edifier-online.com/products/edifier-mp700
