Product,Brand,Model,URL
robot vacuum,iRobot,Roomba j7,https://www.irobot.com/en_US/roomba-j7-robot-vacuum/J715020.html
robot vacuum,iRobot,Roomba i3,https://www.irobot.com/en_US/roomba-i3plus-evo-self-emptying-robot-vacuum/I355020.html
robot vacuum,Roborock,roborock s8 maxv ultra,https://us.roborock.com/pages/roborock-s8-maxv-ultra
robot vacuum,Roborock,S6 MaxV,https://global.roborock.com/pages/roborock-s6-maxv
robot vacuum,Ecovacs,Deebot Ozmo 920,https://www.ecovacs.com/au/deebot-robotic-vacuum-cleaner/deebot-ozmo-920
robot vacuum,Eufy,eufy x10 pro omni,https://www.eufy.com/appliance-x10-omni
robot vacuum,Eufy,RoboVac G30 Edge,https://us.eufy.com/products/t2250
robot vacuum,Shark,IQ Robot XL,https://www.sharkclean.com/page/robot-vacuums
robot vacuum,Shark,AI Robot,https://www.sharkclean.com/products/shark-ai-ultra-self-empty-robot-vacuum-zidRV2502AE
robot vacuum,Xiaomi,Mi Robot Vacuum,https://www.mi.com/global/product/mi-robot-vacuum-mop-2
robot vacuum,Samsung,PowerBot R7040,https://www.samsung.com/us/business/builder/our-appliances/vacuums/powerbot-robot/powerbot--r7040-robot-vacuum-vr1am7040wg-aa/
robot vacuum,Samsung,Jet Bot AI,https://news.samsung.com/global/bespoke-jet-bot-aiplus-the-smart-choice-for-floor-cleaning-and-pet-monitoring-even-when-youre-away-from-home
robot vacuum,LG,CordZero R9,https://www.lg.com/us/business/floor-care/lg-r975gm1
robot vacuum,Miele,Scout RX2,https://www.mieleusa.com/c/scout-rx2-455.htm
robot vacuum,Miele,Scout RX3,https://www.miele.ca/en/Shop/products/detail/robot-vacuum-cleaners-scout-rx3-home-vision-11830100-p
robot vacuum,Bissell,EV675 Robot,https://www.bissell.eu/products/ev675-robot-vacuum-cleaner.html
robot vacuum,Ilife,A10,https://iliferobot.store/products/px-f031
robot vacuum,Ilife,V3s Pro,https://www.iliferobot.com/mobile/products/V3sPro
robot vacuum,Ilife,V8s,https://www.iliferobot.com/mobile/products/V8s
robot vacuum,Proscenic,850T,https://www.proscenic.com/product/robot-vacuum/proscenic-850t-robot-vacuum-cleaner/
robot vacuum,Kyvol,cybovac e30,https://kyvol.com/products/cybovac-e30-robot-vacuum-cleaner
robot vacuum,Yeedi,M12 PRO+,https://www.yeedi.com/us/robot-vacuum-cleaner/robot-vacuum-m12-pro
robot vacuum,Coredy,R750,https://shop.coredy.com/products/coredy-r750-robot-vacuum-cleaner
robot vacuum,Coredy,R580,https://shop.coredy.com/products/r500-replacement-home-base-recharging-dock-station
robot vacuum,Coredy,R650,https://shop.coredy.com/en-de/products/coredy-r650-ultra-robot-vacuum-gyro-dynamic-navigation
robot vacuum,Bagotte,bagotte bg600,https://www.bagotte.com/Cleaning/Robotic/Bagotte-BG600?lang=en-us
robot vacuum,Bagotte,BG800,https://www.bagotte.com/portal/article/index/id/245?lang=en-us
robot vacuum,Viomi,V2 Pro,https://www.viomi.com/robot-vacuums/viomi-v2-pro
robot vacuum,Viomi,V3,https://www.viomi.com/robot-vacuums/viomi-v3
robot vacuum,Viomi,SE,https://www.viomi.com/robot-vacuums/viomi-se
robot vacuum,Tesvor,tesvor m1,https://www.tesvor.com/us/tesvor-m1-robot-vacuum.html
robot vacuum,Trifo,trifo emma,https://trifo.in/emma/
