Product,Brand,Model,URL
robot vacuum,iRobot,Roomba 675,https://www.irobot.com/roomba-600/irobot-roomba-675/675
robot vacuum,iRobot,Roomba i7,https://www.irobot.com/roomba/irobot-roomba-i7-plus/2750
robot vacuum,iRobot,Roomba s9,https://www.irobot.com/roomba/irobot-roomba-s9-plus/2751
robot vacuum,Roborock,Roborock S6 MaxV,https://en.roborock.com/pages/roborock-s6-maxv
robot vacuum,Roborock,Roborock S7,https://en.roborock.com/products/roborock-s7
robot vacuum,Roborock,Roborock E4,https://en.roborock.com/products/roborock-e4
robot vacuum,Neato Robotics,Neato D8 Intelligent Robot Vacuum,https://www.neatorobotics.com/en-us/products/botvac-d8
robot vacuum,Neato Robotics,Neato D7 Connected,https://www.neatorobotics.com/en-us/products/botvac-connected
robot vacuum,Neato Robotics,Neato D10,https://www.neatorobotics.com/en-us/products/robot-vacuums/botvac-d10
robot vacuum,ECOVACS Robotics,DEEBOT OZMO T8 AIVI,https://www.ecovacs.com/us/deebot-ozmo-t8-aivi
robot vacuum,ECOVACS Robotics,DEEBOT N8,https://www.ecovacs.com/us/deebot-n8
robot vacuum,ECOVACS Robotics,DEEBOT T5,https://www.ecovacs.com/us/deebot-t5
robot vacuum,SharkNinja,Shark IQ Robot Self-Empty XL,https://www.ninjakitchen.com/roborock-s7
robot vacuum,SharkNinja,Shark ION Robot Vacuum R85,https://www.ninjakitchen.com/shark-ion-robot-vacuum-r85
robot vacuum,SharkNinja,Shark AI Robot Self-Empty XL Vacuum,https://www.ninjakitchen.com/shark-ai-robot-self-empty-xl-vacuum
robot vacuum,Samsung,Samsung POWERbot R7070,https://www.samsung.com/us/smart-home/smartthings-vacuums/
robot vacuum,Samsung,Samsung Jetbot Mop,https://www.samsung.com/us/appliances/vacuums/jetbot-mop/
robot vacuum,Samsung,Samsung POWERbot R9350,https://www.samsung.com/us/home-appliances/vacuums/powerbot-r9350-powerbot-turbo/
robot vacuum,bObsweep,bObsweep Junior,https://support.bobsweep.com/hc/en-us/articles/360007801513-What-is-bObi-Junior-
robot vacuum,bObsweep,bObsweep PRO,https://support.bobsweep.com/hc/en-us/articles/360034961872-What-are-the-differences-between-bObi-Pro-and-bObi-Standard-
