Product,Brand,Model,URL
shampoo,Head Shoulders,"mens old spice pure sport anti-dandruff shampoo for daily use, paraben free",https://www.headandshoulders.ca/en-ca/shop-products/dandruff-shampoo/old-spice-pure-sport-shampoo-for-men
shampoo,Head Shoulders,Smooth Silky Shampoo,https://headandshoulders.com/en-us/shop-products/dandruff-shampoo/smooth-and-silky-shampoo
shampoo,Head Shoulders,Clinical Strength Shampoo,https://headandshoulders.com/en-us/shop-products/dandruff-shampoo/clinical-strength-dandruff-defense-intensive-itch-relief-shampoo
shampoo,Pantene,Repair Protect Shampoo,https://pantene.com/en-us/product/repair-protect-2in1-shampoo-conditioner
shampoo,Pantene,Daily Moisture Renewal Shampoo,https://pantene.com/en-us/product/daily-moisture-renewal-shampoo
shampoo,Pantene,infinite lengths biotin + collagen sulfate-free shampoo,https://pantene.com/en-us/product/infinite-lengths-shampoo
shampoo,Herbal Essences,Hello Hydration Shampoo,https://herbalessences.com/en-us/our-products/hello-hydration-shampoo/
shampoo,Herbal Essences,Color Me Happy Shampoo,https://herbalessences.com/en-us/our-products/color-me-happy-shampoo-for-colored-hair/
shampoo,Herbal Essences,BioRenew Argan Oil of Morocco Shampoo,https://herbalessences.com/en-us/our-products/argan-oil-paraben-free-repair-shampoo/
shampoo,Dove,Nutritive Solutions Intensive Repair Shampoo,https://www.dove.com/us/en/p/intensive-repair-shampoo-for-damaged-hair.html/00045893080531
shampoo,Dove,Dermacare Scalp Anti-Dandruff Shampoo,https://www.dove.com/us/en/p/dryness-itch-relief-anti-dandruff-shampoo.html/00079400678881
shampoo,Dove,MenCare Fresh and Clean Shampoo,https://www.dove.com/us/en/p/men-care-fresh-clean-fortifying-2-in-1-shampoo-conditioner.html/00079400266545
shampoo,Garnier,Fructis Grow Strong Shampoo,https://www.garnierusa.com/about-our-brands/fructis/grow-strong/grow-strong-shampoo
shampoo,Garnier,Whole Blends Honey Treasures Shampoo,https://www.garnier.ca/en-ca/about-our-brands/hair-care/whole-blends/honey-treasures-repairing/garnier-whole-blends-honey-treasures-repairing-shampoo-370-ml
shampoo,Garnier,Fructis Sleek and Shine Shampoo,https://www.garnierusa.com/about-our-brands/fructis/sleek-and-shine/sleek-shine-shampoo
shampoo,Redken,Color Extend Magnetics Shampoo,https://www.redken.ca/en-ca/products/haircare/color-extend-magnetics
shampoo,Redken,Extreme Shampoo,https://www.redken.ca/en-ca/products/haircare/extreme/extreme-shampoo
shampoo,LOréal,EverPure Moisture Shampoo,https://www.lorealparisusa.com/hair-care-hair-style/shampoo/everpure-moisture-shampoo
shampoo,LOréal,Total Repair 5 Shampoo,https://www.lorealparisusa.com/hair-care-hair-style/shampoo/elvive-total-repair-5-repairing-shampoo
