Product,Brand,Model,URL
shampoo,Pantene,Pro-V Sheer Volume Shampoo,https://www.pantene.com/en-us/product/pro-v-sheer-volume-shampoo
shampoo,Pantene,Pro-V Repair Protect Shampoo,https://www.pantene.com/en-us/product/pro-v-repair-protect-shampoo
shampoo,Pantene,Pro-V Curl Perfection Shampoo,https://www.pantene.com/en-us/product/pro-v-curl-perfection-shampoo
shampoo,Garnier,Fructis Grow Strong Shampoo,https://www.garnierusa.com/about-our-brands/fructis/grow-strong-shampoo
shampoo,Garnier,Whole Blends Moroccan Argan Camellia Oils Shampoo,https://www.garnierusa.com/about-our-brands/whole-blends/color-care-protecting-shampoo-with-argan-oil-cranberry-extracts
shampoo,Garnier,Pure Clean Shampoo,https://www.garnierusa.com/about-our-brands/fructis/pure-clean-shampoo
shampoo,Herbal Essences,Color Me Happy Shampoo,https://herbalessences.com/en-us/discover-products/collections/color-me-happy
shampoo,Herbal Essences,BioRenew Argan Oil of Morocco Shampoo,https://herbalessences.com/en-us/discover-products/collections/biorenew/argan-oil-of-morocco-shampoo
shampoo,Herbal Essences,Body Envy Volumizing Shampoo,https://herbalessences.com/en-us/discover-products/collections/body-envy/volumizing-shampoo
shampoo,Head Shoulders,Classic Clean Shampoo,https://headandshoulders.com/en-us/shop-products/classic-clean-shampoo
shampoo,Head Shoulders,Smooth Silky Shampoo,https://headandshoulders.com/en-us/shop-products/smooth-and-silky-anti-dandruff-shampoo
shampoo,Head Shoulders,Men Ultra Series Shampoo,https://headandshoulders.com/en-us/shop-products/old-spice/superb-shampoo
shampoo,Dove,Nutritive Solutions Daily Moisture Shampoo,https://www.dove.com/us/en/hair-care/shampoo/daily-moisture-shampoo.html
shampoo,Dove,Nutritive Solutions Intensive Repair Shampoo,https://www.dove.com/us/en/hair-care/shampoo/intensive-repair-shampoo.html
shampoo,Dove,MenCare Thickening Shampoo,https://www.dove.com/us/en/men-care/hair-care/men-care-thickening-fortifying-shampoo.html
shampoo,TRESemmé,Keratin Smooth Shampoo,https://www.tresemme.com/us/en/products/shampoo/keratin-smooth-shampoo.html
shampoo,TRESemmé,Moisture Rich Shampoo,https://www.tresemme.com/us/en/products/shampoo/moisture-rich-shampoo.html
shampoo,TRESemmé,Botanique Coconut Nourish Shampoo,https://www.tresemme.com/us/en/products/shampoo/botanique-coconut-nourish-shampoo.html
shampoo,LOréal,EverPure Sulfate-Free Color Care Shampoo,https://www.lorealparisusa.com/products/hair-care/products/shampoo/everpure-color-care-shampoo.aspx
shampoo,LOréal,Elvive Extraordinary Oil Shampoo,https://www.lorealparisusa.com/products/hair-care/products/shampoo/elvive-extraordinary-oil-shampoo.aspx
shampoo,LOréal,Botanicals Fresh Care Camelina Smooth Ritual Shampoo,https://www.lorealparisusa.com/products/hair-care/products/shampoo/botanicals-fresh-care-camelina-smooth-ritual-shampoo.aspx
