Product,Brand,Model,URL
shampoo,Head Shoulders,Old Spice Pure Sport Anti-Dandruff Shampoo,https://www.headandshoulders.ca/en-ca/shop-products/dandruff-shampoo/old-spice-pure-sport-shampoo-for-men
shampoo,Head Shoulders,Smooth & Silky,https://headandshoulders.com/en-us/shop-products/dandruff-shampoo/smooth-and-silky-shampoo
shampoo,Head Shoulders,Clinical Strength Dandruff Defense Intensive Itch Relief,https://headandshoulders.com/en-us/shop-products/dandruff-shampoo/clinical-strength-dandruff-defense-intensive-itch-relief-shampoo
shampoo,Pantene,2 in 1 Repair & Protect,https://pantene.com/en-us/product/repair-protect-2in1-shampoo-conditioner
shampoo,Pantene,Daily Moisture Renewal,https://pantene.com/en-us/product/daily-moisture-renewal-shampoo
shampoo,Pantene,Infinite Lengths,https://pantene.com/en-us/product/infinite-lengths-shampoo
shampoo,Herbal Essences,Hello Hydration,https://herbalessences.com/en-us/our-products/hello-hydration-shampoo/
shampoo,Herbal Essences,Color Me Happy,https://herbalessences.com/en-us/our-products/color-me-happy-shampoo-for-colored-hair/
shampoo,Herbal Essences,BioRenew Argan Oil Repair Shampoo,https://herbalessences.com/en-us/our-products/argan-oil-paraben-free-repair-shampoo/
shampoo,Dove,Nutritive Solutions Intensive Repair,https://www.dove.com/us/en/p/intensive-repair-shampoo-for-damaged-hair.html/00045893080531
shampoo,Dove,Dermacare Scalp Anti-Dandruff,https://www.dove.com/us/en/p/dryness-itch-relief-anti-dandruff-shampoo.html/00079400678881
shampoo,Dove,Fresh & Clean Fortifying 2 in 1,https://www.dove.com/us/en/p/men-care-fresh-clean-fortifying-2-in-1-shampoo-conditioner.html/00079400266545
shampoo,Garnier,Grow Strong,https://www.garnierusa.com/about-our-brands/fructis/grow-strong/grow-strong-shampoo
shampoo,Garnier,Whole Blends Honey Treasures,https://www.garnier.ca/en-ca/about-our-brands/hair-care/whole-blends/honey-treasures-repairing/garnier-whole-blends-honey-treasures-repairing-shampoo-370-ml
shampoo,Garnier,Fructis Sleek and Shine,https://www.garnierusa.com/about-our-brands/fructis/sleek-and-shine/sleek-shine-shampoo
shampoo,Redken,Color Extend Magnetics,https://www.redken.ca/en-ca/products/haircare/color-extend-magnetics
shampoo,Redken,Extreme Strengthening and Repair,https://www.redken.ca/en-ca/products/haircare/extreme/extreme-shampoo
shampoo,LOreal,EverPure Moisture,https://www.lorealparisusa.com/hair-care-hair-style/shampoo/everpure-moisture-shampoo
shampoo,LOreal,Total Repair 5,https://www.lorealparisusa.com/hair-care-hair-style/shampoo/elvive-total-repair-5-repairing-shampoo
shampoo,LOreal,Elvive Hyaluron + Pure Purifying,https://www.lorealparisusa.com/hair-care-hair-style/shampoo/hyaluron-pure-purifying-shampoo
shampoo,Aveda,Rosemary Mint Purifying Shampoo,https://www.aveda.com/rosemary-mint-products
shampoo,Aveda,Botanical Repair Strengthening,https://www.aveda.com/botanical-repair-hair-damage-treatment
shampoo,TRESemmé,Rich Moisture,https://www.tresemme.com/us/en/products/shampoo/rich-moisture-shampoo-for-dry-hair/
shampoo,TRESemmé,Keratin Smooth Anti Frizz,https://www.tresemme.com/us/en/products/shampoo/keratin-smooth-antifrizz-shampoo-for-frizzy-hair/
shampoo,TRESemmé,Clean & Replenish 3 in 1,"https://www.tresemme.com/ca/en/p/clean-&-replenish-3-in-1-shampoo,-conditioner,-detangler.html/00022400393711"
shampoo,Neutrogena,T/Gel Therapeutic,https://www.neutrogena.co.uk/hair-and-scalp/dandruff/t-gel-therapeutic-shampoo
shampoo,Neutrogena,Healthy Scalp Hydro Boost Moisturizing title uninformative,https://www.neutrogena.ca/hair/shampoos/healthy-scalp-hydro-boost-moisturizing-shampoo
shampoo,Kiehl’s,Amino Acid,https://www.kiehls.com.sg/en_SG/amino-acid/amino-acid-shampoo/247.html
shampoo,Kiehl’s,Rice and Wheat Volumizing,https://kiehls.in/rice-and-wheat-volumizing-shampoo.html
shampoo,Paul Mitchell,Tea Tree Special,https://www.paul-mitchell.co.uk/en/our-products/tea-tree/tea-tree-special/tea-tree-special-shampoo
shampoo,Paul Mitchell,Shampoo One,https://www.paul-mitchell.co.uk/en/our-products/paul-mitchell/original/shampoo-one
shampoo,Nioxin,System 1 Cleanser,https://www.nioxin.com/en-US/products/shampoo/system-1-cleanser
shampoo,Nioxin,System 2 Cleanser,https://www.nioxin.com/en-US/products/shampoo/system-2-cleanser
shampoo,Nioxin,System 4 Cleanser,https://www.nioxin.com/en-US/products/shampoo/system-4-cleanser
shampoo,Philip Kingsley,Elasticizer,https://www.philipkingsley.com/philip-kingsley-elasticizer.html
shampoo,Philip Kingsley,Flaky Scalp Cleansing,https://www.philipkingsley.com/flaky-scalp-cleansing-shampoo-250ml.html
shampoo,Philip Kingsley,Body Building,https://www.philipkingsley.com/philip-kingsley-body-building-shampoo.html
shampoo,Sachajuan,Scalp Therapy,https://shop.sachajuan.com/products/scalp-shampoo
shampoo,Sachajuan,Normal Hair,https://shop.sachajuan.com/products/normal-hair-shampoo
shampoo,Sachajuan,SACHAJUAN Silver,https://shop.sachajuan.com/products/silver-shampoo
shampoo,Matrix,Total Results Mega Sleek,https://www.matrixhaircare.co.uk/products/hair-care/mega-sleek/mega-sleek-shampoo
shampoo,Matrix,Brass Off,https://www.matrixprofessional.ca/en-ca/products/hair-care/brass-off/brass-off-shampoo
shampoo,Matrix,So Long Damage,https://www.matrixprofessional.eu/en/products/hair-care-and-styling/so-long-damage
shampoo,Joico,Blonde Life Brightening,https://www.joico.com.au/hair-care/blonde-life-shampoo/
