Product,Brand,Model,URL
sleeping bag,Marmot,Sawtooth,https://www.marmot.com/equipment/sleeping-bags/down-bags/mens-sawtooth-15-sleeping-bag/AFS_195115053765.html
sleeping bag,Marmot,Never Summer,https://www.marmot.com/equipment/sleeping-bags/down-bags/mens-never-summer-0-sleeping-bag/AFS_195115053819.html
sleeping bag,Mountain Hardwear,Lamina 30F-1C,https://www.mountainhardwear.ca/en/p/lamina-30f%2F-1c-2025471.html
sleeping bag,Mountain Hardwear,Phantom 0F-18C,https://www.mountainhardwear.com/p/phantom-0f%2F-18c-2063651.html
sleeping bag,The North Face,One Bag,https://www.thenorthface.com/en-us/search/product?q=one%20bag%20sleeping%20bag%20nf0a3g6i
sleeping bag,NEMO,Jazz 20,https://www.nemoequipment.com/products/jazz-camping-sleeping-bag
sleeping bag,REI Co-op,trailbreak 20 sleeping bag,https://www.rei.com/used/p/rei-co-op-trailbreak-20-sleeping-bag-womens/157831
sleeping bag,Sea to Summit,Ascent AcII,https://seatosummit.com/products/the-ascent-down-sleeping-bag
sleeping bag,Sea to Summit,Spark SpIII,https://seatosummit.com/products/spark-down-sleeping-bag
sleeping bag,Rab,Neutrino 400,https://rab.equipment/eu/neutrino-400
sleeping bag,Western Mountaineering,Alpinlite,https://www.westernmountaineering.com/product/alpinlite/
sleeping bag,Western Mountaineering,Versalite,https://www.westernmountaineering.com/product/versalite/
sleeping bag,Western Mountaineering,Antelope MF,https://www.westernmountaineering.com/product/antelope-mf/
sleeping bag,Cumulus,Lite Line 400,https://cumulus.equipment/us_en/down-sleeping-bag-lite-line-400-45.html
sleeping bag,Cumulus,Mysterious Traveller 700,https://cumulus.equipment/us_en/down-sleeping-bag-mysterious-traveller-700-64-electric-blue-o.html
sleeping bag,Fjarllraven,Abisko Two Seasons,https://www.fjallraven.com/ca/en-ca/bags-gear/tents-sleeping-bags/sleeping-bags/abisko-two-seasons-reg
sleeping bag,Valandre,swing co 850,https://www.valandre.com/sleeping-bags/25-swing-co-850.html
sleeping bag,Snugpak,BASECAMP OPS Navigator,https://snugpakusa.com/product.php?id=21
sleeping bag,Snugpak,Softie 3 Merlin Sleeping Bag,https://www.snugpakusa.com/product.php?id=42
sleeping bag,Snugpak,SLEEPER EXPEDITION WGTE,https://snugpak.com/products/sleeper-expedition-wgte
