Product,Brand,Model,URL
sleeping bag,Marmot,Sawtooth,https://www.marmot.com/equipment/sleeping-bags/down-bags/mens-sawtooth-15-sleeping-bag/AFS_195115053765.html
sleeping bag,Marmot,Never Summer,https://www.marmot.com/equipment/sleeping-bags/down-bags/mens-never-summer-0-sleeping-bag/AFS_195115053819.html
sleeping bag,Mountain Hardwear,Lamina 30F-1C,https://www.mountainhardwear.ca/en/p/lamina-30f%2F-1c-2025471.html
sleeping bag,Mountain Hardwear,Phantom 0F-18C,https://www.mountainhardwear.com/p/phantom-0f%2F-18c-2063651.html
sleeping bag,The North Face,One Bag,https://www.thenorthface.com/en-us/search/product?q=one%20bag%20sleeping%20bag%20nf0a3g6i
sleeping bag,NEMO,disco™ mens endless promise® down sleeping bag,https://www.nemoequipment.com/collections/endless-promise-sleeping-bags
sleeping bag,NEMO,Jazz 20,https://www.nemoequipment.com/products/jazz-camping-sleeping-bag
sleeping bag,REI Co-op,trailbreak 20 sleeping bag,https://www.rei.com/used/p/rei-co-op-trailbreak-20-sleeping-bag-womens/157831
sleeping bag,Sea to Summit,Ascent AcII,https://seatosummit.com/products/the-ascent-down-sleeping-bag
sleeping bag,Sea to Summit,Spark SpIII,https://seatosummit.com/products/spark-down-sleeping-bag
sleeping bag,Sea to Summit,Altitude AtII,https://seatosummit.com/collections/sleeping-bags
sleeping bag,Rab,Neutrino 400,https://rab.equipment/eu/neutrino-400
sleeping bag,Rab,Mythic Ultra 180,https://rab.equipment/us/sleeping-bags/mythic
sleeping bag,Western Mountaineering,Alpinlite,https://www.westernmountaineering.com/product/alpinlite/
sleeping bag,Western Mountaineering,Versalite,https://www.westernmountaineering.com/product/versalite/
sleeping bag,Western Mountaineering,Antelope MF,https://www.westernmountaineering.com/product/antelope-mf/
sleeping bag,Feathered Friends,Flicker UL 20 Quilt Sleeping Bag,https://featheredfriends.com/collections/flicker-series
sleeping bag,Feathered Friends,Hummingbird UL 20,https://featheredfriends.com/collections/sleeping-bags
sleeping bag,Cumulus,Lite Line 400,https://cumulus.equipment/us_en/down-sleeping-bag-lite-line-400-45.html
sleeping bag,Cumulus,Mysterious Traveller 700,https://cumulus.equipment/us_en/down-sleeping-bag-mysterious-traveller-700-64-electric-blue-o.html
sleeping bag,Fjällräven,Abisko Two Seasons,https://www.fjallraven.com/ca/en-ca/bags-gear/tents-sleeping-bags/sleeping-bags/abisko-two-seasons-reg
sleeping bag,Valandré,swing co 850,https://www.valandre.com/sleeping-bags/25-swing-co-850.html
sleeping bag,TETON Sports,teton sportscelsius 20°f sleeping bag,https://tetonsports.com/products/mammoth-20-f-double-sleeping-bag
sleeping bag,TETON Sports,Mammoth Double Sleeping Bag,https://tetonsports.com/products/mammoth-0-f-double-sleeping-bag
sleeping bag,Snugpak,Basecamp Navigator SQ Sleeping Bag,https://snugpakusa.com/product.php?id=21
sleeping bag,Snugpak,Softie 3 Merlin Sleeping Bag,https://www.snugpakusa.com/product.php?id=42
sleeping bag,Snugpak,The Sleeper Expedition Sleeping Bag,https://snugpak.com/products/sleeper-expedition-wgte
sleeping bag,Coleman,Autumn Trails 30 Big and Tall Sleeping Bag,https://www.coleman.com/how-clean-store-your-colemanr-sleeping-bag.html
