Product,Brand,Model,URL
slow cooker,Hamilton Beach,33969A,https://hamiltonbeach.com/set-and-forget-6-qt-programmable-slow-cooker-33969a
slow cooker,BLACKDECKER,SC2007D,https://www.blackanddecker.com/products/sc2007d
slow cooker,BLACKDECKER,SC1007D,https://www.blackanddecker.com/products/sc1007d/7-quart-slow-cooker-geometric
slow cooker,Presto,06011,https://www.gopresto.com/product/presto-6-quart-nomad-traveling-slow-cooker-06011
slow cooker,West Bend,87156,https://westbend.com/products/6-qt-oval-slow-cooker
slow cooker,DeLonghi,Livenza 7-in-1 Multi-Cooker,https://www.delonghi.com/en-us/livenza-all-in-one-programmable-multi-cooker-6-quart-ckm1641d/p/CKM1641D
slow cooker,DeLonghi,delonghi livenza 9-in-1,https://www.delonghi.com/en-us/livenza-compact-air-fryer-toaster-oven/p/EO141164M
slow cooker,All-Clad,SD700450,https://www.all-clad.ca/en/c/6-5Qt-Slow-Cooker/p/1500632304
slow cooker,All-Clad,Gourmet Plus Slow Cooker 7-Qt,https://www.all-clad.com/gourmet-plus-multi-cooker-7-quart.html
slow cooker,All-Clad,SD710851,https://www.all-clad.ca/en/c/4Qt-Slow-Cooker/p/1500632311
slow cooker,Cuisinart,3-In-1 Cook Central 4-Quart Multi-Cooker,https://cuisinart.com.au/products/cook-central-3-in-1
slow cooker,Wolf Gourmet,WGSC100S,https://wolfgourmet.com/store/countertop-appliances/multi-function-cooker
slow cooker,Sunbeam,HP5520,https://www.sunbeam.com.au/kitchen-and-home/cooking/pressure-slow-cookers/secretchef-slow-cooker-5-point-5l
slow cooker,Breville,BPR700BSS,https://www.breville.com/us/en/products/cookers/bpr700.html
slow cooker,Breville,The Multi Chef,https://www.breville.com/au/en/products/cookers/brc600.html
slow cooker,Panasonic,SR-ZC075K,https://www.panasonic.com/ca/consumer/home-appliances/rice-cookers/microcomputer-controlled/sr-zc075k.html
slow cooker,Philips,Viva Collection Multi-cooker,https://philipsappliances.pk/philips-viva-collection-all-in-one-multicooker-hd2237-72/
slow cooker,Philips,Avance Collection Multi-cooker,https://www.usa.philips.com/c-p/HD3095_87/avance-collection-multicooker
