Product,Brand,Model,URL
smartphone,Apple,iPhone 15 Pro,https://www.apple.com/shop/buy-iphone/iphone-15-pro
smartphone,Apple,iPhone 14,https://www.apple.com/shop/buy-iphone/iphone-14/
smartphone,Apple,iPhone SE 3rd generation,https://www.apple.com/shop/buy-iphone/iphone-se/
smartphone,Samsung,Galaxy Note 20,https://www.samsung.com/levant/smartphones/galaxy-note20/models/
smartphone,Samsung,Galaxy Z Fold3,https://news.samsung.com/za/samsung-launches-buy-and-try-promotion-with-galaxy-z-fold3-5g-and-galaxy-z-flip3-5g
smartphone,Xiaomi,Mi 11,https://www.mi.com/global/product/mi-11/
smartphone,Xiaomi,Redmi Note 10,https://www.mi.com/global/product/redmi-note-10/
smartphone,Huawei,P40 Pro,https://consumer.huawei.com/en/phones/p40-pro/
smartphone,Huawei,huawei p60 pro,https://consumer.huawei.com/en/phones/p60-pro/
smartphone,Huawei,Nova 9,https://consumer.huawei.com/en/phones/nova9/
smartphone,OnePlus,8T,https://www.oneplus.com/global/8t
smartphone,OnePlus,oneplus 12r,https://www.oneplus.com/us/oneplus-12r
smartphone,Sony,Xperia 10 II,https://electronics.sony.com/mobile/smartphone/c/smartphones
smartphone,LG,V60 ThinQ,https://www.lg.com/ca_en/cell-phones/lmv600tm2x/
smartphone,LG,lg dual screen,https://www.lg.com/us/mobile-phones/v60-thinq-dual-screen/tips
smartphone,OPPO,oppo a94,https://oppostore.co.uk/a94-5g-2021.html
smartphone,Alcatel,Alcatel 1S 2020,https://www.alcatelmobile.com/product/smartphone/alcatel1/alcatel-1s-2020
smartphone,Alcatel,Alcatel 3L 2020,https://www.alcatelmobile.com/product/smartphone/alcatel3/alcatel-3l-2020
smartphone,Realme,realme gt neo 3t dragon ball z edition,https://c.realme.com/global/post-details/1545443346654199808
smartphone,Asus,ROG Phone 5,https://rog.asus.com/phones/rog-phone-5-model/
smartphone,Asus,Zenfone 8,https://www.asus.com/mobile-handhelds/phones/all-series/zenfone-8/
smartphone,Asus,Zenfone 7 Pro,https://www.asus.com/mobile-handhelds/phones/all-series/zenfone-7-pro/
smartphone,Vivo,Vivo X70 Pro,https://www.vivo.com/en/products/param/x70pro
smartphone,Tecno,pova,https://www.tecno-mobile.com/ph/stores/
smartphone,Lenovo,Lenovo Legion Phone Duel,https://news.lenovo.com/pressroom/press-releases/introducing-the-lenovo-legion-phone-duel/
smartphone,Meizu,Meizu 18 Pro,https://www.meizuworld.com/meizu-18-pro-mobile.html
smartphone,Meizu,meizu 17,https://www.meizuworld.com/meizu-17-series.html
smartphone,Meizu,Meizu 16th,https://meizustore.net/en/shop/meizu-16th-global-version/
