Product,Brand,Model,URL
smartphone,Apple,iPhone 15 Pro,https://www.apple.com/shop/buy-iphone/iphone-15-pro
smartphone,Apple,iPhone 14,https://www.apple.com/shop/buy-iphone/iphone-14/
smartphone,Apple,iPhone SE 3rd generation,https://www.apple.com/shop/buy-iphone/iphone-se/
smartphone,Samsung,Galaxy S22 Ultra,https://www.samsung.com/global/galaxy/galaxy-s22-ultra/
smartphone,Samsung,Galaxy Note 20,https://www.samsung.com/global/galaxy/galaxy-note20/
smartphone,Samsung,Galaxy Z Fold3,https://www.samsung.com/global/galaxy/galaxy-z-fold3/
smartphone,Xiaomi,Mi 11,https://www.mi.com/global/mi-11/
smartphone,Xiaomi,Redmi Note 10,https://www.mi.com/global/product/redmi-note-10/
smartphone,Xiaomi,Poco X3 NFC,https://www.mi.com/global/product/poco-x3-nfc/
smartphone,Huawei,P40 Pro,https://consumer.huawei.com/en/phones/p40-pro/
smartphone,Huawei,Mate 40 Pro,https://consumer.huawei.com/en/phones/mate40-pro/
smartphone,Huawei,Nova 9,https://consumer.huawei.com/en/phones/nova9/
smartphone,OnePlus,9 Pro,https://www.oneplus.com/global/9-pro
smartphone,OnePlus,8T,https://www.oneplus.com/global/8t
smartphone,OnePlus,Nord 2,https://www.oneplus.com/global/nord-2-5g
smartphone,Google,Pixel 6,https://store.google.com/product/pixel_6
smartphone,Google,Pixel 5,https://store.google.com/product/pixel_5
smartphone,Google,Pixel 4a,https://store.google.com/product/pixel_4a
smartphone,Sony,Xperia 1 III,https://www.sony.com/electronics/smartphones/xperia-1m3
smartphone,Sony,Xperia 5 II,https://www.sony.com/electronics/smartphones/xperia-5m2
smartphone,Sony,Xperia 10 II,https://www.sony.com/electronics/smartphones/xperia-10m2
smartphone,LG,V60 ThinQ,https://www.lg.com/us/mobile-phones/v60-thinq
smartphone,LG,G8 ThinQ,https://www.lg.com/us/mobile-phones/g8-thinq
smartphone,LG,Velvet,https://www.lg.com/us/mobile-phones/velvet
smartphone,Motorola,Edge 20,https://www.motorola.com/we/smartphones-motorola-edge-20/p
smartphone,Motorola,Razr 5G,https://www.motorola.com/we/smartphones-razr-5g/p
smartphone,Motorola,Moto G100,https://www.motorola.com/we/smartphones-moto-g100/p
smartphone,OPPO,Find X3 Pro,https://www.oppo.com/en/smartphones/series-find-x/find-x3-pro/
smartphone,OPPO,Reno6 Pro,https://www.oppo.com/en/smartphones/series-reno/reno6-pro-5g/
smartphone,OPPO,A94,https://www.oppo.com/en/smartphones/series-a/a94/
smartphone,Alcatel,Alcatel 1S 2020,https://www.alcatelmobile.com/product/smartphone/alcatel-1s/
smartphone,Alcatel,Alcatel 3L 2020,https://www.alcatelmobile.com/product/smartphone/alcatel-3l/
smartphone,Alcatel,Alcatel 1 2021,https://www.alcatelmobile.com/product/smartphone/alcatel-1/
smartphone,Nokia,Nokia G50,https://www.nokia.com/phones/en_int/nokia-g-50
smartphone,Nokia,Nokia X20,https://www.nokia.com/phones/en_int/nokia-x-20
smartphone,Nokia,Nokia 8.3 5G,https://www.nokia.com/phones/en_int/nokia-8-3-5g
smartphone,Realme,Realme 8 Pro,https://www.realme.com/uk/realme-8-pro
smartphone,Realme,Realme GT,https://www.realme.com/uk/realme-gt
smartphone,Realme,Realme Narzo 30,https://www.realme.com/uk/realme-narzo-30
smartphone,Asus,ROG Phone 5,https://rog.asus.com/phones/rog-phone-5-model/
smartphone,Asus,Zenfone 8,https://www.asus.com/Mobile/Phones/All-series/ZenFone-8/
smartphone,Asus,Zenfone 7 Pro,https://www.asus.com/Mobile/Phones/All-series/ZenFone-7-Pro/
smartphone,Vivo,Vivo X70 Pro,https://www.vivo.com/in/products/x70pro
smartphone,Vivo,Vivo V21,https://www.vivo.com/in/products/v21
smartphone,Vivo,Vivo Y20,https://www.vivo.com/in/products/y20
smartphone,Tecno,Tecno Camon 16,https://www.tecno-mobile.com/phones/product-detail/product/camon-16-se/#/
smartphone,Tecno,Tecno Spark 7,https://www.tecno-mobile.com/phones/product-detail/product/spark-7/#/
smartphone,Tecno,Tecno Pova,https://www.tecno-mobile.com/phones/product-detail/product/pova/#/
smartphone,Lenovo,Lenovo Legion Phone Duel,https://www.lenovo.com/gb/en/phones/lenovo/lenovo-legion-phone-duel/
smartphone,Lenovo,Lenovo Z6 Pro,https://www.lenovo.com/gb/en/phones/lenovo/lenovo-z6-pro/
smartphone,Lenovo,Lenovo K12 Pro,https://www.lenovo.com/gb/en/phones/lenovo/lenovo-k12-pro/
smartphone,ZTE,ZTE Axon 30 Ultra,https://www.ztedevices.com/en/product/smart-phone/axon-30-ultra/
smartphone,ZTE,ZTE Blade 10,https://www.ztedevices.com/en/product/smart-phone/blade-10/
smartphone,ZTE,ZTE Nubia Red Magic 5G,https://www.ztedevices.com/en/product/smart-phone/red-magic-5g/
smartphone,Meizu,Meizu 18 Pro,https://www.meizu.com/en/products/list/product_overview/m2142
smartphone,Meizu,Meizu 17 Pro,https://www.meizuworld.com/meizu-17-pro
smartphone,Meizu,Meizu 16th,https://www.meizu.com/en/products/list/product_overview/m1883
smartphone,HTC,HTC Desire 20 Pro,https://www.htc.com/mea-en/smartphones/htc-desire-20-pro/
smartphone,HTC,HTC U12,https://www.htc.com/mea-en/smartphones/htc-u12-plus/
smartphone,HTC,HTC Exodus 1,https://www.htc.com/mea-en/smartphones/htc-exodus/
