Product,Brand,Model,URL
solid state drive,Samsung,980 PRO,https://www.samsung.com/semiconductor/minisite/ssd/product/consumer/980pro/
solid state drive,Crucial,MX500,https://www.crucial.com/ssd/mx500/ct1000mx500ssd1
solid state drive,WD,Blue SN550,https://shop.westerndigital.com/products/internal-drives/wd-blue-sn550-nvme-ssd#WDS500G2B0C
solid state drive,Micron,2200 SSD,https://www.micron.com/products/solid-state-drives/product-lines/2200
solid state drive,Kingston,A2000,https://www.kingston.com/us/ssd/a2000-nvme-pcie-ssd
solid state drive,SanDisk,Extreme PRO,https://shop.westerndigital.com/products/portable-drives/sandisk-extreme-pro-portable-ssd
solid state drive,Seagate,FireCuda 520,https://www.seagate.com/ap/en/internal-hard-drives/ssd/firecuda-520-ssd/
solid state drive,Intel,Optane Memory H10,https://www.intel.com/content/www/us/en/products/memory-storage/solid-state-drives/gaming-enthusiast-ssds/optane-memory-h10-series/optane-memory-h10-ssd.html
solid state drive,ADATA,XPG SX8200 Pro,https://www.xpg.com/us/feature/586
solid state drive,TEAMGROUP,T-Force Cardea Zero Z440,https://www.teamgroupinc.com/en/product/cardea-zero-z440
solid state drive,PNY,CS900,https://www.pny.com/mega-promo
solid state drive,Toshiba,XG6,https://toshiba.semicon-storage.com/us/product/storage/products/ssd/client-xg6.html
solid state drive,Corsair,MP600,https://www.corsair.com/us/en/Categories/Products/Storage/M-2-SSDs/force-series-mp600-premium-pcie-gen4-x4-nvme-m2-ssd-config/p/CSSD-F1000GBMP600
solid state drive,ADATA,XPG GAMMIX S70,https://www.xpg.com/us/feature/611
solid state drive,Kingston,KC600,https://www.kingston.com/us/ssd/consumer/skc600
solid state drive,WD,Black SN750,https://shop.westerndigital.com/products/internal-drives/wd-black-sn750-nvme-ssd#WDS500G3X0C
solid state drive,Samsung,T7 Touch Portable SSD,https://www.samsung.com/semiconductor/minisite/ssd/product/portable/t7touch/
solid state drive,SanDisk,Ultra 3D,https://shop.westerndigital.com/products/internal-drives/sandisk-ultra-3d-ssd
solid state drive,Toshiba,OCZ TR200,https://www.ocz.com/us/ssd/tr200-sata-3-2-5-ssd
solid state drive,Crucial,P2,https://www.crucial.com/ssd/p2/ct500p2ssd8
