Product,Brand,Model,URL
space heater,Dyson,Purifier Hot Cool HP09,https://www.dyson.com/air-treatment/air-purifier-heaters/purifier-hot-cool-formaldehyde-hp09/white-gold
space heater,Dyson,Pure Hot Cool HP01,https://www.dyson.com/air-treatment/purifiers/pure-hot-cool-hp01
space heater,Dyson,Pure Hot Cool Link HP02,https://www.dyson.com/air-treatment/purifiers/pure-hot-cool-link-white-silver
space heater,Lasko,751320 Ceramic Tower Heater,https://www.lasko.com/products/ceramic-tower-heater-with-remote-control-751320
space heater,Lasko,Bladeless Ceramic Heater AW315,https://www.lasko.com/products/bladeless-ceramic-heater-with-remote-control-aw315
space heater,Lasko,CD08200 Small Portable Ceramic Space Heater,https://www.lasko.com/products/small-portable-ceramic-space-heater-cd08200
space heater,DeLonghi,Radia S ECO,https://www.delonghi.com/en-us/radia-s-eco-digital-full-room-radiant-heater-trrs0715e/p/TRRS0715E
space heater,DeLonghi,MicaThermic Panel Heater,https://www.delonghi.com/en-us/hmp1500-mica-panel-heater/p/HMP1500
space heater,DeLonghi,Ceramic Tower Tower Heater,https://www.delonghi.com/en-us/tch7915er-digital-ceramic-tower-heater/p/TCH7915ER
space heater,Honeywell,HCE200W UberHeat Ceramic Heater,https://www.honeywellstore.com/store/products/ceramic-personal-heater-hce200w.htm
space heater,Honeywell,360 Degree Surround Heater,https://www.honeywellstore.com/store/products/honeywell-360-surround-heater-black-hhf360b.htm
space heater,Honeywell,Slim Ceramic Tower,https://www.honeywellstore.com/store/products/slim-tower-ceramic-heater-black-hce309b.htm
space heater,Dr Infrared Heater,Infrared Heater Portable Space Heater DR968,https://drheaterusa.com/products/dr-infrared-heater-dr968-orignial-heater
space heater,Dr Infrared Heater,Infrared Heater DR-998W Advanced Dual Heating System,https://drheaterusa.com/products/dr-infrared-heater-dr998-1500w-advanced-dual-heating-system-with-humidifier-and-oscillation-fan-and-remote-control-walnut
space heater,Dr Infrared Heater,DR-122,https://drheaterusa.com/products/dr122-bedbug-heater-2-tier-18-cubic-feet-with-thermometer-and-timer
space heater,Vornado,Glide Vortex Heater,https://www.vornado.com/shop/heaters/Glide-Vortex-Heater
space heater,Vornado,VH200 Vortex Heater,https://www.vornado.com/shop/heaters/vh200-heater
space heater,Vornado,AVH2 Plus Whole Room Heater,https://www.vornado.com/shop/heaters/avh2-heater
space heater,Pelonis,Oil Filled Heater NY1507-14A,https://www.pelonis.com/product/oil-filled-heater-ny1507-14a
space heater,Pelonis,PHTPU1501 Ceramic Tower 1500W Indoor Space Heater,https://www.pelonis.com/product/phtpu1501
space heater,Pelonis,PHTA8AWB Tower Space Heater,https://www.pelonis.com/product/phta8awb
space heater,Holmes,HQH307 Tower Quartz Heater,http://www.holmesproducts.com/heaters/hqh307-nu-1/
space heater,Holmes,Compact Heater Fan HCH4051UM,http://www.holmesproducts.com/heaters/hch4051um/
space heater,Holmes,Infrared Quartz Heater Console,http://www.holmesproducts.com/heaters/infrared-quartz-heater-console/
space heater,TaoTronics,PTC Space Heater TT-HE002,https://www.taotronics.com/products/tt-he002-space-heater
space heater,TaoTronics,PTC Portable Heater TT-HE001,https://www.taotronics.com/products/tt-he001-space-heater
space heater,TaoTronics,PTC Heater TT-HE006,https://www.taotronics.com/products/tt-he006-heaters
space heater,Mr Heater,MH9BX,https://www.mrheater.com/portable-buddy-heater.html
space heater,Mr Heater,MH18B,https://www.mrheater.com/big-buddy-portable-heater.html
space heater,Mr Heater,F232000,https://www.mrheater.com/mh9bx-portable-buddy-heater.html
space heater,Comfort Zone,CZ448,https://www.comfortzoneproducts.com/product/oscillating-ceramic-heater
space heater,Comfort Zone,CZ707,https://www.comfortzoneproducts.com/product/compact-personal-heater
space heater,Comfort Zone,CZ2032C,https://www.comfortzoneproducts.com/product/infrared-desktop-fireplace-heater
space heater,Aikoper,NT15-20A,https://www.aikoper.com/collections/heaters/products/aikoper-space-heater-1500w-oil-filled-radiator
space heater,Aikoper,NY1506-18SRA,https://www.aikoper.com/collections/heaters/products/aikoper-ny1506-18sra-oil-space-heater
space heater,Aikoper,NY1507-14A,https://www.aikoper.com/collections/heaters/products/aikoper-oil-filled-radiator-heater
space heater,Heat Storm,HS-1500-TT,https://www.heatstorm.com/products/tripod-infrared-heater
space heater,Heat Storm,Phoenix Infrared Space Heater HS-1500-PHX,https://ews-products.com/products/wall-heater-phoenix
space heater,Heat Storm,HS-1500-ILODG,https://www.heatstorm.com/products/logan-deluxe
space heater,Cadet,CS152,https://cadetheat.com/shop/residential-heaters/com-pak-heater-cs-model/
space heater,Cadet,RBF101,https://cadetheat.com/shop/residential-heaters/the-rbf-wall-heater/
space heater,Cadet,UC101B,https://cadetheat.com/shop/residential-heaters/the-perfectoe/
space heater,Optimus,H-5511,https://optimusent.com/product/h-5511/
space heater,Optimus,H-6003,https://optimusent.com/product/space-heater-h-6003/
space heater,Optimus,H-1322,https://optimusent.com/product/portable-mini-heater-h-1322/
space heater,Dreo,DR-HSH004,https://www.dreo.com/products/space-heater-micathermic-heaters
space heater,Dreo,DR-HSH003,https://www.dreo.com/products/space-heater-micathermic-heaters-authentic
space heater,Dreo,DR-HSH006,https://www.dreo.com/products/space-heater-tower-heater
space heater,GiveBest,PCT-905,https://givebeststore.com/products/givebest-ceramic-heater
space heater,GiveBest,PCT-903,https://givebeststore.com/products/portable-electric-space-heater
space heater,GiveBest,PCT-900,https://givebeststore.com/products/electric-heater
