Product,Brand,Model,URL
space heater,Lasko,751320,https://lasko.com/products/lasko-electric-oscillating-ceramic-tower-space-heater-with-remote-control-751320-black
space heater,Lasko,Ellipse CD12950,https://lasko.com/products/lasko-ellipse-cd12950-ceramic-space-heater-with-remote-control-black
space heater,Lasko,CD08200,https://lasko.com/products/lasko-1500w-bathroom-space-heater-with-alci-safety-plug-and-timer-cd08200-white
space heater,DeLonghi,RadiaS ECO TRRS0715E-6A,https://www.delonghi.com/en-us/radias-eco-digital-full-room-radiant-heater/p/TRRS0715E-6A
space heater,DeLonghi,TCH7915ER,https://www.delonghi.com/en-us/quiet-system-tower-ceramic-heater/p/TCH7915ER
space heater,Honeywell,HHF360V,https://www.honeywellstore.com/store/products/honeywell-360-surround-heater-slate-gray-hhf360v.htm
space heater,Honeywell,HCE317B,https://www.honeywellstore.com/store/products/honeywell-slim-ceramic-tower-whole-room-heater-hce317b.htm
space heater,Dr Infrared Heater,DR968,https://drheaterusa.com/products/dr-infrared-heater-dr968-orignial-heater
space heater,Dr Infrared Heater,DR998W,https://drheaterusa.com/products/dr-infrared-heater-dr998-1500w-advanced-dual-heating-system-with-humidifier-and-oscillation-fan-and-remote-control-walnut
space heater,Dr Infrared Heater,DR-122,https://drheaterusa.com/products/dr122-bedbug-heater-2-tier-18-cubic-feet-with-thermometer-and-timer
space heater,Vornado,Glide Heat Vortex Heater,https://www.vornado.com/shop/heaters/whole-room/glide-heat-whole-room-heater
space heater,Vornado,VH200,https://www.vornado.com/shop/heaters/whole-room/vh200-whole-room-heater
space heater,Pelonis,NY1507-14A,https://www.pelonis.com/us/heaters/radiant-heaters/ny1507-14a
space heater,Pelonis,NTH15-18MR,https://www.pelonis.com/us/heaters/ceramic-heaters/nth15-18mr
space heater,TaoTronics,HE007,https://www.taotronics.com/products/24-space-heater-high-oscillating-portable-quiet-with-remote-eco-mode-12h-timer
space heater,Heat Storm,Tradesman Infrared 1500 Watt Heater with Tripod,https://ews-products.com/products/tradesman-tripod-combo
space heater,Heat Storm,HS-1500-PHX,https://ews-products.com/products/wall-heater-phoenix
space heater,Mr Heater,F232000,https://www.mrheater.com/1500w-wall-mount-electric-buddy-heater.html
space heater,Dyson,Purifier Hot+Cool Formaldehyde HP09,https://www.dyson.com/air-treatment/air-purifier-heaters/purifier-hot-cool-formaldehyde-hp09/white-gold
