Product,Brand,Model,URL
string trimmer,BlackDecker,LST201,https://www.blackanddecker.com/products/lawn-and-garden/trimmers-and-edgers/20v-max-lithium-10-in-string-trimmer-lst201
string trimmer,Husqvarna,525L,https://www.husqvarna.com/us/products/trimmers/525l/966781301/
string trimmer,STIHL,FS 40 C-E,https://www.stihlusa.com/products/trimmers-and-brushcutters/homeowner-trimmers/fs40ce/
string trimmer,Ryobi,RY253SS,https://www.ryobitools.com/outdoor/products/details/2-cycle-full-crank-straight-shaft-string-trimmer
string trimmer,GreenWorks,21142,https://www.greenworkstools.com/13-inch-corded-string-trimmer-21142
string trimmer,Echo,GT-225,https://www.echo-usa.com/Products/Trimmers/GT-225
string trimmer,Craftsman,CMXGTAMD30SA,https://www.craftsman.com/products/string-trimmers/cmxgtamd30sa
string trimmer,Makita,XRU15PT1,https://www.makitatools.com/products/details/XRU15PT
string trimmer,Kobalt,KST 140XB-06,https://www.kobalttools.com/spring-2021-40v-spring/40v-string-trimmer-kst-140xb-06
string trimmer,Worx,WG170.1,https://www.worx.com/20v-cordless-string-trimmer-and-edger-wg170-1
string trimmer,Toro,51480A,https://www.toro.com/en/homeowner/grass-trimmers/14-straight-shaft-electric-trimmer-51480
string trimmer,Poulan Pro,PP125,https://www.poulanpro.com/us/products/string-trimmers/pp125/
string trimmer,EGO,ST1502SA,https://egopowerplus.com/15-inch-string-trimmer-st1502sa/
string trimmer,Remington,RM2520 Wrangler,https://remingtonpowertools.com/collections/string-trimmers/products/17-curved-shaft-25cc-gas-string-trimmer-rm2520-wrangler
string trimmer,Earthwise,Cordless String Trimmer 24-volt,https://earthwisetools.com/collections/cordless-products/products/ctr24224
string trimmer,Snapper,SXDST82,https://www.snapper.com/na/en_us/products/trimmers-and-edgers/sxddst82.html
string trimmer,Troy-Bilt,TB575 EC,https://www.troybilt.com/en_US/string-trimmers/tb575ec-straight-shaft-gas-string-trimmer/41ADT57C766.html
string trimmer,PowerSmart,PS76110A,https://powersmartusa.com/collections/string-trimmers/products/ps76110a-31cc-gas-4-cycle-2-in-1-straight-shaft-string-trimmer-brush-cutter
string trimmer,DeWalt,DCST995M1,https://www.dewalt.com/products/power-tools/outdoor-power-equipment/flexvolt-60v-max-cordless-brushless-string-trimmer-%2820ah%29/dcst995m1
string trimmer,Jonsered,GT2125,https://www.jonsered.com/us/products/string-trimmers/gt2125/
