Product,Brand,Model,URL
tablet,Apple,iPad Air,https://www.apple.com/ipad-air/
tablet,Apple,iPad Pro,https://www.apple.com/ipad-pro/
tablet,Apple,iPad Mini,https://www.apple.com/ipad-mini/
tablet,Samsung,Galaxy Tab S8,https://www.samsung.com/us/tablets/galaxy-tab-s/galaxy-tab-s8/
tablet,Samsung,Galaxy Tab A9+,https://www.samsung.com/us/tablets/galaxy-tab-a9-plus/buy
tablet,Samsung,Galaxy Tab S7 FE,https://www.samsung.com/us/tablets/galaxy-tab-s/galaxy-tab-s7-fe/
tablet,Microsoft,Surface Pro 8,https://www.microsoft.com/en-us/d/surface-pro-8/8Q6WQ4RD4Q4F
tablet,Microsoft,Surface Go 3,https://www.microsoft.com/en-us/d/surface-go-3/94FC0BDG1WVJ
tablet,Microsoft,Surface Pro X,https://www.microsoft.com/en-us/d/surface-pro-x/8VDNRBZ44VBJ
tablet,Lenovo,Tab P11 Pro,https://www.lenovo.com/us/en/tablets/android-tablets/lenovo-tab-series/Lenovo-TB-J706F/p/ZZITZTATB1J
tablet,Lenovo,Yoga Tab 11,https://www.lenovo.com/us/en/tablets/android-tablets/lenovo-yoga-tab-series/Lenovo-YT-J706X/p/ZZITZTAYT1X
tablet,Lenovo,Tab M10 Plus,https://www.lenovo.com/us/en/tablets/android-tablets/lenovo-tab-series/Tab-M10-FHD-Plus-2nd-Gen/p/ZA5T0263US
tablet,Huawei,MatePad Pro,https://consumer.huawei.com/en/tablets/matepad-pro/
tablet,Huawei,MatePad 11,https://consumer.huawei.com/en/tablets/matepad-11/
tablet,Huawei,MediaPad T5,https://consumer.huawei.com/en/tablets/mediapad-t5/
tablet,Asus,ZenPad 3S 10,https://www.asus.com/Tablets/ASUS-ZenPad-3S-10-Z500M/
tablet,Asus,ROG Flow Z13,https://rog.asus.com/tablets/rog-flow-series/rog-flow-z13-model/
tablet,Asus,VivoTab Note 8,https://www.asus.com/Tablets/ASUS_VivoTab_Note_8_M80TA/
tablet,Dell,Venue 11 Pro,https://www.dell.com/en-us/shop/dell-tablets/venue-11-pro-5130/spd/venue-11-pro
tablet,Dell,Latitude 7320 Detachable,https://www.dell.com/en-us/work/shop/tablets-and-2-in-1-laptops/new-latitude-7320-detachable/spd/latitude-13-7320-2-in-1-laptop
tablet,Dell,XPS 10,https://www.dell.com/en-us/shop/dell-tablets/xps-10/spd/xps-10
tablet,Sony,Xperia Z4 Tablet,https://www.sony.com/electronics/tablet/xperia-z4-tablet
tablet,Sony,Xperia Tablet Z,https://www.sony.com/electronics/previous-models-tablet/xperia-tablet-z
tablet,Sony,Xperia Z2 Tablet,https://www.sony.com/electronics/tablet/xperia-z2-tablet
tablet,Acer,ICONIA ONE 10,https://www.acer.com/ac/en/US/content/model/NT.LEKAA.002
tablet,Acer,ICONIA Tab 10 A3-A50,https://www.acer.com/ac/en/US/content/model/NT.LDRAA.002
tablet,Acer,Enduro T1,https://www.acer.com/ac/en/US/content/professional-model/NT.LEXAA.002
tablet,Google,Pixel Slate,https://store.google.com/product/pixel_slate
tablet,Google,Pixel C,https://store.google.com/us/product/pixel_c
tablet,Google,Nexus 9,https://store.google.com/product/nexus_9
tablet,LG,G PAD 5 10.1 FHD,https://www.lg.com/us/tablets/lg-lmt600usaplum-g-pad-5
tablet,LG,G Pad II 10.1,https://www.lg.com/us/tablets/lg-V940N-g-pad-ii-10.1
tablet,LG,G Pad IV 8.0 FHD,https://www.lg.com/us/tablets/lg-LGV533-g-pad-iv-8.0-fhd
tablet,Acer,Iconia One 10 B3-A50,https://www.acer.com/ac/en/US/content/series/iconiaone10
tablet,Acer,Enduro T1 ET108-11A-80PZ,https://www.acer.com/ac/en/US/content/series/endurot1
tablet,Acer,Iconia One 7 B1-7A0,https://www.acer.com/ac/en/US/content/series/iconiaone7
tablet,Alcatel,1T 10,https://www.alcatelmobile.com/product/tablets/alcatel-1t-10/
tablet,Alcatel,3T 8,https://www.alcatelmobile.com/product/tablets/alcatel-3t-8/
tablet,Alcatel,3T 10,https://www.alcatelmobile.com/product/tablets/alcatel-3t-10/
tablet,LG,G Pad 5 10.1 FHD,https://www.lg.com/us/tablets/lg-lmt600usabky-g-pad-5
tablet,LG,G Pad IV 8.0 FHD,https://www.lg.com/ca_en/tablets/lg-LGP713
tablet,LG,G Pad II 10.1,https://www.lg.com/us/tablets/lg-V940n-g-pad-ii-10.1
tablet,RCA,Viking Pro,https://rcaav.com/tablets-android/Viking-Pro/
tablet,RCA,Atlas 10 Pro,https://rcaav.com/tablets-android/Atlas-10-Pro/
tablet,RCA,Maven Pro,https://rcaav.com/tablets-android/Maven-Pro/
tablet,Dell,Venue 8,https://www.dell.com/en-us/shop/dell-tablets/venue-8/spd/venue-8-7840-tablet
tablet,Dell,Latitude 7212 Rugged,https://www.dell.com/en-us/work/shop/tablets-and-2-in-1-laptops/new-latitude-7220-rugged-extreme-tablet/spd/latitude-12-7220-rugged-tablet
tablet,Dell,Venue 10 7000,https://www.dell.com/en-us/shop/dell-tablets/venue-10-7000-series/spd/venue-10-7040-tablet
tablet,TECLAST,T30,https://www.teclast.com/en/zt/T30/
tablet,TECLAST,P20HD,https://www.teclast.com/en/zt/P20HD/
tablet,TECLAST,M40,https://www.teclast.com/en/zt/M40/
tablet,CHUWI,HiPad X,https://store.chuwi.com/products/hipad-x
tablet,CHUWI,UBook X,https://store.chuwi.com/products/chuwi-ubook-x-2in1-tablet
tablet,CHUWI,Hi10 X,https://store.chuwi.com/products/hi10-x
tablet,Onda,V10 Pro,http://www.onda.cn/Tablet/ProductInfo.aspx?ProductId=375
tablet,Onda,V18 Pro,http://www.onda.cn/Tablet/ProductInfo.aspx?ProductId=396
tablet,Onda,V80 Plus,http://www.onda.cn/Tablet/ProductInfo.aspx?ProductId=380
tablet,BMAX,MaxPad I11,https://www.bmaxit.com/maxpad_i11_p0029.html
