Product,Brand,Model,URL
tent,MSR,Hubba Hubba NX,https://www.msrgear.com/tents/backpacking-tents/hubba-hubba-nx-2-person-backpacking-tent-10315.html
tent,MSR,Elixir 2,https://www.msrgear.com/tents/backpacking-tents/elixir-2-backpacking-tent-10311.html
tent,MSR,Access 2,https://www.msrgear.com/tents/backpacking-tents/access-2-backpacking-tent-13110.html
tent,Big Agnes,Copper Spur HV UL2,https://bigagnes.com/products/copper-spur-hv-ul2-2021
tent,Big Agnes,Tiger Wall UL2,https://bigagnes.com/products/tiger-wall-ul2-solution-dye
tent,Big Agnes,Fly Creek HV UL1,https://bigagnes.com/products/fly-creek-hv-ul1-bikepack
tent,REI Co-op,Half Dome SL 2,https://www.rei.com/product/168565/rei-co-op-half-dome-sl-2-tent
tent,REI Co-op,Passage 2,https://www.rei.com/product/110837/rei-co-op-passage-2-tent
tent,REI Co-op,Trail Hut 2,https://www.rei.com/product/168431/rei-co-op-trail-hut-2-tent-with-footprint
tent,NEMO,Dragonfly 2P,https://www.nemoequipment.com/product/dragonfly/
tent,NEMO,Hornet 2P,https://www.nemoequipment.com/product/hornet/
tent,NEMO,Dagger 2P,https://www.nemoequipment.com/product/dagger/
tent,Hilleberg,Nallo 2,https://hilleberg.com/eng/tent/red-label-tents/nallo-2/
tent,Hilleberg,Akto,https://hilleberg.com/eng/tent/red-label-tents/akto/
tent,Hilleberg,Rogen,https://hilleberg.com/eng/tent/red-label-tents/rogen/
tent,Marmot,Limelight 2P,https://www.marmot.com/limelight-2-person-tent-29130.html
tent,Marmot,Limestone 4P,https://www.marmot.com/limestone-4-person-tent-29160.html
tent,Marmot,Tungsten 2P UL,https://www.marmot.com/tungsten-ultralight-2-person-tent-39770.html
tent,Kelty,Late Start 2,https://www.kelty.com/late-start-2/
tent,Kelty,Dirt Motel 2,https://www.kelty.com/dirt-motel/
tent,Kelty,Wireless 6,https://www.kelty.com/wireless-6/
tent,Zpacks,Duplex,https://zpacks.com/products/duplex-tent
tent,Zpacks,Triplex,https://zpacks.com/products/triplex-tent
tent,Zpacks,Altaplex,https://zpacks.com/products/altaplex-tent
tent,The North Face,Stormbreak 2,https://www.thenorthface.com/shop/equipment-tents-backpacking-tents/stormbreak-2-nf0a3byh
tent,The North Face,Eco Trail 2,https://www.thenorthface.com/shop/equipment-tents-backpacking-tents/eco-trail-2-nf0a3s7f
tent,The North Face,Wawona 6,https://www.thenorthface.com/shop/equipment-tents-family-camping-tents/wawona-6-nf0a3s7q
tent,Outdoor Vitals,Saturn 2P,https://outdoorvitals.com/collections/tents/products/saturn-2p
tent,Outdoor Vitals,Aurora 2P,https://outdoorvitals.com/collections/tents/products/aurora-2p
tent,Outdoor Vitals,DomeDweller 2P,https://outdoorvitals.com/collections/tents/products/domedweller-2p
tent,Sierra Designs,Meteor 3000 2P,https://sierradesigns.com/meteor-3000-2-person-tent/
tent,Sierra Designs,Clip Flashlight 2,https://sierradesigns.com/clip-flashlight-2/
tent,Sierra Designs,Summer Moon 2,https://sierradesigns.com/summer-moon-2/
tent,ALPS Mountaineering,Lynx 1,https://www.alpsmountaineering.com/products/tents/backpacking-tents/lynx-1
tent,ALPS Mountaineering,Zephyr 2,https://www.alpsmountaineering.com/products/tents/backpacking-tents/zephyr-2
tent,ALPS Mountaineering,Taurus 4,https://www.alpsmountaineering.com/products/tents/family-tents/taurus-4
