Product,Brand,Model,URL
washing machine,LG,WT7800CV 5.5 cu.ft. Smart wi-fi Enabled Top Load Washer with TurboWash3D Technology,https://www.lg.com/us/business/washers/lg-wt7800cv
washing machine,LG,5.2 cu. ft. Large Smart wi-fi Enabled Front Load Washer TurboWash,https://www.lg.com/us/washers-dryers/lg-wm9000hva-front-load-washer
washing machine,Bosch,800 Series Compact Washer 1400 rpm,https://www.bosch-home.com/us/productslist/washers-and-dryers/compact-washers/compact-washers/WAW285H2UC
washing machine,Miele,WWG360 WCS PWash&9kg,https://www.miele.sg/domestic/washing-machines-1566.htm?mat=11457210&name=WWG360_WCS_PWash%269kg
washing machine,Miele,All-New W1 T1 Laundry Series,https://www.mieleusa.com/c/high-quality-washers-and-dryers-3079.htm
washing machine,Miele,WWI860 WCS PWash&TDos&9kg,https://www.miele.sg/domestic/washing-machines-1566.htm?mat=11457240&name=WWI860_WCS_PWash%26TDos&9kg
washing machine,Electrolux,500 Series Front Load Washer - 4.5 Cu. Ft.,https://www.electrolux.com/en/p/laundry-care/washers/front-load-washers/ELFW7537AW
washing machine,GE Appliances,GE 5.0 cu. ft. Capacity Smart Front Load ENERGY STAR Steam Washer with SmartDispense UltraFresh Vent System with OdorBlock and Sanitize + Allergen,https://www.geappliances.com/appliance/GE-5-0-cu-ft-Capacity-Smart-Front-Load-ENERGY-STAR-Steam-Washer-with-SmartDispense-UltraFresh-Vent-System-with-OdorBlock-and-Sanitize-Allergen-GFW850SPNDG
washing machine,Haier,Washer dryer I-Pro Series 7,https://www.haier-europe.com/en_GB/washer-dryers/31011215/hwd100-b14979-uk/
washing machine,Hotpoint,NM11946WCAUKN White 9kg Freestanding Washing Machine,https://www.hotpoint.co.uk/hotpoint-nm11946wcaukn-white-9kg-freestanding-washing-machine-f164508/p
washing machine,Hotpoint,freestanding front loading washing machine: 10kg,https://www.hotpoint.co.uk/hotpoint-freestanding-front-loading-washing-machine-10kg-f155576/p
washing machine,Hotpoint,ActiveCare NM11 945 WC A UK N Washing Machine - White,https://www.hotpoint.co.uk/hotpoint-activecare-nm11-945-wc-a-uk-n-washing-machine-white-f160230/p
washing machine,Zanussi,"WASCHMASCHINE TOPLADER / 6,0 KG / 1200 U/MIN",https://www.zanussi.at/laundry/laundry/washing-machines/top-loader-washing-machine/zwq61235ci/
washing machine,Candy,Washing Machine Smart,https://www.candy-home.com/en_GB/washing-machines/31801066/cbw49d2bbw4-80/
washing machine,Beko,Freestanding 8kg 1400rpm Washing Machine with Quick Programme,https://www.beko.co.uk/appliances/laundry/washing-machines/product/a-8kg-1400rpm-washing-machine-wtl84151-black-white
washing machine,Beko,Freestanding 7kg 1200rpm Washing Machine with Quick Programme,https://www.beko.ie/appliances/laundry/washing-machines/product/a-7kg-1200rpm-washing-machine-wtk72041-black-white
washing machine,Hisense,Hisense WFQP7012EVM,https://www.shophisense.com/product/washing-machine/7-kg-front-load-washing-machine-with-inverter-motor-1200-rpm/
washing machine,Hisense,Hisense HWFS1015AB,https://hisense.com.au/product/hisense-front-load-washer-10kg-series-7-hwfs1015ab/
washing machine,Fisher Paykel,Fisher Paykel WH1060P1,https://www.fisherpaykel.com/asia/laundry/washing-machines/front-load/front-loader-washing-machine-10kg-wh1060p1-93268.html
washing machine,Fisher Paykel,Fisher Paykel WH1260F1,https://www.fisherpaykel.com/asia/laundry/washing-machines/front-load/front-loader-washing-machine-12kg-activeintelligence-wh1260f1-92238.html
washing machine,Indesit,"Freestanding front loading washing machine: 9,0kg - MTWE 91483 W UK",https://www.indesit.co.uk/indesit-mtwe-91483-w-uk-washing-machine-white-f158715/p
washing machine,Indesit,Freestanding front loading washing machine: 8kg - BWA 81283X W UK,https://www.indesit.co.uk/freestanding-front-loading-washing-machine-8kg-f153437/p
washing machine,Indesit,"Freestanding front loading washing machine: 9,0kg - MTWC 91483 W UK",https://www.indesit.co.uk/indesit-ecotime-mtwc-91483-w-uk-washing-machine-white-f158703/p
