Product,Brand,Model,URL
washing machine,Samsung,WW80TA046AXEU,https://www.samsung.com/uk/washing-machines/washer-ww80ta046axe/
washing machine,Samsung,WF45T6000AW,https://www.samsung.com/us/home-appliances/washers/front-load/wf6000-washer-with-basket-white-4-5-cu-ft-wf45t6000aw-a5/
washing machine,Samsung,WF50A8600AE,https://www.samsung.com/us/home-appliances/washers/front-load/front-load-washer-with-cleanstation-and-ai-powered-smart-dial-5-0-cu-ft-wf50a8600ae-us/
washing machine,LG,WM4000HWA,https://www.lg.com/us/washers/lg-wm4000hwa-front-load-washer
washing machine,LG,WT7800CV,https://www.lg.com/us/washers/lg-wt7800cv-top-load-washer
washing machine,LG,WM9000HVA,https://www.lg.com/us/washers/lg-wm9000hva-front-load-washer
washing machine,Whirlpool,WFW5620HW,https://www.whirlpool.com/laundry/washers/front-load/p.4.5-cu.ft.-front-load-washer-with-load-and-go-xl-dispenser.wfw5620hw.html
washing machine,Whirlpool,WTW5000DW,https://www.whirlpool.com/laundry/washers/top-load/p.4.3-cu.-ft.-cabrio-top-load-washer-with-precision-dispense.wtw5000dw.html
washing machine,Whirlpool,WFW6620HC,https://www.whirlpool.com/laundry/washers/front-load/p.4.5-cu.-ft.-closet-depth-front-load-washer-with-load-and-go-xl-dispenser.wfw6620hc.html
washing machine,Bosch,WAW285H2UC,https://www.bosch-home.com/us/productslist/home-appliances/WAW285H2UC
washing machine,Bosch,WAT28400UC,https://www.bosch-home.com/us/productslist/home-appliances/WAT28400UC
washing machine,Bosch,WAW285H1UC,https://www.bosch-home.com/us/productslist/home-appliances/WAW285H1UC
washing machine,Siemens,WM14N122,https://www.siemens-home.bsh-group.com/uk/productlist/WM14N122
washing machine,Siemens,WM16W590GB,https://www.siemens-home.bsh-group.com/uk/productlist/WM16W590GB
washing machine,Siemens,WM14VMH9GB,https://www.siemens-home.bsh-group.com/uk/productlist/WM14VMH9GB
washing machine,Miele,WWG360,https://www.mieleusa.com/e/w1-front-loading-washing-machine-wwg-360-9kg-wifien-lotus-white-11359290-p
washing machine,Miele,WEG365,https://www.mieleusa.com/e/w1-front-loading-washing-machine-weg-365-9kg-wifien-lotus-white-11359190-p
washing machine,Miele,WWI860,https://www.mieleusa.com/e/w1-front-loading-washing-machine-wwi-860-wps-pwindos-tdos-and-intensewash-10666170-p
washing machine,Electrolux,EFLS627UTT,https://www.electroluxappliances.com/Washers-Dryers/Washing-Machines/Front-Load-Washer/EFLS627UTT/
washing machine,Electrolux,EFLS527UIW,https://www.electroluxappliances.com/Washers-Dryers/Washing-Machines/Front-Load-Washer/EFLS527UIW/
washing machine,Electrolux,ELFW7537AW,https://www.electroluxappliances.com/Washers-Dryers/Washing-Machines/Front-Load-Washer/ELFW7537AW/
washing machine,AEG,L7FEE865R,https://www.aeg.co.uk/appliances/laundry/washing-machines/front-loader-washing-machine/l7fee865r/
washing machine,AEG,L6FBI741N,https://www.aeg.co.uk/appliances/laundry/washing-machines/front-loader-washing-machine/l6fbi741n/
washing machine,AEG,L8FEC966R,https://www.aeg.co.uk/appliances/laundry/washing-machines/front-loader-washing-machine/l8fec966r/
washing machine,GE Appliances,GFW850SPNDG,https://www.geappliances.com/appliance/GE-5-0-Cu-Ft-Capacity-Smart-Front-Load-STEAM-Washer-with-SmartDispense-UltraFresh-Vent-System-with-OdorBlock-and-Sanitize-Allergen-GFW850SPNDG
washing machine,GE Appliances,GTW335ASNWW,https://www.geappliances.com/appliance/GE-4-2-cu-ft-Capacity-Washer-with-Stainless-Steel-Basket-GTW335ASNWW
washing machine,GE Appliances,GFW550SSNWW,https://www.geappliances.com/appliance/GE-4-8-cu-ft-Capacity-Smart-Front-Load-ENERGY-STAR-Steam-Washer-with-SmartDispense-UltraFresh-Vent-System-with-OdorBlock-GFW550SSNWW
washing machine,Siemens,WM12T460IN,https://www.siemens-home.bsh-group.in/productlist/washing-machines-and-dryers/washing-machines/front-loader/WM12T460IN
washing machine,Siemens,WM10K160IN,https://www.siemens-home.bsh-group.in/productlist/washing-machines-and-dryers/washing-machines/front-loader/WM10K160IN
washing machine,Siemens,WM12K268IN,https://www.siemens-home.bsh-group.in/productlist/washing-machines-and-dryers/washing-machines/front-loader/WM12K268IN
washing machine,Maytag,MHW5630HW,https://www.maytag.com/washers-and-dryers/washers/front-load-washers/p.front-load-washer-with-extra-power-and-12-hr-fresh-spin-option-4.5-cu.-ft.mhw5630hw.html
washing machine,Maytag,MVWC465HW,https://www.maytag.com/washers-and-dryers/washers/top-load-washers/p.large-capacity-top-load-washer-with-the-deep-fill-option-3.8-cu.-ft.mvwc465hw.html
washing machine,Maytag,MVWP576KW,https://www.maytag.com/washers-and-dryers/washers/top-load-washers/p.commercial-grade-residential-agitator-washer.mvwp576kw.html
washing machine,Panasonic,NA-F70S7,https://www.panasonic.com/my/consumer/home-appliances/washing-machines/top-load/na-f70s7.html
washing machine,Panasonic,NA-127XB1,https://www.panasonic.com/my/consumer/home-appliances/washing-machines/front-load/na-127xb1.html
washing machine,Panasonic,NA-V10FX1L,https://www.panasonic.com/my/consumer/home-appliances/washing-machines/front-load/na-v10fx1l.html
washing machine,Haier,Hatrium HW70-B12636,https://www.haier-europe.com/en_GB/web/uk/washing-machines-front-loading-hw70-b12636
washing machine,Haier,Hatrium HW60-B12636,https://www.haier-europe.com/en_GB/web/uk/washing-machines-front-loading-hw60-b12636
washing machine,Haier,I-Pro Series 7 HW80-B14979,https://www.haier-europe.com/en_GB/web/uk/washing-machines-front-loading-hw80-b14979
washing machine,Hotpoint,NM11 946 WC A UK N,https://www.hotpoint.co.uk/washing-machines/hotpoint-natis-washing-machine-freestanding-white-nm11-946-wc-a-uk-n/f093074p
