Product,Brand,Model,URL
washing machine,LG,WT7800CV,https://www.lg.com/us/business/washers/lg-wt7800cv
washing machine,LG,WM9000HVA,https://www.lg.com/us/washers-dryers/lg-wm9000hva-front-load-washer
washing machine,Bosch,WAW285H2UC,https://www.bosch-home.com/us/productslist/washers-and-dryers/compact-washers/compact-washers/WAW285H2UC
washing machine,Miele,WWG360 WCS,https://www.miele.sg/domestic/washing-machines-1566.htm?mat=11457210&name=WWG360_WCS_PWash%269kg
washing machine,Miele,title uninformative,https://www.mieleusa.com/c/high-quality-washers-and-dryers-3079.htm
washing machine,Miele,WWI860,https://www.miele.sg/domestic/washing-machines-1566.htm?mat=11457240&name=WWI860_WCS_PWash%26TDos&9kg
washing machine,Electrolux,ELFW7537AW,https://www.electrolux.com/en/p/laundry-care/washers/front-load-washers/ELFW7537AW
washing machine,GE Appliances,GFW850SPNDG,https://www.geappliances.com/appliance/GE-5-0-cu-ft-Capacity-Smart-Front-Load-ENERGY-STAR-Steam-Washer-with-SmartDispense-UltraFresh-Vent-System-with-OdorBlock-and-Sanitize-Allergen-GFW850SPNDG
washing machine,Haier,HWD100 B14979,https://www.haier-europe.com/en_GB/washer-dryers/31011215/hwd100-b14979-uk/
washing machine,Hotpoint,NM11 946 WC A UK N,https://www.hotpoint.co.uk/hotpoint-nm11946wcaukn-white-9kg-freestanding-washing-machine-f164508/p
washing machine,Hotpoint,NM11 1045 WC A UK,https://www.hotpoint.co.uk/hotpoint-freestanding-front-loading-washing-machine-10kg-f155576/p
washing machine,Hotpoint,NM11 945 WC A UK,https://www.hotpoint.co.uk/hotpoint-activecare-nm11-945-wc-a-uk-n-washing-machine-white-f160230/p
washing machine,Zanussi,ZWF01483W,https://www.zanussi.co.uk/laundry/laundry/
washing machine,Zanussi,ZWQ61235CI,https://www.zanussi.at/laundry/laundry/washing-machines/top-loader-washing-machine/zwq61235ci/
washing machine,Candy,CBW49D2BBW4-80,https://www.candy-home.com/en_GB/washing-machines/31801066/cbw49d2bbw4-80/
washing machine,Beko,WTL84151,https://www.beko.co.uk/appliances/laundry/washing-machines/product/a-8kg-1400rpm-washing-machine-wtl84151-black-white
washing machine,Beko,WTK72041,https://www.beko.ie/appliances/laundry/washing-machines/product/a-7kg-1200rpm-washing-machine-wtk72041-black-white
washing machine,Beko,WTL104151,https://www.beko.ie/appliances/laundry/washing-machines/product/a-10kg-1400rpm-washing-machine-wtl104151-white
washing machine,Hisense,WFQP7012EVM,https://www.shophisense.com/product/washing-machine/7-kg-front-load-washing-machine-with-inverter-motor-1200-rpm/
washing machine,Hisense,HWFS1015AB Series 7,https://hisense.com.au/product/hisense-front-load-washer-10kg-series-7-hwfs1015ab/
washing machine,Fisher Paykel,WH1060P1,https://www.fisherpaykel.com/asia/laundry/washing-machines/front-load/front-loader-washing-machine-10kg-wh1060p1-93268.html
washing machine,Fisher Paykel,WH1260F1,https://www.fisherpaykel.com/asia/laundry/washing-machines/front-load/front-loader-washing-machine-12kg-activeintelligence-wh1260f1-92238.html
washing machine,Indesit,MTWE 91483 W,https://www.indesit.co.uk/indesit-mtwe-91483-w-uk-washing-machine-white-f158715/p
washing machine,Indesit,BWA 81283X W UK,https://www.indesit.co.uk/freestanding-front-loading-washing-machine-8kg-f153437/p
washing machine,Indesit,MTWC 91483 W,https://www.indesit.co.uk/indesit-ecotime-mtwc-91483-w-uk-washing-machine-white-f158703/p
