Product,Brand,Model,URL
air purifier,Blueair,Blue Pure 211,https://www.blueair.com/us/air-purifiers/blue-pure-211i-max/3541.html
air purifier,Blueair,HealthProtect 7440i,https://www.blueair.com/my/healthprotect/healthprotect-7440i/global-3001.html
air purifier,Dyson,Dyson Purifier Cool Formaldehyde TP09,https://www.dyson.com.sg/dyson-purifier-cool-formaldehyde-white-gold
air purifier,Honeywell,"Honeywell Air Genius 5 Oscillating Tower Air Purifier and Odor Reducer HFD320",https://www.honeywellstore.com/store/products/airgenius-5-air-cleaner-and-odor-reducer-hfd320.htm
air purifier,Levoit,Vital 200S Smart Air Purifier,https://levoit.com/products/vital-200s-smart-air-purifier
air purifier,Levoit,LV-H134 Tower Pro Air Purifier,https://levoit.com/products/lv-h134-tower-air-purifier
air purifier,Winix,WINIX ZERO PRO Air Purifier,https://winix.ch/en/air-purifiers/winix-zero-pro/
air purifier,TruSens,"TruSens Z-1000 Air Purifier, Personal/Small Room",https://www.trusens.com/en-au/p/air-purifiers/trusens-z-1000-air-purifier-personalsmall-room/
air purifier,IQAir,IQAir Atem Desk,https://www.iqair.com/us/products/air-purifiers/atem-desk
air purifier,IQAir,IQAir GC MultiGas,https://www.iqair.com/us/products/air-purifiers/gc-multigas
air purifier,Rabbit Air,A3 asthma and allergy friendly AIR PURIFIER,https://www.rabbitair.com/products/a3-aafa-air-purifier?variant=33014685794327
air purifier,Austin Air,Austin Air Allergy Machine HEPA/HEGA Air Purifier - HM405,https://www.natlallergy.com/austin-air-allergy-machine-hega-room-air-purifier-hm405.html
air purifier,Sharp,Sharp Plasmacluster Ion Air Purifier,https://shop.sharpusa.com/sharp-plasmacluster-ion-air-purifier-with-true-hepa-for-medium-rooms-fpk50uw/
air purifier,AEG,AX9 CONNECTED AIR PURIFIER 620 M3/H,https://www.aeg.co.uk/vacuums-home-comfort/air-comfort/air-purifiers/oxygen-air-purifier/ax91-604gy/
air purifier,Bionaire,Bionaire 99.99% True HEPA Air Purifier with UV Technology,https://www.bionairecanada.com/en_CA/air-purification/bionaire-99.99-true-hepa-air-purifier-with-uv-technology/BAP536UV-CN.html
