Product,Brand,Model,URL
computer monitor,Dell,Dell UltraSharp 27 4K USB-C Hub Monitor - U2723QE,https://www.dell.com/en-us/shop/dell-ultrasharp-27-4k-usb-c-hub-monitor-u2723qe/apd/210-bdpf/monitors-monitor-accessories
computer monitor,Dell,Dell 27 Monitor - P2725H,https://www.dell.com/en-us/shop/dell-27-monitor-p2725h/apd/210-bmfj/monitors-monitor-accessories
computer monitor,Dell,Dell UltraSharp 40 Curved Thunderbolt Hub Monitor U4025QW,https://www.dell.com/en-us/shop/dell-ultrasharp-40-curved-thunderbolt-hub-monitor-u4025qw/apd/210-bmdp/monitors-monitor-accessories
computer monitor,LG,27 UltraGear FHD IPS 1ms 240Hz G-Sync Compatible HDR10 3-Side Virtually Borderless Gaming Monitor,https://www.lg.com/us/monitors/lg-27gn750-b-gaming-monitor
computer monitor,LG,27 4K UHD UltraFine IPS Monitor with VESA DisplayHDR 400 and USB Type-C,https://www.lg.com/us/monitors/lg-27un850-w-4k-uhd-led-monitor
computer monitor,Acer,Nitro XV272U RV Widescreen Gaming LCD Monitor,https://www.acer.com/us-en/monitors/gaming/nitro-xv2/pdp/UM.HX2AA.V06
computer monitor,Asus,ROG SWIFT 360Hz PG259QN,https://rog.asus.com/monitors/23-to-24-5-inches/rog-swift-360hz-pg259qn-model/
computer monitor,Asus,ASUS ProArt Display PA32UCX 4K HDR IPS Mini LED Professional Monitor,https://www.asus.com/displays-desktops/monitors/proart/proart-display-pa32ucx/
computer monitor,Asus,TUF Gaming VG289Q,https://www.asus.com/displays-desktops/monitors/tuf-gaming/tuf-gaming-vg289q1a/
computer monitor,ViewSonic,Elite XG270QG,https://www.viewsonic.com/global/products/lcd/XG270QG
computer monitor,ViewSonic,VX2776-4K-mhd,https://www.viewsonic.com/global/products/lcd/VX2776-4K-mhd
computer monitor,ViewSonic,TD2455,https://www.viewsonic.com/global/products/lcd/TD2455
computer monitor,Philips,Curved UltraWide LCD Monitor with USB-C,https://www.usa.philips.com/c-p/346B1C_27/curved-ultrawide-lcd-monitor-with-usb-c
computer monitor,Philips,"Philips B Line 243B9/00 computer monitor",https://www.memoryc.com/48531-philips-b-line-243b9-00-computer-monitor-60-5-cm-23-8-1920-x-1080-pixels-full-hd-led-black.html
computer monitor,MSI,Optix MAG274QRF-QD,https://us.msi.com/Monitor/Optix-MAG274QRF-QD
computer monitor,MSI,Optix MPG341CQR,https://us.msi.com/Monitor/Optix-MPG341CQR
computer monitor,MSI,Optix G273QF,https://us.msi.com/Monitor/Optix-G273QF
computer monitor,AOC,C32G2E,https://aoc.com/us/gaming/products/monitors/c32g2e
computer monitor,iiyama,ProLite XUB2792QSU-B1,https://iiyama.com/gb_en/products/prolite-xub2792qsu-b1/
computer monitor,iiyama,ProLite XB3288UHSU-B1,https://iiyama.com/gb_en/products/prolite-xb3288uhsu-b1/
computer monitor,EIZO,ColorEdge CG319X,https://www.eizo.com/products/coloredge/cg319x/
computer monitor,EIZO,FlexScan EV2456,https://www.eizo.com/products/flexscan/ev2456/
computer monitor,GIGABYTE,G32QC Gaming Monitor,https://www.gigabyte.com/Monitor/G32QC#kf
computer monitor,GIGABYTE,M27Q Gaming Monitor (rev. 1.0),https://www.gigabyte.com/Monitor/M27Q-rev-10#kf
computer monitor,GIGABYTE,M28U Gaming Monitor,https://www.gigabyte.com/Monitor/M28U#kf
computer monitor,Razer,Raptor 27,https://www.razer.com/au-en/gaming-monitors/razer-raptor-27-165hz
computer monitor,Sceptre,"SCEPTRE 25.7"" Ultrawide Full HD Monitor",https://www.sceptre.com/Monitors/IPS-Series/E265W-FUDS-25-7-Ultrawide-Full-HD-Monitor-product1401category12category99.html
computer monitor,Sceptre,"27"" Curved Gaming Monitor",https://www.sceptre.com/Monitors/Gaming-Series/C275B-1858RN-27-Curved-Monitor-product1113category12category100.html
computer monitor,Sceptre,"27"" 4K UHD Monitor",https://www.sceptre.com/Monitors/IPS-Series/U275W-4000R-27-4K-UHD-Monitor-product1002category12category99.html
