Product,Brand,Model,URL
cordless drill,DeWalt,20V MAX* Compact Drill/Driver Kit,https://www.dewalt.com/product/dcd771c2/20v-max-compact-drilldriver-kit
cordless drill,DeWalt,20V MAX* XR Brushless Cordless 3-Speed Drill/Driver Kit,https://www.dewalt.com/product/dcd991p2/20v-max-xr-brushless-cordless-3-speed-drilldriver-kit
cordless drill,DeWalt,ATOMIC 20V MAX* Brushless Cordless Compact 1/2 in. Hammer Drill/Driver Kit,https://www.dewalt.com/product/dcd709c2/atomic-20v-max-brushless-cordless-compact-12-hammer-drilldriver-kit
cordless drill,Milwaukee,M18 FUEL _ Hammer Drill/Driver (Tool Only),https://www.milwaukeetool.com/Products/Power-Tools/Drilling/Hammer-Drills/2804-20
cordless drill,Milwaukee,"M18 FUEL 1/2"" Drill Driver (Tool Only)",https://www.milwaukeetool.com/Products/Power-Tools/Drilling/Drill-Drivers/2803-20
cordless drill,Bosch,GSR18V-755CB25,https://www.boschtools.com/us/en/products/gsr18v-755cb25-06019G0112
cordless drill,Bosch,GSR12V-300FCB22,https://www.boschtools.com/us/en/products/gsr12v-300fcb22-06019H3011
cordless drill,Bosch,GSR18V-535FCB15,https://www.boschtools.com/us/en/products/gsr18v-535fcb15-06019G7114
cordless drill,Ryobi,P1815,https://ryobitools.ca/products/details/18v-one-plus-brushless-drilldriver-kit/
cordless drill,Hitachi Metabo HPT,18V MULTIVOLT CORDLESS BRUSHLESS DRIVER DRILL & IMPACT DRIVER COMBO KIT,https://www.metabo-hpt.com/products/product/18v-multivolt-cordless-brushless-driver-drill-impact-driver-combo-kit-(2.0ah-x-2)-metabo-hpt-kc18dexqb
cordless drill,BlackDecker,20V MAX* Cordless 3/8 in Drill Driver Kit (1) Battery with Charger,https://www.blackanddecker.com/products/ldx120c
cordless drill,BlackDecker,20V MAX* Cordless Drill/Driver Variable Speed,https://www.blackanddecker.com/products/ldx220c
cordless drill,BlackDecker,12V MAX* Cordless 3/8 in Drill Driver Kit (1) Battery with Charger,https://www.blackanddecker.com/products/bdcdd12c/12v-max-cordless-drill-driver
cordless drill,Craftsman,V20* Cordless 1/2-in Drill/Driver Kit (1 Battery),https://www.craftsman.com/products/cmcd700c1/v20-cordless-1-2-in-drill-driver-kit-1-battery
cordless drill,Craftsman,V20* Cordless Brushless 1/2-in Hammerdrill (Tool Only),https://www.craftsman.com/products/cmcd721b/v20-cordless-brushless-1-2-in-hammerdrill-tool-only
cordless drill,Craftsman,V20* Cordless Brushless 1/2-in Drill/Driver Kit (1 Battery),https://www.craftsman.com/products/cmcd710c1/v20-cordless-brushless-1-2-in-drill-driver-kit-1-battery
cordless drill,Hilti,SF 2H-A12 CORDLESS HAMMER DRILL DRIVER,https://www.hilti.com/c/CLS_POWER_TOOLS_7125/CLS_DRILL_DRIVERS_SCREW_DRIVERS__7125/r9940033
cordless drill,Hilti,SF 6H-22 CORDLESS HAMMER DRILL DRIVER,https://www.hilti.com/c/CLS_POWER_TOOLS_7125/CLS_DRILL_DRIVERS_SCREW_DRIVERS__7125/r13275508?itemCode=2254917
cordless drill,Hilti,SFC 22-A CORDLESS DRILL DRIVER,https://www.hilti.sa/c/CLS_POWER_TOOLS_7125/CLS_DRILL_DRIVERS_SCREW_DRIVERS__7125/r4833
cordless drill,RIDGID,18v max output 4.0 ah battery and charger starter kit,https://www.ridgid.com/us/en/18v-max-output-4-ah-battery-and-charger-starter-kit
cordless drill,RIDGID,18V SubCompact Brushless 1/2 in. Hammer Drill Kit,https://www.ridgid.com/us/en/18-v-sub-compact-brushless-1-2-inch-hammer-drill-kit
cordless drill,RIDGID,18V Brushless 1/2 in. Drill/Driver,https://www.ridgid.com/us/en/18v-brushless-1-2-inch-drill-driver
cordless drill,Skil,PWR CORE 20 Brushless 20V 1/2 IN. Drill Driver Kit,https://www.skil.com/pwrcore-20v-drilldriver-kit-dl529302/
cordless drill,Skil,PWR CORE 12 Brushless 12V 1/2 IN. Cordless Drill Driver Kit,https://www.skil.com/pwrcore-12v-drill-driver-with-mobile-battery-charger-dl529002/
cordless drill,Panasonic,Porakone 18V EY74A3 X / XT / PN2G / LJ2G,https://panasonictools.fi/tuote/porakone-18v-ey74a3-x-xt-pn2g-lj2g/
cordless drill,Stanley,FMC021S2,https://cee.stanleytools.global/products/power-tools/drills/hammer-drills
cordless drill,Einhell,TE-CD 1840 Li Kit,https://www.einhell.fr/en/p/4257240-te-tk-18-2-li-kit-cd-ag
cordless drill,Einhell,TE-CD 18 Li-i BL Solo,https://www.einhell-service.com/en_DE/4513946-te-cd-18-li-i-bl-solo-ex-us.html
