Product,Brand,Model,URL
microwave oven,LG,2.0 cu. ft. Over-the-Range Microwave Oven with EasyClean,https://www.lg.com/us/business/cooking-appliances/lg-LMV2031ST-over-the-range-microwave
microwave oven,LG,2.0 cu. ft. NeoChef Countertop Microwave with Smart Inverter and EasyClean,https://www.lg.com/us/cooking-appliances/lg-lmc2075st-counter-top-microwave
microwave oven,Panasonic,"2.2 cu. ft. Inverter Microwave, 1250W - NN-SN966SR",https://shop.panasonic.com/products/2-2-cu-ft-inverter-microwave-1250w-nn-sn966sr
microwave oven,Panasonic,"2.2 cu.ft. Cyclonic Wave Inverter Microwave, 1250W - NN-SD975S",https://shop.panasonic.com/products/2-2-cu-ft-cyclonic-wave-inverter-microwave-1250w-nn-sd975s
microwave oven,Panasonic,"1.2 cu. ft. Inverter Microwave, 1200W - NN-SN686SR",https://shop.panasonic.com/products/1-2-cu-ft-inverter-microwave-1200w-nn-sn686sr
microwave oven,GE,GE JEI2340WPSL 0.81/ 23L Capacity Countertop Microwave Oven,https://geappliancesdistributor.ph/products/copy-of-ge%C2%AE-jei2030wpsl-20l-capacity-countertop-microwave-oven
microwave oven,Bosch,500 Series Built-In Microwave Oven 30'' Stainless steel,https://www.bosch-home.com/us/productslist/cooking-baking/microwaves/built-in-microwaves/HMB50152UC
microwave oven,Bosch,800 Series Speed Oven 30'' Stainless steel,https://www.bosch-home.com/us/productslist/cooking-baking/wall-ovens/speed-ovens/HMC80152UC
microwave oven,Sharp,1.4 cu. ft. 1100W Sharp Black Stainless Steel Countertop Microwave Oven (SMC1452CH),https://shop.sharpusa.com/1-4-cu-ft-1100w-sharp-black-stainless-steel-countertop-microwave-oven-smc1452ch/
microwave oven,Sharp,1.8 cu. ft. 1100W Sharp Stainless Steel Countertop Microwave Oven (SMC1842CS),https://shop.sharpusa.com/1-8-cu-ft-1100w-sharp-stainless-steel-countertop-microwave-oven-smc1842cs/
microwave oven,Sharp,1.5 cu. ft. 900W Sharp Stainless Steel Carousel Convection + Microwave Oven (SMC1585BS),https://shop.sharpusa.com/1-5-cu-ft-900w-sharp-stainless-steel-carousel-convection-microwave-oven-smc1585bs/
microwave oven,Toshiba,1.2 CU. FT. MICROWAVE OVEN,https://www.toshiba-lifestyle.com/us/cooking-appliances/microwave-ovens/1-2-cu-ft-microwave-oven-em131a5c-bs
microwave oven,Toshiba,1.5 CU. FT. CONVECTION MICROWAVE OVEN,https://www.toshiba-lifestyle.com/us/cooking-appliances/microwave-ovens/1-5-cu-ft-convection-microwave-oven--ec042a5c-ss
microwave oven,Breville,the Compact Wave Soft Close,https://www.breville.com/us/en/products/microwaves/bmo650.html
microwave oven,Breville,the Combi Wave 3 in 1,https://www.breville.com/us/en/products/microwaves/bmo870.html
microwave oven,Miele,M7240TC,https://www.miele.ae/domestic/microwave-oven-1482.htm?mat=11093950&name=M_7240_TC
microwave oven,Haier,0.9-Cu.-Ft. 900-Watt Microwave,https://www.haierappliances.com/appliance/0-9-Cu-Ft-900-Watt-Microwave-HMC920BEWW
microwave oven,Haier,1.1-Cu.-Ft. 1000-Watt Microwave,https://www.haierappliances.com/appliance/1-1-Cu-Ft-1000-Watt-Microwave-HMC1120BEBB
microwave oven,Kenmore,kenmore 0.7 microwave,https://www.kenmore.com/products/kenmore-0-7-microwave
microwave oven,Magic Chef,1.1 cu. ft. Countertop Microwave Oven MCM1110ST,https://mcappliance.com/kitchen/mcm1110st.html
microwave oven,Galanz,Galanz 0.7 Cu Ft Retro Microwave Oven,https://www.galanz.com/us/?page_id=2322
