Product,Brand,Model,URL
slow cooker,Hamilton Beach,"Set & Forget6 Qt. Programmable Slow Cooker, Stainelss Steel",https://hamiltonbeach.com/set-and-forget-6-qt-programmable-slow-cooker-33969a
slow cooker,BLACKDECKER, 7-Quart Slow Cooker-Teal,https://www.blackanddecker.com/products/sc2007d
slow cooker,BLACKDECKER, 7-Quart Slow Cooker-Geometric,https://www.blackanddecker.com/products/sc1007d/7-quart-slow-cooker-geometric
slow cooker,Presto,6-quart Traveling Slow Cooker,https://www.gopresto.com/product/presto-6-quart-nomad-traveling-slow-cooker-06011
slow cooker,West Bend,"West Bend Large Slow Cooker, 6 Qt. Capacity",https://westbend.com/products/6-qt-oval-slow-cooker
slow cooker,DeLonghi,Livenza Multi-Cooker,https://www.delonghi.com/en-us/livenza-all-in-one-programmable-multi-cooker-6-quart-ckm1641d/p/CKM1641D
slow cooker,DeLonghi,Livenza Compact Air Fryer Toaster Oven,https://www.delonghi.com/en-us/livenza-compact-air-fryer-toaster-oven/p/EO141164M
slow cooker,All-Clad,ALL-CLAD 6.5Qt Slow Cooker,https://www.all-clad.ca/en/c/6-5Qt-Slow-Cooker/p/1500632304
slow cooker,All-Clad,"Gourmet Plus Multi-Cooker, 7 quart",https://www.all-clad.com/gourmet-plus-multi-cooker-7-quart.html
slow cooker,All-Clad,ALL-CLAD 4Qt Slow Cooker,https://www.all-clad.ca/en/c/4Qt-Slow-Cooker/p/1500632311
slow cooker,Cuisinart,COOK CENTRAL 3-IN-1,https://cuisinart.com.au/products/cook-central-3-in-1
slow cooker,Wolf Gourmet,Multi-Function Cooker,https://wolfgourmet.com/store/countertop-appliances/multi-function-cooker
slow cooker,Sunbeam,SecretChef Slow Cooker 5.5L,https://www.sunbeam.com.au/kitchen-and-home/cooking/pressure-slow-cookers/secretchef-slow-cooker-5-point-5l
slow cooker,Breville,the Fast Slow Pro,https://www.breville.com/us/en/products/cookers/bpr700.html
slow cooker,Breville,The Multi Chef,https://www.breville.com/au/en/products/cookers/brc600.html
slow cooker,Panasonic,SR-ZC075K,https://www.panasonic.com/ca/consumer/home-appliances/rice-cookers/microcomputer-controlled/sr-zc075k.html
slow cooker,Philips,Viva Collection Multi-cooker,https://philipsappliances.pk/philips-viva-collection-all-in-one-multicooker-hd2237-72/
slow cooker,Philips,Avance Collection Multi-cooker,https://www.usa.philips.com/c-p/HD3095_87/avance-collection-multicooker
