Product,Brand,Model,URL
space heater,Lasko,"Electric Oscillating Ceramic Tower Space Heater",https://lasko.com/products/lasko-electric-oscillating-ceramic-tower-space-heater-with-remote-control-751320-black
space heater,Lasko,"Ellipse CD12950 Ceramic Space Heater",https://lasko.com/products/lasko-ellipse-cd12950-ceramic-space-heater-with-remote-control-black
space heater,Lasko,"1500W Bathroom Space Heater",https://lasko.com/products/lasko-1500w-bathroom-space-heater-with-alci-safety-plug-and-timer-cd08200-white
space heater,DeLonghi,RadiaS ECO Digital Full Room Radiant Heater,https://www.delonghi.com/en-us/radias-eco-digital-full-room-radiant-heater/p/TRRS0715E-6A
space heater,DeLonghi,"Ceramic Tower Room Heater, 24 in., 2 heat settings",https://www.delonghi.com/en-us/quiet-system-tower-ceramic-heater/p/TCH7915ER
space heater,Honeywell,"360 Surround Heater Slate Gray",https://www.honeywellstore.com/store/products/honeywell-360-surround-heater-slate-gray-hhf360v.htm
space heater,Honeywell,"Slim Ceramic Tower Whole Room Heater",https://www.honeywellstore.com/store/products/honeywell-slim-ceramic-tower-whole-room-heater-hce317b.htm
space heater,Dr Infrared Heater,Infrared Heater Portable Space Heater DR968,https://drheaterusa.com/products/dr-infrared-heater-dr968-orignial-heater
space heater,Dr Infrared Heater,Infrared Heater DR-998W Advanced Dual Heating System,https://drheaterusa.com/products/dr-infrared-heater-dr998-1500w-advanced-dual-heating-system-with-humidifier-and-oscillation-fan-and-remote-control-walnut
space heater,Dr Infrared Heater,DR-122,https://drheaterusa.com/products/dr122-bedbug-heater-2-tier-18-cubic-feet-with-thermometer-and-timer
space heater,Vornado,Glide Vortex Heater,https://www.vornado.com/shop/heaters/whole-room/glide-heat-whole-room-heater
space heater,Vornado,VH200 Vortex Heater,https://www.vornado.com/shop/heaters/whole-room/vh200-whole-room-heater
space heater,Pelonis,Oil Filled Heater NY1507-14A,https://www.pelonis.com/us/heaters/radiant-heaters/ny1507-14a
space heater,Pelonis,PHTPU1501 Ceramic Tower 1500W Indoor Space Heater,https://www.pelonis.com/us/heaters/ceramic-heaters/nth15-18mr
space heater,TaoTronics,PTC Space Heater TT-HE002,https://www.taotronics.com/products/24-space-heater-high-oscillating-portable-quiet-with-remote-eco-mode-12h-timer
space heater,Heat Storm,Tradesman Infrared 1500 Watt Heater with Tripod,https://ews-products.com/products/tradesman-tripod-combo
space heater,Heat Storm,Phoenix Infrared Space Heater HS-1500-PHX,https://ews-products.com/products/wall-heater-phoenix
space heater,Mr Heater,1500W Wall Mount Electric Buddy Heater,https://www.mrheater.com/1500w-wall-mount-electric-buddy-heater.html
space heater,Dyson,dyson purifier hot cool formaldehyde motif,https://www.dyson.com/air-treatment/air-purifier-heaters/purifier-hot-cool-formaldehyde-hp09/white-gold
