Product,Brand,Model,URL
string trimmer,Husqvarna,HUSQVARNA 122C,https://www.husqvarna.com/us/string-trimmers/122c/
string trimmer,Husqvarna,525LST,https://www.husqvarna.com/us/string-trimmers/525lst/
string trimmer,Husqvarna,336FR,https://www.husqvarna.com/ca-en/brushcutters/336fr/
string trimmer,Echo,SRM-2620T,https://www.echo-usa.com/trimmers-brushcutters/srm-2620t
string trimmer,Echo,GT-225,https://www.echo-usa.com/trimmers-brushcutters/gt-225
string trimmer,Echo,SRM-3020,https://www.echo-usa.com/trimmers-brushcutters/srm-3020
string trimmer,BlackDecker,20V MAX* 10 in. String Trimmer / Edger,https://www.blackanddecker.com/products/lst201
string trimmer,BlackDecker,20V MAX* EASYFEED String Trimmer/Edger,https://www.blackanddecker.com/products/lste523/20v-max-string-trimmer-edger-12-inch
string trimmer,DeWalt,20V MAX* 13 in. Cordless String Trimmer With Charger and 4.0Ah Battery,https://www.dewalt.com/product/dcst925m1/20v-max-13-cordless-string-trimmer-charger-and-40ah-battery
string trimmer,DeWalt,FLEXVOLT 60V MAX* Cordless String Trimmer Kit,https://www.dewalt.com/product/dcst970x1/flexvolt-60v-max-cordless-string-trimmer-kit
string trimmer,Makita,36V (18V X2) LXT Brushless String Trimmer Kit with 4 Batteries (5.0Ah),https://www.makitatools.com/products/details/XRU15PT1
string trimmer,Makita,"18V LXT Lithium_Ion Cordless String Trimmer, Tool Only",https://www.makitatools.com/products/details/XRU02Z
string trimmer,Craftsman,V20* Cordless WEEDWACKER 13 in String Trimmer and Edger With Automatic Feed Kit (2.0Ah),https://www.craftsman.com/products/cmcst900d1/v20-cordless-weedwacker%C2%AE-13-in-string-trimmer-and-edger-with-automatic-feed-kit-2-0ah
string trimmer,Craftsman,V20* BRUSHLESS RP String Trimmer (5.0Ah),https://www.craftsman.com/products/cmcst930p1/v20-brushless-rp%E2%84%A2-string-trimmer-5-0ah
string trimmer,Craftsman,CMXGTAMDSS25,https://www.craftsman.com/products/cmxgtamdss25/weedwacker%C2%AE-25-cc-2-cycle-17-in-attachment-capable-straight-shaft-gas-trimmer-ws2200
string trimmer,RedMax,TRZ230S,https://www.redmax.com/us/trimmers/trz230s/
string trimmer,Toro,60v max* 13 in. (33.0 cm) / 15 in. (38.1 cm) brushless string trimmer,https://flexforce.toro.com/products/60v-max-brushless-trimmer/
string trimmer,Honda,HHT35SLTAT,https://powerequipment.honda.com/trimmers/models/hht35sltat
string trimmer,Milwaukee,M18 Brushless String Trimmer (Tool-Only),https://www.milwaukeetool.com/Products/Outdoor-Power-Equipment/String-Trimmers/2828-20
string trimmer,Milwaukee,M18 FUEL String Trimmer w/ QUIK-LOK,https://www.milwaukeetool.com/Products/Outdoor-Power-Equipment/String-Trimmers/2825-20ST
string trimmer,Milwaukee,Easy Load Trimmer Head,https://www.milwaukeetool.com/Products/Outdoor-Power-Equipment/String-Trimmers/49-16-2714
string trimmer,Maruyama,b230c,https://maruyama-us.com/product/b230c/
