Product,Brand,Model,URL
tablet,Apple,iPad Mini,https://www.apple.com/shop/buy-ipad/ipad-mini/
tablet,Apple,iPad Pro,https://www.apple.com/shop/buy-ipad/ipad-pro/
tablet,Apple,iPad Air,https://www.apple.com/shop/buy-ipad/ipad-air/
tablet,Samsung,Galaxy Tab A9+,https://www.samsung.com/my/tablets/galaxy-tab-a/galaxy-tab-a9-plus-5g-mystic-navy-64gb-sm-x216bdbaxme/
tablet,Samsung,Galaxy Tab S7 FE,https://www.samsung.com/us/tablets/tab-s7/tab-s7-fe/
tablet,Huawei,huawei matepad pro 13.2-inch,https://consumer.huawei.com/en/tablets/matepad-pro-13-2/
tablet,Huawei,MediaPad T5,https://consumer.huawei.com/sg/tablets/mediapad-t5/
tablet,Acer,ICONIA ONE 10,https://www.acer.com/us-en/tablets/iconia/iconia-tab-p10
tablet,Acer,acer swift go 16,https://www.acer.com/us-en/laptops/swift/swift-go-16
tablet,Acer,Enduro T1,https://www.acer.com/us-en/tablets/enduro/acer-enduro-t1-et110-31w
tablet,Google,Pixel Slate,https://store.google.com/us/product/pixel_tablet?hl=en-US
tablet,LG,G Pad IV 8.0 FHD,https://www.lg.com/ca_en/cell-phones/lgv533/
tablet,Acer,Enduro T1 ET108-11A-80PZ,https://www.acer.com/us-en/tablets/enduro/pdp/NR.R0MAA.001
tablet,Alcatel,1T 10,https://www.alcatelmobile.com/product/tablets/alcatel-1t-10/
tablet,Alcatel,3T 8,https://www.alcatelmobile.com/product/tablets/alcatel-3t-8/
tablet,Alcatel,3T 10,https://www.alcatelmobile.com/product/tablet/alcatel-3-series/alcatel-3t10-4g-2020-aquaman/
tablet,CHUWI,HiPad X,https://store.chuwi.com/products/hipad-x-keyboard
tablet,CHUWI,UBook X,https://www.chuwi.com/product/items/chuwi-ubook-x.html
tablet,Onda,V10 Pro,https://www.onda-tablet.com/onda-v10-pro-10-1-inch-screen-dual-system-tablet-32gb-black.html
tablet,Onda,V80 Plus,http://www.onda-tablet.com/onda-v80-plus-8-0-ips-screen-dual-boot-2gb-ram-tablet-gold-32gb.html
tablet,BMAX,MaxPad I11 Plus,https://www.bmaxit.com/MaxPad-I11-Plus-new-pd743297788.html
tablet,BMAX,MaxPad I10 Plus,https://www.bmaxit.com/MaxPad-I10-Plus-pd706116098.html
tablet,BMAX,MaxPad I10 Pro,https://www.bmaxit.com/MaxPad-I10-Pro-8GB-128GB-pd744116098.html
