Product,Brand,Model,URL
tent,NEMO,Dragonfly Osmo Backpacking Tent,https://www.nemoequipment.com/products/dragonfly-osmo
tent,NEMO,Hornet Osmo Ultralight Backpacking Tent,https://www.nemoequipment.com/products/hornet-osmo
tent,Marmot,Limelight 2-Person Tent,https://www.marmot.com/equipment/tents/2-person/limelight-2-person-tent/AFS_195115053161.html
tent,Marmot,Limestone 4-Person Tent,https://www.marmot.com/equipment/tents/4-person/limestone-4-person-tent/AFS_195115133436.html
tent,Marmot,Tungsten 2P UL,https://marmotau.com/products/tungsten-ul-2p-2
tent,Zpacks,Duplex,https://zpacks.com/pages/landing-duplex
tent,The North Face,stormbreak 2 tent,https://www.thenorthface.com/en-ca/bags-and-gear/tents-c211750/stormbreak-2-tent-pNF0A52VI
tent,The North Face,Wawona 6 tent,https://www.thenorthface.com/en-us/bags-and-gear/tents-c211750/wawona-6-tent-pNF0A52VM
tent,ALPS Mountaineering,Lynx 1,https://alpsmountaineering.com/lynx-1-person-gray-navy-mesh-tent.html
tent,ALPS Mountaineering,taurus 2-person outfitter,https://alpsmountaineering.com/taurus-2-person.html
tent,Mountain Hardwear,Mineral King 2,https://www.mountainhardwear.com/p/mineral-king-2-tent-1886251.html
tent,Mountain Hardwear,MERIDIAN 2 TENT,https://www.mountainhardwear.com/p/meridian-2-tent-1983441.html
tent,Terra Nova,Southern Cross 1,https://www.terra-nova.co.uk/products/southern-cross-1-tent/
tent,Snugpak,THE BUNKER THREE PERSON TENT,https://snugpakusa.com/product.php?id=80
tent,Snugpak,Scorpion 2,https://snugpak.com/products/scorpion-2-ix-wgte
tent,Snugpak,Ionosphere 1,https://snugpak.com/products/ionosphere-ix-wgte
tent,Teton Sports,Mountain Ultra Tent,https://tetonsports.com/products/mountain-ultra-2-person-tent
tent,Teton Sports,Altos Tent,https://tetonsports.com/products/mountain-ultra-1-person-tent
tent,Teton Sports,Vista Quick Tent,https://tetonsports.com/products/vista-2-person-quick-tent
tent,Robens,Green Cone,https://www.robens.de/en-gb/shop/outdoor-tents/green-cone-prs
tent,Robens,Fairbanks,https://www.robens.de/en-gb/shop/outdoor-tents/fairbanks
tent,Robens,special offers robens pioneer 3ex red,https://www.robens.de/en-gb/shop/outdoor-tents/pioneer-3ex
