Product,Brand,Model,URL
wifi router,ASUS,RT-AC66U,https://www.asus.com/us/networking-iot-servers/wifi-routers/asus-wifi-routers/rt-ac66u-b1/
wifi router,ASUS,TUF Gaming AX5400 (TUF-AX5400),https://www.asus.com/networking-iot-servers/wifi-routers/asus-gaming-routers/
wifi router,Netgear,"Nighthawk 8-Stream Dual-Band WiFi 6 Router, 6Gbps",https://www.netgear.com/home/wifi/routers/rax80/
wifi router,Netgear,"Orbi Tri-band Mesh WiFi System, 3Gbps, Router + 1 Satellite",https://www.netgear.com/home/wifi/mesh/rbk50/
wifi router,Netgear,"Nighthawk 12-Stream Dual-Band WiFi 6 Router, 6Gbps",https://www.netgear.com/home/wifi/routers/rax120/
wifi router,TP-Link,Archer C7,https://www.tp-link.com/us/home-networking/wifi-router/archer-c7/
wifi router,TP-Link,Archer AX50,https://www.tp-link.com/us/home-networking/wifi-router/archer-ax50/
wifi router,TP-Link,Archer C20,https://www.tp-link.com/us/home-networking/wifi-router/archer-c20/
wifi router,TP-Link,Archer AX10,https://www.tp-link.com/us/home-networking/wifi-router/archer-ax10/
wifi router,Linksys,WRT3200ACM AC3200 Gigabit Wi-Fi Router,https://www.linksys.com/ca/wrt3200acm-ac3200-gigabit-wi-fi-router/WRT3200ACM-CA.html
wifi router,Linksys,Tri-Band AC2200 Mesh WiFi 5 Router,https://www.linksys.com/ca/tri-band-ac2200-mesh-wifi-5-router/MR8300-CA.html
wifi router,D-Link,Wireless AC1200 MU-MIMO Wi-Fi Gigabit Router,https://www.dlink.com/en/products/dir-842-wireless-ac1200-mu-mimo-wi-fi-gigabit-router
wifi router,D-Link,AQUILA PRO AI AX3000 Wi-Fi 6 Smart Mesh System (2-Pack),https://www.dlink.com.au/home-solutions/M30-2PK-AQUILA-PRO-AI-AX3000-Mesh-System
wifi router,Cisco,RV260W,https://www.cisco.com/c/en/us/products/collateral/routers/rv260-vpn-router/datasheet-c78-741409.html
wifi router,Ubiquiti,UniFi Dream Machine,https://store.ui.com/us/en/products/udm
wifi router,Ubiquiti,AmpliFi Mesh Wi-Fi System,https://store.amplifi.com/products/amplifi-mesh-wi-fi-system
wifi router,Synology,RT2600ac,https://www.synology.com/en-global/products/RT2600ac
wifi router,Google,Nest Wifi Router,https://store.google.com/product/nest_wifi_pro?hl=en-US
wifi router,Samsung,Connect Home Pro AC2600 Smart Wi-Fi System,https://www.samsung.com/us/smart-home/smartthings/hubs/samsung-connect-home-smart-wi-fi-system---pro-et-wv530bwegus/
wifi router,Xiaomi,Mi Router 4C,https://www.mi.com/global/product/mi-router-4c/
wifi router,Xiaomi,Mi AIoT Router AX3600,https://www.mi.com/global/product/mi-aiot-router-ax3600
wifi router,Huawei,Quad-core Wi-Fi 6 Plus Revolution,https://consumer.huawei.com/en/routers/ax3-quad-core/
wifi router,Zyxel,BE11000 WiFi 7 Triple-Radio NebulaFlex Access Point,https://www.zyxel.com/us/en-us/products/wireless/be11000-wifi-7-triple-radio-nebulaflex-access-point-nwa130be
wifi router,Zyxel,USG FLEX Firewall,https://www.zyxel.com/us/en-us/products/next-gen-firewall/usg-flex-firewall-usg-flex-700h
wifi router,Tenda,AC1200 Dual Band Gigabit WiFi Router,https://www.tendacn.com/product/ac10v3.html
wifi router,Tenda,F3,https://www.tendacn.com/product/f3.html
wifi router,Tenda,AC6,https://www.tendacn.com/product/ac6v5.html
wifi router,Edimax,BR-6478AC V3,https://www.edimax.com/edimax/merchandise/merchandise_detail/data/edimax/us/wireless_routers_ac1200/br-6478ac_v3/
wifi router,Edimax,BR-6428nS V5,https://www.edimax.com/edimax/merchandise/merchandise_detail/data/edimax/uk/wireless_routers_n300/br-6428ns_v5/
wifi router,Edimax,BR-6208AC,https://www.edimax.com/edimax/merchandise/merchandise_detail/data/edimax/global/wireless_routers_ac750/br-6208ac/
wifi router,Cradlepoint,IBR900,https://cradlepoint.com/product/endpoints/ibr900/
wifi router,Cradlepoint,e3000 series enterprise router,https://cradlepoint.com/datasheet/e3000-series-enterprise-router/
